lot,title,author,volumes,date_published,format_section,buyer,price
926a,Journey to the Western Islands of Scotland,,,,Fifth Day's Sale — Octavo et Infra,,
927,Prefaces to the Works of the English Poets,,10 vol.,,Fifth Day's Sale — Octavo et Infra,Williams,10.6
928,"Early Life",,,,Fifth Day's Sale — Octavo et Infra,,
929,"Joli (Mr.) Memoires, 3 tom.",Joli,3 vol.,Amst. 1718,Fifth Day's Sale — Octavo et Infra,,
930,"Jones (Rown.) Origin of Language and Nations defined",Jones (Rown.),,1764,Fifth Day's Sale — Octavo et Infra,Stork,
931,"(Gul.) Poeseos Asiaticae, Poesin et Latini, t. fo.",Jones (Gul.),,1774,Fifth Day's Sale — Octavo et Infra,Cuthell,
932,"Poems, consisting chiefly of Translations from the Asiatick Languages, MS. notes",,,,Fifth Day's Sale — Octavo et Infra,Cuthell,
933,History of the Life of Nadir Shah,,,,1777,Fifth Day's Sale — Octavo et Infra,,
934,Welsh and English Dictionary,,,,1688,Fifth Day's Sale — Octavo et Infra,,
935,"Journal de Politique et de Literature, 3 tom.",,3 vol.,1777,Fifth Day's Sale — Octavo et Infra,,
936,"Irwin's Voyage up the Red Sea, 2 vol. maps and plates",Irwin,2 vol.,1787,Fifth Day's Sale — Octavo et Infra,Cuthell,
937,"Julien (Empereur) Defense du Paganisme, Gr. et Fr.",,,,1764,Fifth Day's Sale — Octavo et Infra,,
938,"Junius (Woodfall), 2 vol.",,,Gronovii,Fifth Day's Sale — Octavo et Infra,,
939,"Justinus, traduit en Francois, par Colomby",,,,Fifth Day's Sale — Octavo et Infra,,
940,"Juvenal, Lat. et Fr.",,,,1770,Fifth Day's Sale — Octavo et Infra,Cuthell,
941,"translated by Dryden, plates",,,,1709,Fifth Day's Sale — Octavo et Infra,Spilon,
942,Kearsley's Traveller's Guide through Great Britain,,,,1803,Fifth Day's Sale — Octavo et Infra,Cuthell,
943,Keill's Introduction to Natural Philosophy,,,,1733,Fifth Day's Sale — Octavo et Infra,,
944,Kennedy's Scripture Chronology,,,,1751,Fifth Day's Sale — Octavo et Infra,Blunt,
945,Kennet's Lives and Characters of the Ancient Grecian Poets,,,,1697,Fifth Day's Sale — Octavo et Infra,Charles,
946,"Kennett's Antiquities of Rome, plates",,,,1743,Fifth Day's Sale — Octavo et Infra,Owen,3
947,"Long Eloge de la Ville de Mandolem et de ses Ravisseurs",,,,1770,Fifth Day's Sale — Octavo et Infra,Cuthell,
948,"Kippis's History of England, portraits",,,,Fifth Day's Sale — Octavo et Infra,Archer,
949,"King's Political and Literary Anecdotes of his Own Times, portrait and plates",,,,Fifth Day's Sale — Octavo et Infra,Boone,
950,"La Croze, vie portrait and plates",,,,1729,Fifth Day's Sale — Octavo et Infra,Priestley,
951,Portrait des Jeunes Artistes,,,,1798,Fifth Day's Sale — Octavo et Infra,,
952,"Grammaire de Cinq Langues Francois",,,,Fifth Day's Sale — Octavo et Infra,Cuthell,
953,Histoire de Christine Reine de Suede,,,,1760,Fifth Day's Sale — Octavo et Infra,,
954,"Histoire de Christine Queen of Sweden",,,,1761,Fifth Day's Sale — Octavo et Infra,Blount,
955,"Stanino Portale transportee dell. A.",,,,Fifth Day's Sale — Octavo et Infra,,
956,"d'Astronomie, planches",,,,1756,Fifth Day's Sale — Octavo et Infra,,
957,"(Vin.) Enumeratio, or the Office of Justice of Peace, with Duties of Constables, black let.",,,1620,Fifth Day's Sale — Octavo et Infra,Smith,
958,"Land's (R.) Improvements in Education",,,,Fifth Day's Sale — Octavo et Infra,Blunt,
959,Langbaine's Account of the English Dramatic Poetry,Langbaine,,1691,Fifth Day's Sale — Octavo et Infra,Laughmony,
960,"Langle's (J.) Works, with his Life by Kippis, 11 v.",Langle (J.),11 vol.,1774,Fifth Day's Sale — Octavo et Infra,Blume,
961,Larcher's History of Ancient Egypt,,,,Fifth Day's Sale — Octavo et Infra,,
962,"Launoy, Vaillant et Galland l'Histoire de France",,,,Fifth Day's Sale — Octavo et Infra,,
963,"Laval (P.A.) Confessions, a M. Rousseau",,,,1739,Fifth Day's Sale — Octavo et Infra,Byrne,
964,Lea's Historical Account of English Money,Lea,,1729,Fifth Day's Sale — Octavo et Infra,Priestley,9
965,"Lea's Account of English Money, plates",,,,1745,Fifth Day's Sale — Octavo et Infra,,
966,"Lee (Noah) Plan to Botany, 12 plates",,,,1788,Fifth Day's Sale — Octavo et Infra,,
967,"Leland's Itinerary, Hearne, 9 vol. in 3, LARGE PAPER",Leland,9 vol. in 3,1769,Fifth Day's Sale — Octavo et Infra,Ellis,18
968,Le Grain's Treatie of Foods,,,,1705,Fifth Day's Sale — Octavo et Infra,,
969,"Le Noir's (Mrs.) Village Anecdotes, 3 vol.",Le Noir (Mrs.),3 vol.,,Fifth Day's Sale — Octavo et Infra,Cuthell,
970,Enquiry into the Origin of Honour &c.,,,,Fifth Day's Sale — Octavo et Infra,,
971,"Clara de Montfier, a Moral Tale, 3 vol.",,3 vol.,mor. elegt 1807,Fifth Day's Sale — Octavo et Infra,Burney,
972,Clara de Montfier,,3 vol.,1808,Fifth Day's Sale — Octavo et Infra,Cuthell,
973,"Lemonnier (Abb.) Free Thoughts on Religion",,,,Fifth Day's Sale — Octavo et Infra,,
974,"Mandeville, translated by Creech &c.",,,,1697,Fifth Day's Sale — Octavo et Infra,,
975,Mort's (Hul.) Poems,,,,Fifth Day's Sale — Octavo et Infra,Bird,
976,Norfolk and Shropshire,,,,Fifth Day's Sale — Octavo et Infra,,
977,"Mignot's Memoires de la Regence",Mignot,,,Fifth Day's Sale — Octavo et Infra,Little,
978,"Memoires (Abbe de) History of the Arabians, 4 vol.",,4 vol.,1758,Fifth Day's Sale — Octavo et Infra,Cuthell,
979,"Marius Daunois Portail, Francois et Hollandois, 2 t.",,2 vol.,1770,Fifth Day's Sale — Octavo et Infra,,
980,"Marmontel (Mons. de) Oeuvres, 4 tom.",Marmontel,4 vol.,1763,Fifth Day's Sale — Octavo et Infra,Griffith,
981,"Paysan Parvenu, 4 tom. in 1",,4 vol. in 1,,Fifth Day's Sale — Octavo et Infra,,
982,"Vie de Marianne, 2 tom.",,2 vol.,,Fifth Day's Sale — Octavo et Infra,Blunt,
983,"ou Pensees Philosophiques,",,,,Fifth Day's Sale — Octavo et Infra,,
984,Marmontel (M.) Belisaire,,,,1767,Fifth Day's Sale — Octavo et Infra,,
985,"Contes et Nouveau Contes Mor.",,,Par. 1765,Fifth Day's Sale — Octavo et Infra,Barnilly,
985a,"Memoires, 4 tom.",,4 vol.,1806,Fifth Day's Sale — Octavo et Infra,Charles,
986,"rout 5 tom.",,5 vol.,,Fifth Day's Sale — Octavo et Infra,Derry,
987,"Ment (Clement) Oeuvres",,,Lyon 1741,Fifth Day's Sale — Octavo et Infra,,
988,"Marpurg's (Frid.) Historical and Critical Essay on Music, in German, 3 tom.",Marpurg (Frid.),3 vol.,Berlin 1754,Fifth Day's Sale — Octavo et Infra,Smith,
989,"Martin (Benjamin) Philosophy, 2 vol. — History of England, 2 vol. — Miscellaneous Correspondence, 4 vol. — Biographia Philosophica Philology, 2 vol. — Mathematica, 2 vol. in all 13 vol. plates",Martin (Benjamin),13 vol.,"1735, 64",Fifth Day's Sale — Octavo et Infra,Blunt,
990,Martial's Epigrams,,,,1695,Fifth Day's Sale — Octavo et Infra,Pillisdale,7
991,"Martial's Epigrames, by Hay",,,,1793,Fifth Day's Sale — Octavo et Infra,,
992,"Martinelli's (Dottore) English to Politiche",,,,Fifth Day's Sale — Octavo et Infra,Payne,
993,"Moore's (John) Essay on the Power of Numbers",,,,Fifth Day's Sale — Octavo et Infra,Byrne,
994,Missinger's Catalogues et Avioncity,,,,Fifth Day's Sale — Octavo et Infra,,
995,"Massinger's (Philip) Dramatical Works, 4 vol. port.",Massinger (Philip),4 vol.,1779,Fifth Day's Sale — Octavo et Infra,Burtly,
996,"Matthias (T.J.) Odes, English and Latin, not published",,,,1798,Fifth Day's Sale — Octavo et Infra,Anscelly,
997,"Homer Burlesqued, translations of Iliad",,,,Quarto,Christian,
998,"Hooke's (N.) Roman History, 3 vol.",,3 vol.,,Quarto,Harg,
999,"Horrebow, Basili",,,,Quarto,,
1000,"Hornitius, Basilii, 4 vol. maps and plates",,4 vol.,,Quarto,Prichet,
1001,"Hume (David), trans. by Francis, 2 vol. 8vo MS additions",,2 vol.,,Quarto,Charles,
1002,"Horatii Flacci omnia Ohi. Vari",,,Ante. 1619,Quarto,Gerthel,
1003,"Horace's Art of Poetry, by Colman",,,1783,Quarto,,
1004,"Hupees (China) Consequences",,,,1693,Quarto,J. Innouz,
1005,"Hume's (David) Essays",,,,Quarto,,
1006,"Hunt's (Jonathan) History of England, 6 vol. in 4",,6 vol. in 4,,Quarto,,
1007,"Hunt's Observations on several Passages in the Book of Proverbs, &c. &c.",,,,1775,Quarto,,
1008,"History of the Pest; a pleasant Discourse between the Alderman and Frid Citizen; wherein is declared the Nature of the Disease, how it came, and how it may be cured, a Poem, by J.F., Westminster",,,Lond. 1619,Quarto,Tophook,
1009,"Hyde (Thom.) Veterum Persarum et Parthorum et Medorum Religionis Historia",Hyde (Thom.),,Oxon. 1703,Quarto,Ellis,
1010,"Ides (E.) Alternativa vera Tracks from Moscow over Land to China, plates, fine copy",,,,1698,Quarto,Bells,
1011,"Innes' Essay on the Ancient Inhabitants of the Northern parts of Britain or Scotland, 2 vol. t. p.",,2 vol.,,Quarto,Cuthell,
1012,"Jackson's (John) Chronological Antiquities, 2 vol. MS.",,2 vol.,,Quarto,Gerthel,
1013,"Jamblichus, Gr. et Lat. Theodoretii",,,,1754,Quarto,,
1014,"Jephson's Roman Portraits, a Poem, portraits",Jephson,,1788,Quarto,,
1015,"Johnson's (Dr. Sam.) English Dictionary, 2 vol.",Johnson (Dr. Sam.),2 vol.,1788,Quarto,Yolking,5.6
1016,Physiological Disquisitions,,,,1779,Quarto,Cooper,
1017,"(Sir Win.) Works, 8 vol. plates",,8 vol.,1785,Quarto,Priestley,
1018,"Justin's (J.) Life of Erasmus, vol. 1, portrait",,vol. 1,,Quarto,Cambell,
1019,Justin's Life of Erasmus,,2 vol.,,Quarto,,
1020,"Journal from Grand Cairo to Mount Sinai and back again",,,,1753,Quarto,Willis,
1021,Jean's Christian Policier,,,,Quarto,,
1022,"Junius (Franc.) Painting of the Ancients",,,,1638,Quarto,Beaumont,
1023,,,,1638,Quarto,Charles,10.6
1024,"System of Astronomical Chronology",,,,1798,Quarto,Davis,3
1025,"Love and Misfortunes at Richmond after taken by the Scots, Prince Charles, &c.",,,,Oxf. 1764,Quarto,Clodey,
1026,"of Criticism",,,,1798,Quarto,Oiler,
1027,"Lempriere's Universal Biography",,,,1798,Quarto,,
1028,"Process of Civil Legislature",,,,1745,Quarto,,
1029,Issued by Rawlinson,,,,Fifth Day's Sale — Quarto,Oisenille,
1030,"Noris Bibliotheca MSS. Librorum, Latin",,,,1653,Quarto,,
1031,"MS. additions, Biographical and Historical Dictionary",,,,Fifth Day's Sale — Quarto,,
1032,"Works, portrait",,,,Fifth Day's Sale — Quarto,,
1033,"Epitome of Chronicles, continued by Cooper",,,,Fifth Day's Sale — Quarto,Cuthell,3
1034,"de Mounceaux Calendrier Somali",,,,1709,Fifth Day's Sale — Quarto,Davis,
1035,Essais du Systeme du Monde,,,,1790,Fifth Day's Sale — Quarto,,
1036,"(W.) Marriage by the Moral Law of God vin.",,,,1695,Fifth Day's Sale — Quarto,Gold,
1037,Lassel Duty of a Steward to his Lord,,,,1727,Fifth Day's Sale — Quarto,Groone,
1038,"Island's (Thomas) Life of Philip King of Macedon, 2 vol.",,2 vol.,1758,Fifth Day's Sale — Quarto,,
1039,,,,1791,Fifth Day's Sale — Quarto,Showster,1.1
1040,"Locke's (G. W.) English Etymology, or a Derivative Dictionary of the English Language",,,,1783,Fifth Day's Sale — Quarto,Danotelly,
1041,"Long Traictee sopra la Grammatique, et Eloguence",,,,Fifth Day's Sale — Quarto,,
1042,"Le Dante, Petrarcha et Boccaccio, Figura",,,,1526,Fifth Day's Sale — Quarto,Mattley,
1043,"Lipsius de Gladiatorio et di Amphitheatro, cum figuris, s.",,,,1584,Fifth Day's Sale — Quarto,,
1044,Liston's Essay on Perfect Intonation,,,,1812,Fifth Day's Sale — Quarto,M'Manus,
1045,"Libi's (Lindcomb) Consort of Tune",,,,1590,Fifth Day's Sale — Quarto,Oylee,
1046,"Libi's (Don.) English, French, Spanish and German Nomenclature",,,,Fifth Day's Sale — Quarto,Peter,
1047,"Lesmonds (Vis.) Memoir of the Reign of James II",,,,1808,Fifth Day's Sale — Quarto,Gondy,
1048,York,,,,Fifth Day's Sale — Quarto,,
1049,"Lowth's (Bp.) Translation of Isaiah, MS. notes",Lowth (Bp.),,1778,Fifth Day's Sale — Quarto,Oylee,
1050,"Lucian's Works, by Francklin, 2 vol.",Lucian,2 vol.,1780,Fifth Day's Sale — Quarto,Priestley,
1051,by Francklin,,2 vol.,1780,Fifth Day's Sale — Quarto,,
1052,"Goodwin's History of the Reign of King Henry V, portrait",,,,1704,Fifth Day's Sale — Folio,White,
1131,"Gray's Poems, with Bentley's Designs",Gray,,1753,Sixth Day's Sale — Folio,,
1132,"Grew's Anatomy of Plants, LARGE PAPER, plates",Grew,,1682,Sixth Day's Sale — Folio,Simco,
1133,"Guicciardini Descrittione di tutti i Paesi Bassi, figura",,,,Anvers. 1588,Sixth Day's Sale — Folio,Cuthell,
1134,"Guicciardine's Aphorismes, Civil and Military",,,,1613,Sixth Day's Sale — Folio,Cuthell,2.5
1135,Habington's History of King Edward the Fourth,,,,1640,Sixth Day's Sale — Folio,Cormana,
1136,"Harrington's (Jas.) Oceana and other Works, with his Life by Toland",,,,Sixth Day's Sale — Folio,M'Kean,3.6
1137,"Harris's Collection of Voyages and Travels, 2 vol. pts.",Harris,2 vol.,1744,Sixth Day's Sale — Folio,Christie,
1138,"Herbert (Lord) of Cherbury's Life and Reign of King Henry VIII, portrait",,,,Sixth Day's Sale — Folio,Powell,14
1139,Herschel's Catalogue of Stars,Herschel,,1672,Sixth Day's Sale — Folio,Shess,11
1140,"Hevelii (Joh.) Selenographia, sive Lunae Descriptio, plates",,,Gedan. 1647,Sixth Day's Sale — Folio,Ellis,7.6
1141,"Hickesii Linguarum Veterum Septentrionalium Thesaurus, 90/1 2 tom. Charl. Max. portrait and plates",,,,Sixth Day's Sale — Folio,Blunt,7
1142,"Hobbes' (Tho.) Leviathan",Hobbes (Tho.),,Oxon. 1703,Sixth Day's Sale — Folio,Cuthell,
1143,"Hofmanni (Jo. Jac.) Lexicon Universale, 4 tom.",Hofmanni (Jo. Jac.),4 vol.,1651,Sixth Day's Sale — Folio,Payne,4.8
1144,"Inett's Origines Anglicanae, or a History of the English Church",,,,Lug. Bat. 1698,Sixth Day's Sale — Folio,,
1145,"Isidori Originum Libri Viginti ex Antiquitate Eruti et Capella de Nuptiis Philologiae et Mercurii, in 1 vol.",,,,1704,Sixth Day's Sale — Folio,Christie,6.6
1146,"Johnson's (Dr. Sam.) English Dictionary, 2 vol.",Johnson (Dr. Sam.),2 vol.,Basil. 1577,Sixth Day's Sale — Folio,Smyth B,1.6
1147,"Jonson's (Benj.) Works, portrait",Jonson (Benj.),,1755,Sixth Day's Sale — Folio,Holdor,2
1148,"Josephus' Works, translated by J. Court, plates",,,,1640,Sixth Day's Sale — Folio,Rodds,15.6
1149,"Junius (Fr.) de Pictura Veterum, MS. additions",Junius (Fr.),,1733,Sixth Day's Sale — Folio,Smith,1
1150,"Junii (Fr.) Etymologicum Anglicanum, portrait, Or.",Junii (Fr.),,1743,Sixth Day's Sale — Folio,Ogles,2.12
1151,,,,ib. 1743,Sixth Day's Sale — Folio,,
1152,"Juvenal, translated by Holyday",,,,ib. 1673,Sixth Day's Sale — Folio,Priestley,2.7
1153,"Mattei (Sterio) Opere, 13 tom.",Mattei (Sterio),13 vol.,"Napoli, 1779",Sixth Day's Sale — Octavo et Infra,Tiphook,5
1154,"May's New Review, 9 vol.",,9 vol.,"1783, 86",Sixth Day's Sale — Octavo et Infra,Leuthley,
1155,"Maubet, Histoire Politique du Siecle, depuis la Paix de Westphalie jusqu'a la derniere Paix d'Aix la Chapelle, 2 tom.",,2 vol.,1754,Sixth Day's Sale — Octavo et Infra,Delabivre,
1156,"Maupertuis (Mr. de) Oeuvres, 4 tom.",,4 vol.,1756,Sixth Day's Sale — Octavo et Infra,Ellis,6.6
1157,"Maxime de Tyr, Discours Philosophique, trad. par Formey",,,,1764,Sixth Day's Sale — Octavo et Infra,Helda,6
1158,Mazarin (Cardinal) Lettres,Mazarin (Cardinal),,1690,Sixth Day's Sale — Octavo et Infra,Delatinore,
1159,"Mazzinghi's History of London and Westminster, Eng. and French",Mazzinghi,,1703,Sixth Day's Sale — Octavo et Infra,Pearce,6.6
1160,"Meads (Rd.) Mechanical Account of Poisons",Meads (Rd.),,1747,Sixth Day's Sale — Octavo et Infra,Sheldon,
1161,Discourse concerning Pestilential Contagion,,,,1725,Sixth Day's Sale — Octavo et Infra,Byron,6
1162,"Medina, the Knowledge of",,,,1715,Sixth Day's Sale — Octavo et Infra,,
1163,"Melanges, 2 tom.",,2 vol.,,Sixth Day's Sale — Octavo et Infra,Pearce,
1164,"de Literature, d'Histoire et de Philosophie, 5 tom.",,5 vol.,1767,Sixth Day's Sale — Octavo et Infra,Cuthell,
1165,"Melville (Sir Jas.) Memoirs, by Scott",Melville (Sir Jas.),,1735,Sixth Day's Sale — Octavo et Infra,Cuthell,4
1166,"Memoires Litteraires Contenant des Reflexions sur l'Origine des Nations, &c. &c.",,,,1760,Sixth Day's Sale — Octavo et Infra,Chalmers,
1167,"Menagiana, ou les Bon Mots, 4 tom.",,4 vol.,1762,Sixth Day's Sale — Octavo et Infra,Chalmers,
1168,Menestrier de la Chevalerie Ancienne et Moderne,,,,1683,Sixth Day's Sale — Octavo et Infra,,
1169,Menagio (Egidio) Mescolanzee,,,,Venet.,Sixth Day's Sale — Octavo et Infra,Camplurk,
1170,"Mercure de France, depuis Octre. 1755 jusqu'au Decre. 1777 (several wanting)",,,,1777,Sixth Day's Sale — Octavo et Infra,Delabivre,1.1
1171,"Litteraire et Politique, tom. 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 23, 24, part in Nos. and part bound",,,,1804,Sixth Day's Sale — Octavo et Infra,Pearce,9.6
1172,"Memoria Italian, 12 Nos.",,,,1790,Sixth Day's Sale — Octavo et Infra,,
1173,"Memoire Trait Historiques des Traites relatifs au Magicienne Ancien",,,,Fifth Day's Sale — Octavo et Infra,Beveridge,
1174,"Metastasio Opere, varias odd volumes, different editions",Metastasio,,,Sixth Day's Sale — Octavo et Infra,Hall,
1175,"Lion, Poetique, 4 tom.",,4 vol.,1749,Sixth Day's Sale — Octavo et Infra,,
1176,"Leti, Works",,,,Fifth Day's Sale — Octavo et Infra,Pelfrey,
1177,"Lion, translated by Diox, 3 vol.",,3 vol.,1800,Sixth Day's Sale — Octavo et Infra,,
1178,"Mezaray's Abrege de l'Histoire de France, 4 tom.",,4 vol.,,Sixth Day's Sale — Octavo et Infra,Jephson,
1179,"Michaelis, or Old W. Merryn Magazine, 3 vol.",,3 vol.,,Sixth Day's Sale — Octavo et Infra,,
1180,Miller's History of England under Queen Anne,Miller,,,Sixth Day's Sale — Octavo et Infra,,
1181,Miller's Gardener's Dictionary,,,,Sixth Day's Sale — Octavo et Infra,,
1182,"Dictionary, 3 vol.",,3 vol.,,Sixth Day's Sale — Octavo et Infra,,
1183,Milton's Paradise Lost,Milton,,,Sixth Day's Sale — Octavo et Infra,,
1184,"Poems, by Warton, first edition",,,,Sixth Day's Sale — Octavo et Infra,,
1185,,,,,,Sixth Day's Sale — Octavo et Infra,,
1186,"Paradiso Perduta, da Mariottini, portrait",,,,1796,Sixth Day's Sale — Octavo et Infra,,
1187,"Francis Merope, Translations — Sentimental Original",,,,Fifth Day's Sale — Octavo et Infra,,
1188,"Poema Commedia — Dialoghi del Dottor L. Letters",,,,Fifth Day's Sale — Octavo et Infra,Tophook,
1189,Teatro alle Moda,,,,Fifth Day's Sale — Octavo et Infra,,
1190,"Misson's Voyage to Italy, 4 vol. plates",,4 vol.,"1714, 10, Reg.",Sixth Day's Sale — Octavo et Infra,Priestley,
1191,"Mirabeau's History",,,,Fifth Day's Sale — Octavo et Infra,Kinsella,
1192,"Modeles de Lettres Secretes de la Cour de Berlin, 2 t.",,2 vol.,,Sixth Day's Sale — Octavo et Infra,,
1193,"Modeles Plastiques sur Differens Genres",,,,1795,Sixth Day's Sale — Octavo et Infra,,
1194,"Modeles, or Universal Biography, 2 v. portrait. Manners, or the Concert Cavalier",,2 vol.,"1723, and Novels",Sixth Day's Sale — Octavo et Infra,,
1195,"Bath Guide, and vol.",,,,1794,Sixth Day's Sale — Octavo et Infra,,
1196,"Molloy de Jure Maritimo et Navali",,,,1707,Sixth Day's Sale — Octavo et Infra,,
1197,"Monboddo on the Origin and Progress of Language, 6 vol.",Monboddo,6 vol.,,Sixth Day's Sale — Octavo et Infra,Child,6
1198,Monnet Theorie des Cometes,Monnet,,1774,Sixth Day's Sale — Octavo et Infra,,
1199,Histoire des Arts qui ont rapport au dessin,,,,Fifth Day's Sale — Octavo et Infra,Shawkes,
1200,"Monnet (Jean) Memoires, 2 tom. en 1",Monnet (Jean),2 vol. in 1,,Sixth Day's Sale — Octavo et Infra,Shawkes,
1201,"Mont's (Du) Voyage to the Levant, Plates",,,,Sixth Day's Sale — Octavo et Infra,,
1202,"Montague's (Lady M. Wortley) Letters, 4 vol. in 2",Montague (Lady M. Wortley),4 vol. in 2,,Sixth Day's Sale — Octavo et Infra,Humeley,
1203,"(Ed. W.) Rise and Fall of Antient Republics",,,,Sixth Day's Sale — Octavo et Infra,M'Goursley,2
1204,"MS. notes, &c.",,,,Sixth Day's Sale — Octavo et Infra,,
1205,"Montagu's (Mrs.) Essay on the Writings and Genius of Shakespeare",Montagu (Mrs.),,1769,Sixth Day's Sale — Octavo et Infra,,
1206,"Ex. Shakespeare, Aspin",,,,1777,Sixth Day's Sale — Octavo et Infra,,
1207,"Montaigne's (Michael de) Essays, 3 vol.",Montaigne (Michael de),3 vol.,1700,Sixth Day's Sale — Octavo et Infra,Cuthell,4.6
1208,"Montaigne's (Michael de)",,,,1703,Sixth Day's Sale — Octavo et Infra,Burney,
1209,"Montain (Louis de) Lettres Provinciales",,,,1733,Sixth Day's Sale — Octavo et Infra,Mittleda,3
1210,"Montesquieu l'Esprit des Lois, 3 tom.",Montesquieu,3 vol.,Genev. 1749,Sixth Day's Sale — Octavo et Infra,Brashley,
1211,"sur les Causes de la Grandeur des Romains",,,,1734,Sixth Day's Sale — Octavo et Infra,Parliamond,
1212,"Montesquieu Lettres Persanes, 2 tom.",,2 vol.,1730,Sixth Day's Sale — Octavo et Infra,Williams,
1213,"Lettres Persanes, 2 tom. in 1",,,,1747,Sixth Day's Sale — Octavo et Infra,Dolce,
1214,"Persian Letters, by Ozell, 2 vol.",,2 vol.,1730,Sixth Day's Sale — Octavo et Infra,,
1215,"Miscellanies, Pieces",,,,Sixth Day's Sale — Octavo et Infra,Middletown,
1216,"Reflexions on the Rise and Fall of the Roman Empire",,,,Sixth Day's Sale — Octavo et Infra,,
1217,"Spirit of Laws, 2 vol.",,2 vol.,,Sixth Day's Sale — Octavo et Infra,Cuthell,
1218,"Moore, from the Commencement to 17... and to 30, with Ayscouge's Indexes to 1799, 115 vols.",Moore,115 vol.,,Sixth Day's Sale — Octavo et Infra,Priestley,
1219,"Mor's (Sir Tho.) read to a Literary Society at Glasgow",,,,Sixth Day's Sale — Octavo et Infra,,
1220,"More's (Sir Tho.) Commonwealth of Utopia",More (Sir Tho.),,1719,Sixth Day's Sale — Octavo et Infra,,
1221,"Morell (Andr.) Stricturannum Historia, 2 v.",Morell (Andr.),2 vol.,,Sixth Day's Sale — Octavo et Infra,Rope,
1222,"(T.) Life of Sir Thomas More, portrait",,,,1726,Sixth Day's Sale — Octavo et Infra,Belly,
1223,"Morus Amenita dell'Automata degli Aradi",,,,1784,Sixth Day's Sale — Octavo et Infra,Fredin,
1224,"Morabin de Ropiss de l'Ecosse, Douvrier de France",,,,1784,Sixth Day's Sale — Octavo et Infra,,
1225,"More's (Honore de l'Observ.) 11 tom.",,11 vol.,1706,Sixth Day's Sale — Octavo et Infra,,
