date,direction,correspondent,repository,first_line
8 Feb 1771,to,[?],NYPL(B),[?] [draft & copy]
24 May 1771,from,Jean-Baptiste-Antoine Suard,NYPL(B),"After so much kindness, [copy]"
27 May 1771,to,[?],NYPL(B),"The National Music of your Country [copy, to Denis Diderot]"
[21] May [1771],to,[?],Osb,"Too we have had my acknowledge[m]ent, sooner [draft]"
31 May 1771,from,Monsieur North,Osb,I saw your late Book advertised in the Paper.
23 July 1771,to,[?],Osb,par une lettre que viens de ecrire a Mr Garrick
4 Aug [1771],from,David Garrick,Harv(H),I recd a line from my learned Friend Dr.
18 Aug 1771,from,Denis Diderot,Leigh,"je profitai jamais une occasion monsieur, de"
20 Aug 1771,from,Christoph Daniel Ebeling,Schol,I have as yet not the honour to know
28 Sept 1771,from,Denis Diderot,Osb,"je vous at adessé, monsieur, Par monsieur"
[Sept 1771?],from,William Bewley,Osb,Nov copy ?
[Sept 1771?],to,Christoph Daniel Ebeling,Osb,I know not a study of which I am [copy]
10 Oct 1771,from,William Bewley,Osb,"I found a letter to this morning in the [copy extract]"
15 Dec 1771,from,Baron d'Holbach,Osb,to Denis Diderot Leigh
to Denis Diderot,from,[?],Osb,"il traite du Melo Drame w'il est written, fell"
23 Oct 1771,from,William Bewley,Osb,It was an event of evil omen that Jimmy's
20 Oct 1771,from,William Bewley,Osb,It is scarce worth while to put you to the
[28 Oct 1771],from,Denis Diderot,Leigh,"I'envoiant que je veux, monsieur, et tres"
[?] Mar 1771,to,John Alcock,Osb,There is a circumstance relative to the Batch &
[?] Mar 1772,to,Christoph Daniel Ebeling,Schol,[?]
2 June 1772,to,[?],Osb,"Agréez to Mr. they, after answering Mr. [copy]"
[1771?],from,Baron d'Holbach,Osb,"j'ai dîné at longtemps à repondre a votre lettre"
[1771?],to,Denis Diderot,Osb,& I am convinced you Read English better [draft]
[1771?],from,David Garrick,BPL,[?]
[c 1771],from,David Garrick,PML,[?]
[c 1771],from,Regina (Valentini) Mingotti,Osb,"Ten thousand thanks for your journale [fragment]"
3 July 1772,to,Charles Davy,NYPL(B),[draft]
20 Sept 1772,from,Louis DeVisme,Osb,[?]
1[0] Oct 1772,from,J Moursson,Osb,In a middel expence to attempt a [?]
20-25 Oct 1772,from,William Bewley,Osb,"If you have a busy tomorrow, I retire for"
30 Nov 1772,from,Louis DeVisme,Osb,"it my woe is so long in reaching you how [?]"
[1772],to,Joseph Warton,Osb,"a temporary offer of assistance to a person [draft]"
[post 1772],from,William Bewley,Osb,What a Land tortoise must I appear in the eyes
12 Jan 1773,from,Henry Harington,Osb,You will Excuse this address from a Lover of
18 Jan 1773,from,John Osborn,Osb,Quand il s'agit to make Enquiries of any sort
[?] 1773,from,Thomas Twining,Osb,"When I was in town in February last, I took [copy]"
27 Apr 1773,from,Johann Adolph Hasse [to CB?],Osb,comme on pouvait pa' en Vous ni'avoir fait
28 Apr 1773,to,Thomas Twining,BM,The commencement of the Enterprise is so
15 May 1773,from,Thomas Twining,BM,"Handed a trussed hare as I am, will you be"
24 May 1773,from,Thomas Twining,BM,I have many things to say to you, &
3 June 1773,from,Christoph Daniel Ebeling,Schol,[?]
[post 10 June 1773],from,Christoph Daniel Ebeling,Schol,[?]
23 June 1773,from,William Bewley,Osb,[?]
5 July 1773,from,[?],Osb,[?]
14 July 1773,from,[?],Osb,[?]
22 July 1773,from,Thomas Twining,Osb,"As to Geminiani's opinions of Music, & [copy]"
27 July 1773,from,Christoph Daniel Ebeling,Schol,"... Mr. Klopstock was only on a short visit"
30 July 1773,from,[?],Osb,"we are directed by a friend of ours [copy, S Crisp 21 Jan 1774]"
5 Aug 1773,to,Mr Crewe,NYPL(B),"As nothing has been a more constant source of [draft]"
[?] Aug 1773,from,"George, 1st Marquis Townshend",BM,It was with much pleasure I heard you was
30 Aug 1773,from,Thomas Twining,BM,My Friends often upbraid me for not more
[?] 1773,from,[?],Osb,"I have often seen, and I [draft?]"
[pre Oct 1773],from,[?],NYPL(B),"dear Madam, in the perusal of my Nonancoru,"
3 Oct 1773,from,William Bewley,Osb,These are to notify you that your forte pinto [?]
11 Oct 1773,to,Arthur Young,Osb,You understand the Arcana of the Bibliopolist
16 Oct 1773,from,Thomas Twining,Osb,"Though you have not written to me, to make [copy]"
3-[4] Nov 1773,to,[William Bewley?],Osb,"When I saw the German Books, I hardly"
1 Dec 1773,to,George Robinson,Hyde,one of Mr George Robinson the sum of one
30 Dec 1773,from,"Garret Wesley, Earl of Mornington",Osb,Some time ago Mr Rigby wrote to me
[?] 1773,from,Thomas Pennant,Osb,Mr Pennant presents his compliments to Doctor
8 Jan & 5 Feb 1774,from,William Bewley,Osb,Where are you? & what are you doing? & what
11 Jan 1774,from,Thomas Pennant,Osb,I have long seen a Storm of Business brewing
10 Jan [?],from,James Hutton,Osb,"Bottura makes the best Piano Fortes, but they [copy extract?]"
10 Jan [?],from,James Hutton,NYPL(B),"All I have heard of vouchsaf'd & charmed a [copy]"
31 [?] 1774,from,Thomas Twining,BM,"A thousand thanks, you, for your [copy extract]"
[?] Jan 1774,to,Thomas Pennant,Osb,"I your kind idea of favouring me with a sight [copy]"
1 Mar 1774,from,Thomas Twining,Osb,"You are certainly -- now such a man can refer [copy]"
14 Mar 1774,from,Horace Walpole,Osb,"Mr. Twine presents his Respects to Dr. Burney [?]"
2 Apr 1774,from,[?],Osb,[?]
3 May 1774,to,"Regina (Valentini) Mingotti",Osb,[draft]
23 May 1774,from,Leonard Smelt,Comyn,Mr. Smelt's Compliments to Dr Burney
27 May 1774,from,Thomas Pennant,NYPL(B),I bought myself every convenience from [copy]
30 May 1774,from,William Bewley,Osb,"I would call you a Wit & a Niggard of your"
28 June 1774,from,Thomas Twining,BM,"I know ho well how you are [?] [copy]"
30 June 1774,from,Thomas Twining,Osb,"I enter the four first numbers for beggary [copy]"
4 July 1774,from,Padre Gioacchino [?],Osb,"Ogni sono irregolarissa in fine io otto dalla, [copy]"
13 July 1774,from,[?],Osb,"Shall I scribble a few words to you, [copy extract?]"
[?] July 1774,from,Thomas Twining,BM,"[?] [copy]"
13 July [1774],from,[?],Osb,"You are afraid of Mrs T. & she is afraid of you."
1 Aug [1774],from,"Charles, 1st Earl Whitworth",Osb,"I am sorry, [?] [to CB?]"
20 July [1774],to,Dr William Bewley,Osb,Dr. Burney presents his Compts. to
1 Aug [1774],from,"Charles, 1st Earl Whitworth",Osb,"Lady Whitworth & Myself are this instant come"
21 Aug 1774,from,"John Montagu, 4th Earl of Sandwich",PML,[?]
21 Aug 1774,from,"John Montagu, 4th Earl of Sandwich",Osb,[?]
29 Aug 1774,from,Leonard Smelt,Osb,After I find that these hath been a
[?] 1774,from,Thomas Twining,Osb,And so now we begin again with this
5 Sept 1774,from,William Bewley,Osb,"To be within a stone's throw, — [?]"
17 Sept 1774,from,Thomas Twining,BM,I must just scratch you a line or two if it be
18 Oct 1774,from,Thomas Twining,Osb,Now then for a little chat with you: I should
20 Oct 1774,from,[James Bruce?],Osb,I have employed the first Leisure that Bad [?]
3 Nov 1774,to,[Charles Davy?],Osb,I hasten to thank you for the Pleasure I recd
3 Jan 1771[5?],from,William Bewley,Osb,Your letter found me mourning the recent loss
28 Feb 1775,from,[?],Osb,"It is only in the luckee-stick way that I can [copy extract?]"
10 Mar [1775],to,Thomas Twining,Osb,"Here's another week gone & it is in vain I [copy extract]"
20 Mar 1775,from,Thomas Twining,BM,I have been good for nothing ever since I got
1 of May 1775,from,William Bewley,Osb,"— What would you have a Man say who"
11 Nov 1775,from,Dr James Lind,Osb,I am sorry that I shoud have been so tardy
14 Nov 1775,from,Thomas Twining,Osb,"I was heartily concerned, my dear Sir, to [copy]"
26 Nov 1775,to,Dr James Lind,Osb,Arlington [?]
30 Nov 1775,from,Thomas Twining,Osb,"I was very glad to find you could make shift [copy]"
[1774],from,"Charles, 1st Earl Whitworth",Osb,Sir Charles Whitworth's Compts to Dr Burney &
[c 1774],from,Felice de Giardini,Camb,Desomais est mesure imaginationi d'Sandore [?]
[post 1774],from,[?],Comyn,"C'est avec regret, que je Suis Contraint de"
[1774-75],to,Dr James Lind,Osb,"In the summer of 1773 I had the Honour of [draft]"
27 [1774-78],from,Jean-Baptiste-Antoine Suard,Osb,"Je voudrais bien, mon cher Monsieur, maitre"
5 May 1775,from,James Harris,Comyn,[?]
15 May 1775,from,Thomas Twining,Osb,"How is your potterage? — you desired me not [copy]"
9 June 1775,from,Thomas Twining,Osb,"I fear I must express an ungrateful wretch, for [copy]"
9 June 1775,from,[?],Osb,"I would to Phd's glad, on Music translated into [another copy extract?]"
22 June 1775,from,Thomas Twining,Osb,"First of all let us say all we have to say more [copy]"
28 June 1775,from,Thomas Twining,Osb,"You work a motley me by saying that my being [copy extract]"
20 June [1775?],to,[?],Comyn,"I most truly & sincerely my dear Doctor lament [copy]"
22 July 1775,from,Thomas Twining,Osb,"My jokes taken seriously. It was always [copy extract]"
2 Aug 1775,from,[?],Osb,[?]
21 Aug 1775,from,Thomas Twining,Osb,"I write directly, that you may hear from me [copy]"
Sept 1775,from,Thomas Twining,Osb,"Ar — why now, when you talk of your work at [copy]"
16 Oct 1775,from,Thomas Twining,Osb,"You will think me the most poking, dawdling [copy]"
[?] Oct 1775,to,Thomas Twining,Osb,"[?] [copy extracts]"
27 Oct [1775],from,Thomas Twining,Osb,"such active Zeal as you have kindly [copy]"
3 Oct [1775],from,Thomas [?],Osb,"I am hanged if I think [copy]"
31 Oct [1775],from,Thomas Twining,Osb,"[?] [copy]"
Oct [?],to,Thomas Twining,Osb,"[?] [copy]"
10 Nov [?],from,Thomas Twining,Osb,[?]
13 Nov 1775,from,Thomas Twining,BM,"At last, I am able to sit down quietly, & write [copy]"
15 Nov 1775,from,Thomas Twining,Osb,"I was carried out of a sick room to the Opera on [copy extract]"
1 Nov 1775,from,[?],Osb,"[?] [copy extract]"
Nov [?],to,Thomas Twining,Osb,"The Gab[nella] come on, I think, in favour. [copy extract]"
1 Dec 1775,from,William Bewley,Osb,"At this busy season — your hands full — both"
3 Dec 1775,from,Thomas Twining,Osb,"The Gab[nella] sung divinely last night Sat. [copy extract]"
19 Dec 1775,from,Lucrezia Aguiari,Osb,"Spirai Ella <Conte> gradice le mie mosse [?]"
24 Dec 1775,to,Thomas Twining,Osb,"— the book & review live till a 2nd ed. — [copy extract]"
[post 24 Dec 1775],from,Thomas Twining,Osb,"When I put my letter into the post, I received [copy extracts]"
Dec 1775,from,Thomas Twining,Osb,"[?] [copy extracts]"
[post Dec 1775],to,[?],Osb,"[?] [draft]"
[1775?],from,"Garret Wesley, Earl of Mornington",Osb,"[?] [draft]"
[1775?],to,Martin Madan,BM,"[?]"
3 Jan 1776,to,Thomas Twining,Osb,"My dear Friend — How fares it with [?]"
7 Jan 1776,from,"Robert Darcy, 4th Earl of Holdernesse",Osb,"Lord Holdernesse laments that he has not been"
8 Jan 1776,from,Thomas Twining,BM,"The bow's flung me so behind-hand, & so"
27 Jan 1776,from,Thomas Twining,BM,"There is something so solemn & frightful in this"
30 Jan 1776,from,[?],Osb,"[?] [copy of extract]"
30-31 Jan 1776,from,William Bewley,Osb,"Though I am ill disposed at present to answer"
3 Feb 1776,to,Thomas Twining,Osb,"[?] [copy extract?]"
5 Feb 1776,from,Thomas Twining,Osb,"I should love to see the day when my"
[?] Feb 1776,from,Anthony Chamier,Osb,"I could not find time to call on you my dear"
18 Feb 1776,to,"Garret Wesley, Earl of Mornington",Osb,"I am condescended to Interest yourself in my [draft]"
19 Feb 1776,from,Thomas Twining,BM,"— ah! me wiste, mot — I have just been"
3 Mar 1776,from,William Bewley,Osb,"You have been very good lately, & I seemingly"
5 Mar 1776,from,Lucrezia Aguiari,Osb,[?]
7 Mar 1776,from,Thomas Twining,BM,"A word with you, first — about the"
20 Mar 1776,from,Thomas Twining,BM,"This is only a little Letter of business, in which,"
28 Mar 1776,from,Thomas Twining,Osb,"Well, I owe you a good crirclysis [?]"
30 Mar 1776,from,"Garret Wesley, Earl of Mornington",Osb,"I recv'd your letter of the 10th, of last month [?] photostat"
[?] 1776,to,Brigit[a] Piez[e] [Frontoni],Shep,I withhold [sic] my Thanks for the kind [?]
[?] 1776,from,Thomas Twining,BM,"It is high time I shd say something to [?]"
12 Apr 1776,to,Mrs Rap[?],NYPL(B),It gave me great concern that I have been
[14] Apr 1776,from,Thomas Twining,BM,"I have been to know in what manner I [?]"
27 Apr 1776,from,Thomas Twining,Osb,"I have but just time, in the midst of the"
16 May 1776,from,"Garret Wesley, Earl of Mornington",Osb,"[?]"
15-20 May 1776,from,Thomas Twining,Osb,"Now you will think, I suppose, that I have"
20 May [1776],from,[Hugh] Kelly,Osb,"a fair Musical Professor has applied to me [?]"
25 May 1776,from,Jean-Baptiste-Antoine Suard,BN(M),"As you can read English with admiralty [?]"
18 June 1776,from,Giambattista Mancini,Osb,"Il suo Servitore Gianbista Mancini, [?]"
9 July 1776,from,Andrew Lumisden,Osb,"I received, by means of M. Fayou, your"
16 July 1776,from,Anthony Chamier,Osb,I now return you the 3d. Vol. of M.
19 July [1776?],from,Dante Bartheleman[?],Osb,"I shall spend the day tomorrow at E. Sheen [?]"
28 July 1776,from,Thomas Twining,BM,"I feel exceedingly shabby & ashamed, my good"
22 Aug 1776,from,Thomas Twining,BM,"I write directly, that you may hear from me"
21 Sept 1776,from,Thomas Twining,BM,[?]
7 Oct 1776,from,Thomas Twining,BM,"In the Laconeteur letter, is only to [?]"
21 Oct 1776,from,Thomas Twining,BM,"I will have let all over all your alterations [?]"
Nov [?] 1776,from,Thomas Twining,BM,"Twas a charming, communicative, comfortable [?]"
24 Nov 1776,from,Thomas Twining,Osb,"My hat, my shoes, old, cold, wet — black [?]"
22 [?] 1776,to,Thomas Twining,Osb,"last night, in a chusing circle when your [?]"
[Jan? 1777],to,Jean-Baptiste-Antoine Suard,Osb,"[?]"
[?] 1777,to,HLTP,Osb,"[?]"
5 Mar 1777,from,HLTP,Ryl,"[?]"
17 Mar [1777],from,Mr Baker,Osb,"Mr Baker presents his Compts. to Mr."
[c 1 Oct 1776],to,Sir William Herschel,Osb,"[?] — /""Anthems [?]"
[?] 1776,from,HLTP,BM,"I am running to Chessington my dear Sir — no"
9 Nov [?],from,Padre Martini,Osb,"[?]"
[1775-81],from,HLTP,Osb,"[?]"
17 Dec 1776,from,Samuel Crisp,Osb,"(sb5) Your last was a strange power of a [Osb & NYPL(B)]"
[Dec 1776?],from,[?],Osb,"Ay, you may lock me up — but I detest"
[Dec 1776?],from,[?],BM(Bar),[?]
[1776],from,Denis Diderot,Osb,"[?]"
[1776?],from,Anna (Dillingham) Ord,Osb,"Mrs [?] presents her Compliments to Dr."
[1776?],to,Anna (Dillingham) Ord,Osb,"[?] his Respects to Mrs Ord & has"
[1776-56],to,Jean-Jacques Rousseau,Osb,[?]
[1776-56],from,Thomas Twining,Osb,[?]
[post 1776],from,[?],Osb,"Hyre [?]"
[1776-80],from,Gaetano Ferdinando Tenducci,Osb,"[?] preventive allentanamo Claus [?]"
12 Apr 1777,from,Denis Diderot,Osb,"Diderot Salon Mademoiselle Burney et le remerce [?]"
[?] 1777,from,William Bewley,Osb,[?]
[?] 1777,from,[?],Osb,"[?]"
25 July 1777,from,Thomas Twining,BM,"[?]"
16 [from?] 1777,from,HLTP,Osb,"You desired me to write ""before hot-weather"
1 [?] 1777,to,HLTP,Osb,"be perpetually put out of my own Way"
25 July 1777,from,[?],BN(M),"[?]"
25 July 1777,from,[?],Long,[?]
[?] Aug 1777,from,Ralph Griffiths,Osb,"I can only thank you for your late Ideas/lines"
[?] 1777,from,Gabrieli Pozzi,Cal(B),"Ho ricevuta la sua stimati<>sima Lettera [?]"
5 Sept 1777,from,Thomas Twining,BM,"Now this shews plainly, what a parcel of poor,"
1 Oct 1777,from,Thomas Twining,BM,"I have no excuses to make, or, if I have,"
31 Oct 1777,from,Thomas Twining,BM,"On est accoutumé pour cette foix, pour"
1 Nov 1777,from,[?],Ryl,"If any long silence has <treas'd> into your"
11 Jan 1778,to,HLTP,Yale(Be),"What a way you have to make obligations"
13 Jan 1778,from,Padre Martini,Osb,"Ricevei per mezzo del Sig. Long la bellissima"
27 Feb 1778,from,HLTP,Flat,"I talked to you yesterday about my Wood"
5 Mar 1778,to,HLTP,Ryl,"Why, what a Lady Bountiful you are! most"
[pre 15 Apr 1778],from,Thomas Twining,BM,"Dr. Montgomery presents his respects to [copy]"
6 Nov [1777],from,HLTP,Osb,"What News shall I tell you of a Place that [?]"
16 Nov 1777,from,Thomas Twining,Osb,"Well? — has your great patience [?] [copy]"
17 Dec 1777,from,Thomas Twining,BM,"How c'd you, my dear friend, think that I [?]"
[?] 1777,from,[Charles?] Grant,Osb,"It is my fervent wish that the Letter wh [?]"
[?] 1777,from,HLTP,Osb,"What a Heart must yours be for Friendship asst [?]"
[?] 1777,from,HLTP,BM,"I have written out & enclosed the Invitation."
[?] 1777,from,"Garret Wesley, Earl of Mornington",Osb,"A Friend of mine in Ireland whom I ded [?]"
16 [1777-9],from,Simon Nicolo Henri Linguet,NYPL(B),"M. Linguet est passé hier chez Minguet [?]"
pre 15 Apr 1778,from,Thomas Twining,Osb,"the correspondence of D. de Montegnèrau [?]"
15 Apr 1778,from,Thomas Twining,BM,"""What I have Seen"" [?]"
4 May 1778,from,William Bewley,Osb,"What a Charm is there! — Let it be [?]"
22 June 1778,to,Padre Martini,Osb,"Stanteme stammi me più più preziosa della con [?]"
20 June 1778,to,Padre Martini,Osb,"Avendo Scritta una Lettera pochi giorni fa [?]"
20 June 1778,to,[?],Osb,"Si el reverendo e molto Venerato padre Martini [also draft?]"
[2 July 1778],from,HLTP,Osb,"since the departure of my Letter this morning,"
[July 1778],to,HLTP,Comyn,"I forgot to give the Novels home to your [copy]"
[July 1778],to,[?],NYPL(B),"[?] [copy in ALS SER FB 25 Jul 1778]"
24 July 1778,from,[?],Osb,"You have been growing & twisting the very [?]"
14 Aug [1778],from,Thomas Twining,Osb,"Did not I tell you all would be well again? & [?]"
18 Aug [1778],from,[?],Osb,"When Sorrow sway'ing up to Friends lamenting [?]"
[c 20 Aug],from,[?],Osb,"The best and true Dr. Burney [?]"
29 Aug 1778,from,Francesco Roncaglia,Osb,"Amico che ho leggere il vostri portali vi prego di [?]"
[? Sept 1778],from,[?],Ryl,"You is we a good Conscience for thinking of a [?]"
6 Oct 1778,from,Francesco Roncaglia,Osb,"e tediamo sa to sue ne subie a Ceure, a [?]"
14 [Oct 1778],from,HLTP,Lewis,"When everybody goes to look for their Letter [?]"
1 Oct [?] 1778,from,Arthur Murray,Osb,"I long wished for the opportunity, which"
23 Oct 1778,from,Francesco Roncaglia,Osb,[?]
26 Oct 1778,to,HLTP,Osb,"Your poor Letter followed me hither & grew [?]"
30 [1778],from,HLTP,Osb,"No Sattin, no Sattin Wig, from Dear [?]"
29 June 1778,from,James Harris,Osb,"I have a thousand thanks to return you & [?]"
31 Nov [1778],to,HLTP,Osb,"Lord bless me! as you waited for a Letter! It [?]"
[?],to,Padre Martini,Osb,"[?] Lettere, et, anche"
[c Oct 1776],to,Sir William Herschel,Osb,"Only so Words just to tell my Dear Dr Burney [?]"
[?],from,HLTP,BM,"I am running to Chessington my dear Sir — no [?]"
[1778-81],from,Padre Martini,Osb,"[?]"
[1775-81],from,HLTP,Osb,"Now my Dear Sir, Mr. Murphy will soon [?]"
[?],from,HLTP,Osb,"I hope you'll he soon well enough to get into"
[?],to,HLTP,Ryl,"I did not like the Tone of your Letter at all, it"
[1778-84],from,[?],Osb,"[?]"
3 Jan [pre 1779],from,David Garrick,PML,Another much ""Cherc"" Letter from Comte [?]
[pre 1779],from,[?],Osb,"(first line not yet available) [?]"
5 Jan 1779,from,Thomas Twining,BM,"I have hardly more than just time to tell you"
1(5) May [1779],from,HLTP,Osb,"will you try to make Fryday suit you next [?]"
20 May 1779,from,William Bewley,Osb,"I was just now, on my return home, that is,"
3 June 1779,from,Thomas Twining,BM,"[?]"
7 June [1779],from,HLTP,Osb,"My dear Doctor Burney you never forgets a [?]"
14 June 1779,from,William Bewley,Osb,"I wrote this — now you are to see? [?]"
21 June 1779,from,[?],Osb,"[?] — nearly to [?]"
25 June 1779,from,Paul Panton,Osb,"Doctor Burney's best Compliments [?] [?L]"
25-28 June 1779,from,William Bewley,Osb,"Though you slightly suppose that Mr. Shere [?]"
[?] 1779,from,Philip Hayes,Osb,"[?]"
27 Aug [1779],from,HLTP,Osb,"Enough, oh, how, we to those most of [?]"
28 Aug [1779],from,HLTP,Osb,"[?] [copy]"
[?] Aug [1779],from,[?],Osb,"I wrote this in the midst of the hurries of [?]"
30 Aug [1779],from,Thomas Twining,BM,"And so I will to be sure, it so here is the"
5 Sept 1779,from,[?],Osb,"I received your letter just as I was stopping"
15 Sept 1779,from,Anthony Chamier,Osb,"in consideration of Dr. Burney's active zeal"
[16] Sept 1779,from,[?],Schol,"Que me faites trop d'honneur, en me"
20 Sept 1779,from,Thomas Twining,BM,"It like seems that I have not been able to [?]"
[1 Oct 1779],from,HLTP,Osb,"As you come from Oxford, it have you been [?]"
14 Oct 1779,from,[?],Osb,"[?]"
1 Nov [?],from,Thomas Twining,BM,"[?]"
6 Jan 1780,from,Thomas Twining,BM,"the sort of [?] [?]"
23 Mar [?],from,Thomas Twining,BM,"[?]"
[Dec? 1779],from,HLTP,Osb,"She very good Sir, he still must so, &"
[Dec 1779],from,HLTP,BM(Bar),"[?]"
[1779],to,FB,Osb,"Dear Fanny, I have had a sad drabbled tailed [?]"
[1779],from,[?],Osb,"Lord Monboddo presents Compliments to"
[?],from,HLTP,Osb,"My Dear Doctor Burney & his sweet Daughter"
[c Oct 1779],to,Sir William Herschel,Osb,"Only so Words just to tell my Dear Dr Burney [?]"
11 May 1780,from,Thomas Twining,BM,"Ah my ever dear & worthy friend, into what a [copy extract]"
18 May 1780,from,Thomas Twining,BM,"— I skulk in to your presence with my tail"
[21 May?] 1780,from,HLTP,Osb,"When I am thanking Friends for Favours, let"
24 May 1780,from,William Bewley,Osb,"I have full well that I am in your debt, in the"
1 June 1780,to,Padre Martini,Osb,"Son passati gia altri. Mesi ch'io ricevetti [?]"
10-17 June 1780,from,Thomas Twining,BM,"Yours! nuoti magnis moltiplex arrepno[?] vestita [?]"
19 June [1780],from,HLTP,Osb,Oh my Dear Doctor Burney what dreadful
24 June 1780,from,Padre Martini,Osb,"Son prestante questa una a VS. dal Sig. [?]"
[1 mid 1780],from,[?],NYPL(B),"Oh we shall as well, after our [?]"
5 July 1780,from,Anthony Chamier,Osb,"If I take a few years from you for ever a [?]"
10 July 1780,from,Andrew Lumisden,Osb,"I return you a thousand thanks for you have [?]"
14 July 1780,from,Thomas Twining,BM,"Your kind & communicative letter was most [?]"
31 July 1780,from,Samuel Johnson,Osf(Bod),"You did very kindly in"
