date,direction,correspondent,repository,first_line,section
[1791],from,Thomas Twining,Osb,I have taken up the pen several,CB
7 Dec,from,William Bewley,Osb,[?],CB
14 Dec,to,Fanny Burney,Osb,"My dearest Fanny, I have so much",CB
26 Dec [1791],from,Thomas Twining,Osb,I wish you & all yours a happy,CB
,,,,,
1792,,,,,[year marker]
8 Jan,to,Fanny Burney,Osb,I have been very poorly of late,CB
17 Jan,from,William Bewley,Osb,I am obliged to you for yr kind,CB
30 Jan,from,Thomas Twining,Osb,I delayed answering yr letter,CB
6 Feb,to,Fanny Burney,NYPL(B),"I have been very ill, my dr Fanny",CB
22 Feb,to,Mrs Phillips,Osb,I am glad you are coming to town,CB
[c Mar],from,Thomas Twining,Osb,What has become of you? I have,CB
9 Mar,from,William Bewley,Osb,I am glad you are better,CB
14 Mar,to,Fanny Burney,Osb,"My dear Girl, I was much concerned",CB
28 Mar,from,Thomas Twining,Osb,Many thanks for your letter,CB
12 Apr,to,Fanny Burney,NYPL(B),I had a kind visit yesterday from,CB
20 Apr,to,Arthur Young,Osb,I enclose you the paper you wished,CB
6 May,from,William Bewley,Osb,I have been expecting to hear,CB
19 May,to,Fanny Burney,Osb,I shall not be surprised at,CB
29 May,from,Thomas Twining,Osb,I was sorry to hear that you had,CB
12 Jun,from,William Bewley,Osb,[?] I have nothing particular,CB
13 Jun,to,Fanny Burney,Osb,I have had a letter from Susan,CB
28 Jun,to,Fanny Burney,Osb,"I am uneasy about you, my dr Fanny",CB
[c 1792],to,Earl of Guilford,Osb,[?],CB
1 Jul,from,Thomas Twining,Osb,[?],CB
,,,,,
1793,,,,,[year marker]
[c Jan 1793],to,Fanny Burney,Osb,[?],CB
1 Jan,from,Thomas Twining,Osb,[?],CB
8 Feb,from,William Bewley,Osb,[?],CB
19 Feb [1793],from,Thomas Twining,Osb,[?],CB
8 Mar,to,Mrs Crewe,Osb,[?],CB
19 Mar,from,Thomas Twining,Osb,[?],CB
10 Apr,from,William Bewley,Osb,[?],CB
1 May [1793],from,Thomas Twining [TM[G]],Osb,The honour of your Company is requested,CB
[c May],to,Fanny Burney,Osb,[?] The honour [?],CB
,,,,,
,,,,,[p. 33]
[1793 continued],from,Thomas Twining,Osb,[?],CB
13 Jul,to,Fanny Burney,NYPL(B),[?],CB
[c 1793],from,Thomas Twining,Osb,[?],CB
20 Oct [c 1794; 1795?],to,Fanny Burney,Osb,[?],CB
4 Nov,from,Thomas Twining,Osb,[?] I have just been reading,CB
12 Nov,to,Fanny Burney,Osb,[?] of the [?] that was in,CB
[c 1793],from,Lord Mulgrave [Bruhl],Osb,The Abby [?] is at Albert St,CB
[post 1793],to,CB Jr,NYPL(B),[?],CB
,,,,,
[1794; 1795?],,,,,[year marker]
[c 1794],from,Thomas Twining,Osb,[?] Claudius and I are instruments,CB
[1794],to,Fanny Burney,Osb,[?] The Abby Nicol[?] last [?] you,CB
[c 1794],from,Lord Macartney,Osb,[?],CB
[1794],from,Thomas Twining,Osb,[?],CB
[c May 1794],to,Fanny Burney,NYPL(B),[?],CB
12 Jun,from,Thomas Twining,Osb,[?] I hope you are well,CB
20 Jul,to,Fanny Burney,Osb,[?] my 4to volume,CB
[c 1794],from,William Bewley,Osb,[?],CB
[post 1794],to,Fanny Burney,NYPL(B),[?],CB
28 Aug,from,Thomas Twining,Osb,[?] Pray do [?] you must,CB
[c Sep],to,Fanny Burney,Osb,[?] I just when I was wandering up,CB
[1794],from,[?],Osb,[?],CB
[c Oct],from,Thomas Twining,Osb,[?] I hope my old friend [?],CB
25 Nov,to,Fanny Burney,BM(Har),[?],CB
30 Nov,from,Thomas Twining,Osb,[?] copy [?],CB
,,,,,
,,,,,[p. 34]
[1795],to,Fanny Burney,NYPL(B),[?] I have not heard from you,CB
[c 1795],from,Thomas Twining,Osb,[?],CB
[c 1795],from,William Bewley,Osb,[?],CB
20 Jan,to,Fanny Burney,Osb,[?] Compliments to [?],CB
[c Feb],from,Thomas Twining,Osb,[?] my dr friend,CB
30 Mar,to,Fanny Burney,NYPL(B),[?] the Book of freedom,CB
[c Apr],from,William Bewley,Osb,[?],CB
10 May,from,Thomas Twining,Osb,[?] Yr health has made me uneasy,CB
11 Jun,to,Fanny Burney,Osb,[?] you are so kind from [?],CB
[c Jul],from,William Bewley,Osb,[?] New Building Panl [?],CB
10 Jul,from,Thomas Twining,Osb,[?],CB
[c 1795],to,Mrs Crewe,BM,[?],CB
18 Oct,to,Fanny Burney,Osb,[?] yr [?] delight daily apart one of,CB
18 Oct,from,Thomas Twining [TM[G]],NYPL(B),[?],CB
[Oct],to,Fanny Burney,BM(Har),[?],CB
[c 1795],from,[?],PML,[?],CB
10 Nov,from,Thomas Twining,Osb,[?],CB
[c 1795],to,Fanny Burney,NYPL(B),[?],CB
[c Dec],to,Arthur Young,Osb,[?],CB
,,,,,
,,,,,[p. 35]
[1795-1800],to,Fanny Burney,Osb,draft 1 p 4to,CB
[c 1795],from,Mrs Crewe,Osb,[?] and ye night contributions,CB
[post 1795],to,Fanny Burney,Osb,[?],CB
9 [Charles] [1795-96],to,Fanny Burney,Osb,[?] w. [?],CB
,,,,,
1796,,,,,[year marker]
[c Jan],from,Thomas Twining,NYPL(B),[?],CB
3 Jan,to,Fanny Burney,Osb,I p do,CB
1 Feb,from,William Bewley,Osb,[?] I was so on no [?] to disappoint myself,CB
22 Feb [1796],from,Thomas Twining,Osb,4 p do,CB
6 Mar,to,Fanny Burney,NYPL(B),[?],CB
[1796],from,[?],Osb,[?],CB
[c Mar 1796],from,Thomas Twining,Osb,[?] abortion [?],CB
2 Apr [1796],from,William Bewley,Osb,[?],CB
[c May],from,Thomas Twining,Osb,[?],CB
11 May,to,Fanny Burney,Osb,[?] I have not [?] along night,CB
23 May [1796],from,Thomas Twining,Osb,[?],CB
[c Jun],to,Mrs Phillips,Osb,[?],CB
[c Jul 1796],from,Thomas Twining,Osb,[?],CB
31 Jul,to,Fanny Burney,Osb,[?] 2 p [?],CB
[c Aug],from,Thomas Twining,Osb,[?],CB
[c Sep],from,William Bewley,Osb,[?] Mrs Crewe [?],CB
[1796],to,Arthur Young,Osb,[?],CB
1 Oct,from,Thomas Twining,Osb,[?] I was very [?] begin,CB
[c Nov],from,Thomas Twining,Osb,[?],CB
[Nov 1796],to,Fanny Burney,NYPL(B),[?] how the way begins,CB
18 Dec,from,Thomas Twining,Osb,[?],CB
,,,,,
,,,,,[p. 36]
[1796 continued],from,Thomas Twining,Osb,[?] very [?] of the [?],CB
[c 1796],to,Fanny Burney,Osb,[?],CB
1 Feb,to,[?],Osb,[?] very [?] yr entry [?] I p Lh,CB
[c 1796],from,Thomas Twining,Osb,[?] getting you to [?] Haydn,CB
[1796],from,Joseph Haydn,NYPL(B),[?],CB
[1796],to,Mrs Crewe,Osb,[?],CB
31 May [1796],from,Thomas Twining,Osb,[?],CB
1 Jun,to,Fanny Burney,Osb,[?] very [?] return [?],CB
[c Jun],from,William Bewley,Osb,[?],CB
[c 1796],from,Thomas Twining,Osb,[?],CB
18 Jul [1796],from,Thomas Twining,Osb,[?],CB
[Aug],to,Fanny Burney,NYPL(B),[?] out of [?],CB
[c 1796],from,Joseph Haydn,NYPL(B),[?],CB
[c Sep 1796],from,Thomas Twining,Osb,[?],CB
28 Oct,to,Mrs Phillips,Osb,[?] her [?] Charlotte [?] come to him[?],CB
[c Nov],from,Thomas Twining,Osb,[?],CB
[c 1796],from,William Bewley,Osb,[?] I hope my old friend [?],CB
,,,,,
1797,,,,,[year marker]
1 Jan,to,Fanny Burney,Osb,[?] I wish you & all,CB
[c Jan],from,Thomas Twining,Osb,[?],CB
8 Feb,from,William Bewley,Osb,[?],CB
[Feb 1797],from,Thomas Twining,Osb,[?],CB
19 Mar [1797],from,Thomas Twining,Osb,[?],CB
10 Apr,to,Mrs Crewe,Osb,[?],CB
19 May [TM[G]],from,Thomas Twining,Osb,[?] I hope you are not [?],CB
8 Jul,to,Arthur Young,Osb,[?] The honour [?] yr Company,CB
,,,,,
,,,,,[p. 37]
[1797 continued],from,Thomas Twining,NYPL(B),[?] 1 p 4to,CB
[c 1797],to,Fanny Burney,NYPL(D),[?],CB
[c 1797],from,William Bewley,NYPL(B),[?],CB
[c Jul 1797],to,Fanny Burney,Osb,[?] a readable [?],CB
[c 1797],from,Thomas Twining,NYPL(B),[?],CB
[c Aug],to,[?],Osb,[?] vs YL [?],CB
[c 1797],from,Thomas Twining,NYPL(B),[?] BRL,CB
[c Sep],from,Thomas Twining,Osb,[?] the [?],CB
[Oct 1797],from,Thomas Twining,NYPL(B),[?],CB
18 Oct [1797],to,Fanny Burney,Osb,[?] 1 p 4to [?] me the night of,CB
[c Nov],from,Thomas Twining,Osb,[?],CB
[1797],to,Fanny Burney,Osb,[?],CB
,,,,,
1798,,,,,[year marker]
[c Jan 1798],from,Thomas Twining,Osb,[?] 1 p 4to,CB
[post 1797],to,[?] CBF,Osb,[?],CB
[c 1798],from,Thomas Twining,NYPL(B),[?] BM(Har),CB
14 Jan [1798],to,Fanny Burney,NYPL(D),[?] NYPL(B),CB
[c Feb],from,[?],Osb,[?] BYU,CB
[c 1798],from,Thomas Twining,Osb,[?],CB
[c Mar 1798],from,Thomas Twining,NYPL(B),[?] 4 p [?] N.Y.,CB
[c Apr],to,Mrs Crewe,Osb,[?],CB
[1798],from,Thomas Twining,Osb,[?],CB
,,,,,
,,,,,[p. 38]
[1798 continued],to,Fanny Burney,NYPL(B),[?],CB
[c 1798],from,Thomas Twining,Osb,[?],CB
[c May],from,William Bewley,Osb,[?],CB
[c Jun 1798],from,Thomas Twining,Osb,[?],CB
[c Jul],to,Fanny Burney,NYPL(B),[?],CB
[c 1798],from,Thomas Twining,NYPL(B),[?] BM,CB
[c Aug],from,William Bewley,Osb,[?],CB
[c Sep 1798],from,Thomas Twining,BM(Har),[?],CB
[c Oct],from,Thomas Twining,NYPL(B),[?],CB
[1798],to,Arthur Young,Osb,[?] YL [?],CB
[c Nov],from,Thomas Twining,Osb,[?],CB
[c Dec],to,Fanny Burney,Osb,[?],CB
[c 1798],from,Thomas Twining,NYPL(B),[?],CB
20 Nov,to,[?],Osb,[?] how long [?] to meet I of [?],CB
[c Dec 1798],from,Thomas Twining,Osb,[?],CB
,,,,,
,,,,,[p. 39]
[1798 continued],to,Fanny Burney,NYPL(B),[?] 3 p 4to,CB
[c 1798],to,Mrs Crewe,NYPL(B),[?],CB
[c 1798],from,Thomas Twining,Osb,[?],CB
15 Nov,to,Fanny Burney,Osb,[?] 4 p 4to,CB
[c 1798],from,Thomas Twining,NYPL(B),[?] NYPL(B),CB
[c 1798],from,William Bewley,Osb,[?],CB
[1798],to,Fanny Burney,NYPL(B),[?],CB
[c 1798],from,Mrs Crewe,Osb,[?] long on me last [?],CB
3 Nov [1798],from,Thomas Twining,Osb,[?] to be found,CB
[1798],from,Thomas Twining,Osb,[?] doubt[?],CB
[Dec 1798],to,[?],Osb,[?] some sort of library a,CB
[c 1798],from,Thomas Twining,Osb,[?],CB
[c 1798],from,William Bewley,Osb,[?],CB
,,,,,
1799,,,,,[year marker]
[c Jan],from,Thomas Twining,Osb,[?],CB
[c 1799],from,Thomas Twining,NYPL(B),[?],CB
[c Feb],to,Fanny Burney,Osb,[?],CB
3 Sep,from,Thomas Twining,Osb,[?] I want [?] to [?] on no value,CB
[c 1799],to,Mrs Crewe,Osb,[?],CB
[c Mar 1799],from,Thomas Twining,Osb,[?] doubt,CB
[c Apr],from,William Bewley,Osb,[?],CB
1 Oct,from,Thomas Twining,Osb,[?] I want much to see you,CB
[c 1799],from,Thomas Twining,Osb,[?],CB
[c Nov],to,Fanny Burney,NYPL(B),[?] shd wished only [?],CB
28 Oct,from,Thomas Twining,Osb,[?],CB
[1799],to,Mrs Crewe,Osb,[?],CB
[c Dec],from,Thomas Twining,Osb,[?],CB
,,,,,
,,,,,[p. 40]
[1799 continued],from,Thomas Twining,Osb,[?] 3 p 4to [?] do,CB
[c 1799],from,[?] Walker [?],Osb,[?],CB
[c 1799],to,Fanny Burney,NYPL(B),[?] Compy,CB
[c 1799],from,Thomas Twining,Osb,[?],CB
[c 1799],from,[?],NYPL(B),[?],CB
[c 1799],from,William Bewley,Osb,[?],CB
4 [Nov?] [c 1799],from,Thomas Twining,Osb,[?] I found a parcel [?] that was not [?],CB
[1799],to,Fanny Burney,Osb,[?],CB
[c 1799],from,Thomas Twining,Osb,[?],CB
[c 1799],to,Mrs Crewe,Osb,[?],CB
[c 1799],from,Thomas Twining,NYPL(B),[?],CB
[c 1799],from,Mrs Crewe,Osb,[?] long I have [?],CB
,,,,,
1800,,,,,[year marker]
[c 1800],from,Thomas Twining,Osb,[?] Val [?] Compy,CB
[c Jan],to,Fanny Burney,Osb,[?],CB
[c 1800],from,Thomas Twining,NYPL(B),[?],CB
[c Feb],from,William Bewley,Osb,[?],CB
[c 1800],from,Thomas Twining,Osb,[?] Pilgrim[?],CB
[c Mar],to,Mrs Crewe,Osb,[?],CB
[c 1800],from,Thomas Twining,NYPL(B),[?],CB
[c 1800],from,William Bewley,NYPL(B),[?],CB
,,,,,
,,,,,[p. 41]
[1800 continued],from,Thomas Twining,Osb,[?],CB
[c 1800],to,Fanny Burney,Osb,[?],CB
[c May 1800],from,Mrs Crewe,Osb,[?] George Walker,CB
23 May [1800],from,Thomas Twining,Osb,3 p do,CB
[c Jun],to,Mrs Crewe,Osb,[?],CB
25 Jun,from,Thomas Twining,Osb,[?],CB
[c Jul],from,William Bewley,Osb,[?],CB
[c 1800],to,Fanny Burney,Osb,[?] I am sorry yr [?],CB
[c Aug],from,Thomas Twining,Osb,[?],CB
[c Sep 1800],from,Thomas Twining,Osb,[?],CB
1 Nov [1800],from,Thomas Twining,Osb,[?] BM(Har),CB
25 Nov,to,Mrs Crewe,Osb,[?],CB
[c Dec 1800],from,Thomas Twining,Osb,[?],CB
[1800],to,Fanny Burney,Osb,[?] judge [?],CB
[c 1800],from,Thomas Twining,Osb,[?],CB
[c 1800],from,William Bewley,Osb,[?],CB
11 Feb [1801],to,Fanny Burney,NYPL(B),[?],CB
[c 1800],from,Thomas Twining,Osb,[?],CB
13 Mar [1801],from,Thomas Twining,Osb,[?],CB
[c 1800],to,Fanny Burney,Osb,[?],CB
20 May [1800],from,Thomas Twining,Osb,[?],CB
[c Jun],to,Mrs Crewe,Compy,[?],CB
[Jul 1800],from,Thomas Twining,Osb,[?],CB
[c 1800],from,Mrs Crewe,Osb,[?],CB
[c 1800],to,Fanny Burney,BM(Har),[?],CB
[c Aug],from,Thomas Twining,Osb,[?] I see [?],CB
[c Sep],to,Arthur Young,Osb,[?],CB
17 Oct,to,Fanny Burney,NYPL(B),[?] draft [?],CB
,,,,,
,,,,,[p. 42]
[c 1800],from,Thomas Twining,Osb,[?],CB
[c 1800],from,[?] Walker,Osb,[?],CB
[1800],to,Fanny Burney,Osb,[?] yr [?] 3 p [?],CB
[c Nov 1800],from,Thomas Twining,Osb,[?] Mag[?][08],CB
[c Dec],to,Mrs Crewe,Osb,[?],CB
[c 1800],from,Thomas Twining,BM(Har),[?],CB
[c 1800],from,William Bewley,Osb,[?],CB
[c 1800],to,Fanny Burney,Osb,[?] Lady [?],CB
[c 1800],from,Thomas Twining,Osb,[?],CB
[c 1800],to,Mrs Crewe,Osb,[?] NYPL(B),CB
[c 1800],from,Thomas Twining,Osb,[?],CB
[c 1800],from,Mrs Crewe,Osb,[?],CB
18 Mar [1801],to,Fanny Burney,Osb,[?],CB
20 May [1801],from,Thomas Twining,Osb,[?] Lichfield [?][700],CB
[c Jun],to,Mrs Crewe,BM,[?],CB
,,,,,
,,,,,[p. 43]
[1800-01],from,Thomas Twining,NYPL(B),[?],CB
[c 1799],to,Fanny Burney,Osb,[?] 5 p bro,CB
[c 1799],from,Thomas Twining,Osb,[?] only [?] purpose,CB
,,,,,
1801,,,,,[year marker]
8 Jan [1801],from,Thomas Twining,Osb,[?],CB
[c Feb],to,Fanny Burney,Osb,[?],CB
8 Feb [1801],from,Thomas Twining,Osb,[?],CB
[c Mar],from,William Bewley,Osb,[?],CB
15 Mar [1801],from,Thomas Twining,Osb,[?] I wd do yr [?] the [?] justice,CB
[c Apr],to,Mrs Crewe,Osb,[?],CB
[c May 1801],from,Thomas Twining,Osb,[?],CB
[c Jun],from,William Bewley,Osb,[?],CB
[c Jul 1801],from,Thomas Twining,Osb,[?] Folger,CB
[c Aug],from,Thomas Twining,Osb,[?],CB
8 Sep [1801],to,Mrs Crewe,BM,[?] Compy,CB
[c Oct],from,Thomas Twining,Osb,[?],CB
[c Nov],from,William Bewley,Osb,[?],CB
25 Nov [1801],from,Thomas Twining,Osb,[?] 2 p bro,CB
[c Dec],to,Fanny Burney,Osb,[?],CB
,,,,,
,,,,,[p. 44]
[1801 continued],from,Thomas Twining,Osb,[?],CB
[c 1801],from,Mrs Crewe,Osb,[?],CB
[c 1801],to,Fanny Burney,NYPL(B),[?] BM,CB
[c 1801],from,Thomas Twining,Osb,[?],CB
[c 1801],from,William Bewley,Osb,[?],CB
,,,,,
1802,,,,,[year marker]
[c Jan 1802],from,Thomas Twining,Osb,[?],CB
[c Feb],to,Fanny Burney,Osb,[?],CB
[c Mar],from,Thomas Twining,Osb,[?] Will Coxe[?],CB
[c Apr 1802],from,William Bewley,Osb,[?],CB
[c May],to,Fanny Burney,Osb,[?],CB
[c Jun],from,Thomas Twining,Osb,[?],CB
[c Jul],from,Thomas Twining,Osb,[?],CB
[c Aug],from,William Bewley,Osb,[?],CB
[c Sep 1802],to,Mrs Crewe,Osb,[?] Sher[?],CB
[c Oct],from,Thomas Twining,Osb,[?],CB
[c Nov],to,Fanny Burney,Osb,[?],CB
[c Dec 1802],from,Thomas Twining,Osb,[?] Compl[?] as to the last,CB
,,,,,
1803,,,,,[year marker]
[c 1803],from,Thomas Twining,Osb,[?],CB
[c Jan],to,Fanny Burney,Osb,[?],CB
[c Feb],from,Thomas Twining,Osb,[?] BM,CB
[c Mar 1803],from,William Bewley,Osb,[?],CB
[c Apr],to,Mrs Crewe,Osb,[?],CB
[c May],from,Thomas Twining,Osb,[?] draft,CB
[c Jun 1803],from,Thomas Twining,Osb,[?],CB
[c Jul],to,Fanny Burney,Osb,[?],CB
3 Nov [1803],to,Fanny Burney,Osb,[?] 3 p bro,CB
[c 1803],from,Thomas Twining,Osb,[?],CB
,,,,,
,,,,,[p. 45]
[1803-05],from,Thomas Twining,NYPL(B),[?] 2 p bro Govt[?],CB
[c 1803],from,Mrs Crewe,Osb,[?],CB
[1803],to,Fanny Burney,Osb,[?],CB
[c 1803],from,Thomas Twining,Osb,[?] Oxf (Bod),CB
,,,,,
1804,,,,,[year marker]
[c 1804],from,Thomas Twining,Osb,[?],CB
[c Jan],to,Fanny Burney,Osb,[?],CB
[c Feb 1804],from,William Bewley,Osb,[?] draft [?],CB
[c Mar],from,Thomas Twining,Osb,[?],CB
[c Apr],to,Mrs Crewe,Osb,[?],CB
[1804],from,Thomas Twining,Osb,[?] Compliments to [?],CB
[c May],from,Thomas Twining,Osb,[?],CB
[c Jun 1804],to,Fanny Burney,Osb,[?],CB
[c Jul],from,Thomas Twining,Osb,[?] Sher[?],CB
[c Aug],from,William Bewley,Osb,[?],CB
[c Sep 1804],from,Thomas Twining,Osb,[?] OM,CB
[c Oct],to,Mrs Crewe,Osb,[?],CB
[c Nov],from,Thomas Twining,Osb,[?],CB
[c Dec 1804],to,Fanny Burney,Osb,[?] BJ,CB
,,,,,
,,,,,[p. 46]
[1804 continued],from,Thomas Twining,Osb,[?],CB
[c 1804],from,Mrs Crewe,Osb,[?],CB
[c 1804],to,Fanny Burney,Osb,[?],CB
4 Jun [1804],from,Thomas Twining,Osb,[?] draft 1 p [?],CB
,,,,,
1805,,,,,[year marker]
[c 1805],from,Thomas Twining,Osb,[?],CB
[c Jan],to,Fanny Burney,Osb,[?] I am determined to [?],CB
[c Feb 1805],from,William Bewley,Osb,[?],CB
[c Mar],from,Thomas Twining,Osb,[?],CB
[c Apr],to,Mrs Crewe,Osb,[?],CB
[c 1805],from,Thomas Twining,Osb,[?] George Marsh[?] 1806,CB
[c May],from,Thomas Twining,Osb,[?],CB
[c Jun 1805],to,Fanny Burney,Osb,[?],CB
[c Jul],from,Thomas Twining,Osb,[?],CB
[c Aug],from,William Bewley,Osb,[?],CB
[c Sep 1805],from,Thomas Twining,Osb,[?] Compy,CB
[c Oct],to,Fanny Burney,NYPL(B),[?],CB
31 Oct,from,Thomas Twining,Osb,[?],CB
5 Dec [1805],from,Thomas Twining,Osb,[?] pnk 1805,CB
,,,,,
1806,,,,,[year marker]
[c Jan 1806],from,Thomas Twining,Osb,[?],CB
[c Feb],to,Fanny Burney,Osb,[?] George Walker [?],CB
[c 1806],from,[?],Osb,[?],CB
[c Mar],from,Thomas Twining,Osb,[?],CB
[c Apr 1806],from,William Bewley,Osb,[?],CB
[c May],to,Mrs Crewe,Osb,[?],CB
[c Jun 1806],from,Thomas Twining,Osb,[?] Compy,CB
14 Jul,to,Fanny Burney,Osb,[?] duty [?],CB
[c Aug],from,Thomas Twining,Osb,[?],CB
[c Sep 1806],from,Thomas Twining,Osb,[?] Coke,CB
[1806],to,Fanny Burney,Osb,[?],CB
[c Oct],from,Thomas Twining,Osb,[?] BM,CB
[c Nov 1806],to,Mrs Crewe,Osb,[?] I hope [?],CB
[c Dec],from,Thomas Twining,Osb,[?] Compy,CB
,,,,,
,,,,,[p. 47]
[c 1803],to,Fanny Burney,Osb,[?] 1 p bro,CB
[c 1803],from,Mrs Crewe,Osb,[?] Str. Earl of Guilford [?],CB
[c 1803],to,Mr Fox,Osb,[?],CB
