date,direction,correspondent,repository,first_line
[1791-95],from,Sir Joshua Reynolds,Osb,or Joshua Reynolds presents his Comp
[?],from,"Elizabeth Lindley and Linley Sheridan",BM(Bar),Abba Miss Sheridan has not the pleasure of a
20 Oct,to,FBA,NYPL(B),
[?],to,FB,Osb,"The 1st, Sept I am fond of the very melancholy"
[?] Sept,to,FBA,NYPL(B),
31 Oct,to,FBA,Osb,
[?],to,FBA,Hyde,Two letters [?] on my hands
[?],to,Joseph Cooper Walker,Hyde,
[?],to,FBA,Osb,
2 Dec,to,FBA,Osb,
31 Dec,from,Mrs Crewe,Osb,
31 Dec,to,FBA,Harv(H),
[?],to,Edmond Malone,Osb,
[c 1792],to,FBA,Conyn,
[?],to,Thomas Twining,Osb,draft
[1790-93],from,William Seward to [CB?],Osb,
[1792],from,"Frederic, 5th Earl of Guilford",Osb,
14 Feb,to,FBA,Osb,
[?],to,FBA,Osb,Thank for your Note & the Notice you took of
[19 Feb 1793],to,FBA,NYPL(B),
[?] [1793],to,Mrs Crewe,Osb,Why Fanny? What are you abt & where are
13 [1793],to,FBA,Osb,
21 Feb [1793],from,James Hutton to CB & Elizabeth (Allen) Burney,Osb,I come to town the 16th and return the 21
22 Feb,from,James Hutton,NYPL(B),
13 Aug,from,Charlotte Smith,Osb,"An addition, and of the nature that I am also"
19 Aug,to,Charlotte Smith,Conyn,draft
[Ch] Aug,from,Charlotte Smith,Osb,Much flattered by the opportunity
[?],from,Charlotte Smith,Osb,I am extremely honour'd & oblig'd by
28 Aug,to,Mrs Crewe,Osb,
7 Sept [1793],to,FBA,Osb,
15 Sept,to,William Windham,Osb,
18 Sept,to,FBA,BM(Bar),
13-18 Sept,to,FBA,Osb,
[?],from,SBP,Osb,
25 Sept,from,Edward Burke,Osb,
4 Oct,to,FBA,Hyde,
[?],to,FBA,BM(Bar),Dr Burney presents his Compliments to Mr
6 July,to,FBA,BM(Bar),
15 Oct,from,Charlotte Smith,Osb,
23 Oct [1793],to,FBA,Osb,
[post 23 Oct 1793],to,FBA,NYPL(B),
24 Oct,to,Mrs Crewe,Osb,
20 [Oct; pre 1794; 1783P?],from,"Louis-Marie-Joseph d'Albert d'Ailly, duc de Chaulnes",Osb,
[pre 1794: 1786?],from,"Louis-Marie-Joseph d'Albert d'Ailly, duc de Chaulnes",Osb,
[pre 1794],to,FBA,Osb,1 p fol
20 Jan [1794],to,FBA,NYPL(B),
20 July,to,Mrs Crewe,Osb,Toke(Bc)
[?],to,James Boswell,Osb,
17 July,from,FBA,BM,
2 Aug,to,Mrs Crewe,Osb,
[?],to,FBA,Osb,
[?],from,FBA,NYPL(Bl),
4 Oct,to,FBA,Osb,
12 Oct,from,FBA,NYPL(Bl),
[?],to,FBA,NYPL(B),
1 Apr,to,FBA,Hyde,
[?],from,Charlotte Smith,Osb,
7 July,to,FBA,BM(Bar),
[?],to,Mrs Crewe,BM(Bar),
[?],from,Richard Cox,Osb,I had a very sincere pleasure in the pursuit of
[?],to,FBA,Hyde,
[?],to,FBA,Osb,copy
9 Sept,from,FBA,Osb,
25 Sept,from,Richard Cox,Osb,
10 Oct,from,William Keate,Osb,
18 Oct,to,FBA,NYPL(B),
20 Oct,from,Richard Cox,Osb,
2 Nov,from,FBA,Osb,
[?],from,Joseph Cooper Walker,Osb,
[?],from,FBA,Osb,copy
3-17 [?] Apr,to,FBA,Folger,
12 May,to,Arthur Young,Osb,
[22?] May,to,FBA,NYPL(B),
[1793],to,Joseph Cooper Walker,Yale(Bc),
[?],to,FBA,Osb,copy
3 July [1793],from,FBA,NYPL(B),
3 July [1793],from,FBA,NYPL(B),draft
[?],from,William Locke Sr,NYPL(B),
10 July,to,FBA,NYPL(B),
11 July [1793],to,FBA,Osb,
[?],to,Frederica Locke,BM(Bar),
16 Jul[y],to,FBA,Osb,
[1795-1800],to,FBA,Osb,draft
[?],from,Mrs Crewe,Osb,
20 Nov,from,Richard Cox,Osb,
[?],from,Sir Joseph Banks,APS,
2 Nov,to,Joseph Cooper Walker,Osb,
[?],from,William Keate,Osb,
[?],to,FBA,NYPL(B),
[1794-95],to,CB Jr,Osb,
1 Jan,to,FBA,Osb,Camb(F)
30 Jan,to,FBA,NYPL(B),
23 May,from,William Mason,Osb,
[?] May,from,FBA,Osb,copy extract
[?],from,Thomas Twining,Osb,
[?],to,FBA,Osb,
[?],to,William Mason,Osb,
[?],to,FBA,Osb,
18 Feb,from,Dorothy Young,Osb,also copy
[?],from,FBA,Conyn,
2 AP 1796 pmk,to,FBA,NYPL(B),
[71] May,to,FBA,Osb,
9 May,to,FBA,Osb,
[?],from,Richard Cox,Osb,
15 Aug,from,William Mason,BM(Bar),
[?],from,Richard Cox,Osb,
[?],from,Horace Walpole,Lewis,
[?],to,Marie Hester (Hughes) Park,Osb,
14 Jun,to,[?],Osb,
[?],to,FBA,Osb,"Let me see — Where did we leave off? Oh,"
22 FE 1796 pmk,to,FBA,NYPL(B),
[?],to,CB Jr,Osb,
7 Feb,from,Christian Latrobe,Osb,
8 Feb,to,FBA,Osb,
[c Feb 1796?],to,FBA,Osb,
3 Mar [1796],from,Ralph Griffiths,Osb,
14 Mar,to,FBA,Osb,
6 Apr,to,FBA,BM(Bar),
18 Apr,to,Christian Latrobe,Osb,
[pre 24 Apr 1796],to,FBA,NYPL(B),
22 May,to,FBA,Osb,
[?],to,CB Jr,Osb,
[?],from,Joseph Cooper Walker,Osb,
15 July,to,FBA,NYPL(B),
[10 July 1796],to,FBA,Osb,copy extract
21 JY 1796 pmk,to,FBA,Osb,
2 Aug,to,FBA,Osb,Oxf(Bod)
[?],from,SBP,Osb,
[?],from,FBA,Osb,
[?],to,Christian Latrobe,Osb,
20 Aug,to,FBA,Osb,
30 Aug,from,Joseph Cooper Walker,NYPL(B),
31 Aug,to,FBA,Osb,
5 Sept,to,CB Jr,NYPL(B),
20 Sept,to,FBA,Osb,
13 Oct,to,Joseph Cooper Walker,Osb,
[?],from,Dorothy Young,Osb,
[?],from,FBA,Osb,
[Oct 1796],from,Edward Miller,Osb,
[?],from,SBP,Osb,
25 Oct,from,Christian Latrobe,Osb,
[?],from,SBP,NYPL(B),
1 Nov [1796],from,FBA,Osb,
[?],from,Ralph Griffiths,Osb,
22 Sept,from,FBA,Osb,draft
[?],from,William Herschel,Osb,
[?],to,Mrs Crewe,Osb,
1 Sept,from,Sir Uvedale Price,NYPL(B),
1 Nov,to,FBA,Osb,
[?],to,FBA,NYPL(B),
1 Nov,from,FBA,Osb,
18 Sept,from,Joseph Cooper Walker,Osb,
17 Sept,to,FBA,Osb,draft
[?],from,Edward Miller,Osb,
[?],from,Sir Uvedale Price,Osb,
[?],to,Sir William Parsons,Osb,
[post 1796],from,FBA,NYPL(B),
[15 Sept 1797],to,Mrs Crewe,NYPL(B),
[15 Sept 1797],from,Mrs Crewe,NYPL(B),
[?] [1797],from,Mrs Crewe,Osb,
[?] [1797],from,Mrs Crewe,Osb,
[?] [1797],from,Mrs Crewe,Osb,
[?] [1797],from,Mrs Crewe,Osb,
28 SE 1797 pmk,to,FBA,NYPL(B),
30 Sept [1797],to,FBA,Osb,
17 Oct,to,FBA,Osb,
[?],from,FBA,Osb,
[?],from,George Colman [?],Osb,
24 Oct,to,FBA,BM,draft
[?],from,FBA,Osb,
Mar [1797-96?],to,FBA,Osb,
[1795-96?],to,FBA,Osb,
[?],from,John Wall Callcott,Osb,
[?],from,[?] by John Wall [?],Osb,
[?] [1798],to,FBA,Osb,
1 [Jan],to,FBA,Folger,
[?],from,Thomas Twining,Osb,
4 Jan,to,FBA,Osb,
17 Feb,to,John Wall Callcott,Osb,
24 AT [1798] pmk,to,FBA,NYPL(B),
[?],from,FBA,Osb,
30 June,to,FBA,BM,
27 June,to,FBA,Osb,
[?],from,Gasparo Pacchierotti,Osb,
2 Jun[e],to,FBA,Osb,
[?],from,Jean-Baptiste Cléry,Osb,
[?],from,FBA,Osb,
16 June,to,FBA,Conyn,
20 June [1798],to,Mrs Crewe,Osb,
[?],from,FBA,NYPL(B),
5 July,to,FBA,Osb,
[?],from,Warren Hastings [to CB],Osb,
30 Jul[y],to,FBA,Conyn,
[?],from,William Herschel,Osb,
[?],to,FBA,Osb,draft
[?],to,Charles Butler,Osb,
[?],to,Lord Charles Bruce,Osb,
[1799?],to,Christian Latrobe,Osb,
1 Sept,to,FBA,Osb,draft
[?],to,Lord Charles Bruce,Osb,
3 Oct [?],to,FBA,Osb,
9 Oct,to,FBA,Osb,
10 Oct,to,FBA,Osb,
[?],to,Edmond Malone,Osb,
28 Oct,to,FBA,NYPL(B),
[?],from,Maria (Allen) Blakiston to FBA,Osb,
[?],to,FBA,Osb,
[?],to,FBA,NYPL(B),
[?],to,Mrs Crewe,Osb,
14 [Jan],to,Joseph Cooper Walker,BSP,
2 Nov 1797,from,[?] Spencer,Osb,
3 NO 1798 pmk,to,FBA,Osb,
8 Nov,from,Brownlow North,NYPL(B),
[Nov 1798],to,FBA,Osb,
[?],to,Rosette [Rose] Burney,Osb,
[?],from,Richard Cox,Osb,
10 Dec,to,FBA,NYPL(B),
[18 Oct 1798],to,FBA,Osb,
[?],to,Christian Latrobe,Osb,
[post 1798],to,Lord Charles [Herne?],Osb,
[?],to,FBA,Osb,
[?],from,Mrs Crewe,Comyn,
[?],from,Mrs Crewe,Osb,
[c 1797 or 1798],from,George Colman [?],Osb,
[25 May 1799],to,FBA,BM(Bar),
[?] Jun,to,FBA,Osb,
20 Jun [1799],to,Mrs Crewe,Osb,
8 DE 1800 pmk,to,FBA,Osb,
[?],from,William Locke [?],Osb,
[c 1800],to,FBA,Osb,
[1799?],to,Christian Latrobe,Osb,
[?],from,Benjamin Moseley,Osb,
[post 1800],from,Ella Cornelia Knight,Comyn,
[?],from,[?] Malone,Osb,
[1800-02],to,[?],BN(M),
8 Jan,to,FBA,Osb,
[?],from,John Wall Callcott,Osb,
25 Jul[y],to,FBA,Osb,
28 Apr,to,FBA,Osb,
6 Sept,to,FBA,NYPL(B),
27 Oct,to,FBA,Osb,
13 Nov,to,Mrs Crewe,Osb,
20 Nov,to,FBA,NYPL(B),
[post 1800],from,Ella Cornelia Knight,Comyn,
[?],from,[?],Osb,
30 Dec,to,FBA,BM(Bar),
[?],to,FBA,Osb,
[?],from,Joseph Cooper Walker,Osb,
[post 1800] pmk,to,FBA,Osb,Lady Bruce
[?],from,FBA,Osb,
[?],to,Christian Latrobe,BM(Bar),
31 Dec,to,FBA,Osb,
[?],from,Thomas Twining,Osb,copy
12 Oct 1801 pmk,to,FBA,Osb,
[?],from,Joseph Cooper Walker,Osb,
[?],from,FBA,Osb,Folger
[?],from,FBA,Osb,
1 Oct 1801,to,FBA,Osb,
7 Nov,to,FBA,NYPL(B),
[?],from,FBA,Osb,
10 NO 1801 pmk,to,FBA,Osb,
[?],to,CB Jr,Osb,
27 Nov [1801?],to,CB Jr,Conyn,
[?],from,FBA,Osb,
15 Dec,to,FBA,Osb,pmk 1801
[?],to,Mrs Crewe,Osb,
6 Dec,to,FBA,BM,
[?],to,William Windham,Osb,
24 Dec,to,FBA,Osb,
[?],from,Brownlow North,Osb,
[1801-06],to,FBA,Osb,
[?],from,Mrs Crewe,NYPL(B),
[pre 1802],to,FBA,Osb,
[post 1801?],from,Samuel Wesley,Osb,
[post 6 Oct 1801],to,FBA,Osb,draft
[?],from,Miss Drysdale [?],Osb,
27 Jan,from,John Wall Callcott,BM,copy
[?],to,FBA,Osb,
3 Jan,to,John Wall Callcott,Osb,
13 Feb,to,FBA,Osb,
2 Feb,to,FBA,Osb,
12 Feb,to,FBA,Osb,
[?],to,FBA,Osb,
12 Mar,to,FBA,Osb,
[?],from,[?] Hester Hittner,Osb,
[post 8 Apr 1802],to,FBA,NYPL(B),draft
[?],from,FBA,Osb,
[?],from,Andree Amelié,Osb,
[?],from,FBA,Osb,
10 May [1802],to,FBA,Osb,
[?],to,FBA,Osb,
24 Sept,to,John Wall Callcott,Osb,
[?],from,FBA,Osb,
25 Sept,to,Mrs Crewe,BM,
[25 SP 1802] pmk,to,FBA,NYPL(B),
[?],from,John Wall Callcott,BM,
[c 1802],from,FBA,Osb,
1 Jun[e],to,FBA,Osb,
[?],to,Ralph Griffiths,Osb,Oxf(Bod)
[?] Sept,to,Mrs Crewe,Osb,
[?],from,John Wall Callcott,Osb,
[?],from,FBA,Osb,
23 Jul[y],to,FBA,Osb,
4 Aug [1802],to,FBA,Osb,
[?],to,[?] Arnold,Osb,Shop
5 Sept,to,FBA,Osb,
[?],from,John Wall Callcott,Osb,
[?],to,Mrs Crewe,Osb,
[?],from,FBA,Osb,
6 Oct,to,FBA,Osb,pmk 1801
[?],to,FBA,NYPL(B),
[?] Sept 1802,to,Granville Greville,Osb,
[?],from,John Wall Callcott,Osb,
4 Oct,from,FBA,Osb,
[?],from,John Wall Callcott,Osb,
[?],to,FBA,Osb,
12 Oct,from,FBA,Osb,
[?],to,Mrs Crewe,Osb,
[?],to,William Ayrton,Osb,
5 Oct,to,FBA,NYPL(B),
[post 1802],to,FBA,NYPL(B),
[?],from,Sir William Hamilton,Osb,
[?],to,FBA,Osb,
11 Dec [1802],to,FBA,Osb,
[1801-06],from,[Phillips] Bager to CB Jr,Osb,
[1800-01?],to,FBA,Osb,draft
[1800-07],to,[Christian] Latrobe,Osb,
15 Oct [1800-07],to,FBA,Osb,An Expedition to Winchester to pass the Week
[post 6 Oct 1801],to,FBA,Osb,draft
[?],from,Miss Drysdale[?],Osb,
[?],from,FBA,Osb,
[?] Sept,to,Mrs Crewe,BM,
[post 8 Apr 1802],to,FBA,Osb,draft
25 Sept,to,Mrs Crewe,BM,
[?] SP 1802 pmk,to,FBA,NYPL(B),
13 Jan,from,John Wall Callcott,BM,copy
[?],to,FBA,Osb,
14 Jan,to,Edmond Ayrton,Osb,
[?],to,John Wall Callcott,Osb,
14 Jan [1803?],to,FBA,Osb,
[?],to,Christian Latrobe,Osb,
14 Jan [1803?],to,FBA,Osb,annuncemens
20 Jan,to,FBA,Osb,
[?],from,Joseph Plymley,Osb,
[?],from,[?] Pacchierotti,Osb,
5 May,to,FBA,NYPL(B),
12 MY [1803] pmk,to,FBA,NYPL(B),
14 MY 1803 pmk,to,FBA,Osb,
[?],to,Rosette [Rose] Burney,NYPL(B),
[?],to,FBA,Osb,
15 July,to,FBA,Osb,
[?],from,[Christian] Latrobe,Osb,
22 Aug [1803],to,FBA,Osb,
[?],to,FBA,NYPL(B),
[?],to,Edmond Malone,Osb,
[c 1803] pmk,to,FBA,Osb,
[?],from,Mrs Crewe,Osb,
[post Nov 1803],to,FBA,Osb,
[1803],to,FBA,NYPL(B),
20 Sept [c 1803?],to,FBA,Osb,
[?],to,CB Jr,Osb,
20 Sept [1803],to,FBA,Osb,
26 Sept [1803],to,FBA,Osb,
[?],to,Mrs Crewe,Osb,
[?],to,Edmond Malone,Osb,
[post 1803],to,FBA,Osb,
5 May,to,FBA,Conyn,
[?],to,John Wall Callcott,Osb,
[?],to,FBA,Osb,
1 May,to,FBA,Osb,
13 May,to,FBA,Osb,copy extract
[?],to,Thomas Twining,Osb,
13 May,to,FBA,Osb,annuncemens
[?],to,Mrs Crewe,Osb,
[?],to,FBA,Osb,
July,to,FBA,Osb,
[?],to,Lady Mary Lowther,Osb,
20 Jul[y],to,FBA,Osb,
[?],to,Christian Latrobe,Osb,
July,to,FBA,Osb,
[?],from,William Lowther later Lord Lonsdale,Osb,
20 Jul[y],to,Christian Latrobe,Osb,
[pre 1804],to,[Thomas] Twining,Osb,
[pre 1804],to,FBA,Osb,
[pre 1804],from,"Frederic, 5th Earl of Guilford",Osb,
[?],to,CB Jr,Osb,
13 Aug [1804],to,[Richard] Twining,Osb,draft
1 Sept,to,FBA,Osb,
[?],to,Rosette [Rose] Burney,Osb,
[?] Apr,to,FBA,Osb,
[?],from,Cecilia Maria Henslow,Osb,
[?],from,FBA,Osb,
28 Apr [1804],to,FBA,Osb,
28 Apr [1804],from,FBA,Osb,
13 May,to,FBA,Osb,copy extract
[?],to,Thomas Twining,Osb,
13 May,to,FBA,Osb,annuncemens
[?],to,Mrs Crewe,Osb,
[?] Sept 1804,to,FBA,Osb,
[?],from,FBA,Osb,
15 July,from,FBA,Osb,
[?],to,CB Jr,Osb,
[?],to,Samuel Hoole,Osb,
31 Oct,to,FBA,Osb,
[?],to,CB Jr,Osb,
2 Nov,to,FBA,Osb,
[?],to,"George & Julia Richardson",Osb,
3 Nov [1804?],from,Edmond Malone,Osb,Oxf(Bod)
5 Nov [1804],to,Christian Latrobe,Osb,
[?],to,FBA,Osb,
[c25] pmk Nov,to,FBA,Osb,
11 Dec,to,FBA,Osb,pmk 1804 Bell
[?],to,Mrs Crewe,Osb,
25 Dec,to,Rosette [Rose] Burney,NYPL(B),
14 [Jan?],to,FBA,Coke,copy
7 Feb,to,FBA,Osb,
8 Mar,to,Rosette [Rose] Burney,Osb,
10 Mar,to,FBA,NYPL(B),
26 Mar,to,FBA,Osb,
31 Mar,to,FBA,Osb,
31 May,from,Frances [Phillips] Bager to FBA,Osb,
[?] pmk 1805,to,FBA,Osb,
[?],to,CB Jr,Osb,
10 June,to,GMAP Waddington,NYPL(B),
20 Dec,from,Richard Wroughton,Osb,
[post 1804?],to,[Richard] Twining,Osb,draft
[1804-06],to,FBA,Osb,
[pre 1805],from,[Arthur?] Milles,Osb,
27 Aug [1805],to,FBA,Osb,
5 [?] Sept,to,GMAP Waddington,Osb,
19 Sept,from,James Bradley,Osb,
[?],to,FBA,Osb,
21 Oct,to,FBA,Osb,Osl [?] 1805
31 Oct,to,CB Jr,Osb,
[?],to,Christian Latrobe,Osb,
4 Nov,to,FBA,Osb,
[?],to,FBA,Osb,
[?],to,Mrs Crewe,Osb,
[?],to,FBA,Osb,
[?],from,FBA,NYPL(B),
8 May,to,FBA,Bond,
1 June,to,FBA,Osb,
[?],from,Lady Burroughes,Osb,
[?],to,FBA,Osb,
[?],to,TJ Mathias,Osb,
30 Aug,to,CB Jr,NYPL(B),
14 July,to,FBA,Osb,copy
[?],from,John Phillips,Osb,
11 Feb,to,FBA,Osb,
[?],from,Joseph Cooper Walker,Osb,
20 July,to,FBA,Coke,draft
[?],to,Sir Joseph Banks,Osb,
20 Jul[y],to,FBA,Osb,draft
[?],to,FBA,Osb,
1 Aug,to,FBA,Osb,
4 Aug,to,FBA,Osb,
[?],from,Joseph Banks,Osb,
15 AU 1806 pmk,to,FBA,Osb,NYPL(B)
[?],to,FBA,Osb,
23 AU [?] 1806 pmk,to,FBA,Osb,
3 Sept,to,Princess Charlotte [post of Udney],Osb,
17 Sept,to,FBA,Osb,
25 Sept [1806],to,FBA,Osb,draft
[post Sept 1806],to,FBA,Osb,draft
[post Sept 1806],to,FBA,Osb,
[?],to,Mrs Ferreter & Miss Willis,Osb,
[post Sept 1806],to,FBA,Osb,
12 Oct,to,FBA,Osb,
22 OC 1806 pmk,to,FBA,Osb,
[?] pmk 1806,to,FBA,Osb,
7 Nov,to,FBA,Osb,
8 Nov,from,[?],BM,
[?],to,Edmond Malone,Osb,Oxf(Bod)
[?],from,Edmond Malone,Osb,
[?],from,John Bellour,Osb,
12 Nov,to,FBA,Osb,
[?],from,John Bellour,Osb,
[?],to,FBA,NYPL(B),
17 NV [1806] pmk,to,FBA,Osb,
[?],to,John Bellour,Osb,
[post 1806?],to,Lady Crewes,Osb,
[post 1806?],to,Lord Cardigan,Osb,
[post 1 Nov 1806?],to,FBA,Osb,
[post 1806],to,FBA,Osb,draft
[post 1806?],to,Lady Crewes,Osb,
[post 1806?],to,FBA,Osb,
[?] HT,to,FBA,Osb,
[?],from,FBA,NYPL(B),
[post 1806],from,Lady Manvers,Osb,
[1806-10],to,FBA,Osb,draft
[post 1806?],to,FBA,Osb,draft
[post 1806],from,FBA,Osb,
21 Sept [1806],from,Lady Bruce,Osb,
[?],to,Rosette [Rose] Burney,Osb,
[?],to,FBA,Osb,
[post 1806?],to,[?] Herschel,Osb,
22 Dec,to,FBA,Osb,
[?],to,FBA,Osb,
[?],from,FBA,Osb,
[?] Jan,from,Longman & Co [= AL CB Jr],Osb,
[?],from,FBA,Osb,
2 Feb [1806?],from,Andrew Spottiswoode [= ALS CB],Osb,
[post 2 Feb 1807],to,FBA,Osb,draft
[?],from,Frances (Phillips) Burney to CB Jr,Osb,
1 Feb,to,FBA,Hyde,
14 Feb,to,FBA,Folger,
[?],from,Edmond Malone,Osb,
4 Mar,to,FBA,Osb,
8 May,to,FBA,NYPL(B),
[?],from,Johann Christian Hittner,Osb,
14 Mar,to,FBA,Comyn,
[post Mar 1807],to,John Caramali,Osb,draft
2 Apr,to,FBA,Osb,
12 MY 1807 pmk,to,CB Jr,Osb,
23 May [1807],from,"Mary (Palmer) Marchioness of Thomond",Osb,
22 June,to,FBA,Osb,
[?],to,CB [?],Osb,
3 Jul[y],from,Frances [Phillips] Bager to Rosette [?] Burney,Osb,
4 July,to,FBA,NYPL(B),
13 July,to,FBA,Osb,
17 July,to,Lord Charles Bruce,NYPL(B),
25 July,to,FBA,Osb,
17 July,to,CHPB,Osb,
24 July [1807],to,"Thomas, 1st Earl of Ailesbury",draft?,Osb
25 Jul[y],from,Edmond Malone,Osb,
[?],to,Lady Crewe,NYPL(B),
[28 July 1807],to,Lady Crewe,NYPL(B),
31 Aug,to,"Thomas, 1st Earl of Ailesbury",Osb,draft
5 Sept,to,FBA,Osb,
[?],to,[Lady Crewe?],Osb,
13 Oct,to,FBA,Osb,
16 Oct,to,FBA,Osb,
[?],to,Johann Christian Hittner,Osb,draft
27 Oct pmk 1807,to,Johann Christian Hittner,Osb,
1 Nov,to,FBA,Osb,
[1807],to,FBA,Osb,draft
[?],to,Elizabeth Ironmonger,Osb,
5 Nov,to,FBA,Osb,
[?],from,Johann Christian Hittner,Osb,
[?],from,Johann Christian Hittner,NYPL(B),
9 Nov,from,FBA,Osb,
[post 1807?],to,FBA,Osb,draft
[?],from,Lady Mary Lowther,Osb,
[?],from,FBA,Osb,
21 Dec,to,FBA,Osb,
[?],to,Lady Crewe [?],Osb,
[post 25 Dec 1807],to,FBA,Osb,
[?],from,Anna (Dillingham) Ord,Osb,
[1807],to,FBA,Osb,draft
