date,direction,correspondent,repository,first_line
4 Aug [1779],to,CB,NYPL(B),Your sweet Letter my dearest sir has quite
4 AU pmk [1779],from,SEB,NYPL(B),My Father then played over some songs
25-29 Aug [1779],from,SEB,BM(Bar),"Wednesday August 25th — Tho' I really think"
[Aug 1779],to,CB,NYPL(B),The fatal knell then is knolled
[Aug? 1779],to,Samuel Crisp,NYPL(B),"Well — Cut above all — "
[Aug? 1779],from,Samuel Crisp,NYPL(B),I have been half a letter filled up
25 Sept [1779],to,HLTP,NYPL(B),Your Letter my Dearest Madam have
10 Oct,to,CB,NYPL(B),"How warm all safe & all well — Mrs"
10 pmk Oct [1779],to,Samuel Crisp,NYPL(B),"the join so fat come — & I have espied [?]"
10 Oct [1779],from,SEB,BM(Bar),"I have just read Evelina over again"
[Oct 1779],from,Samuel Crisp,BM(Bar),"something his other of Capt' Mirvan"
1-[2] Nov [1779],to,SEB,BM(Bar),"Monday 1st Saturday Se'night my"
[Nov 1779],to,SEB,NYPL(B),Wednesday Nov' 3 — It shall not be said
[Nov 1779],from,Samuel Johnson,Hyde,"How should I help being uneasy Dearest"
17 Nov,to,SEB,BM(Bar),"I see a little way my dear Susy & so I will"
30 Nov-5 Dec [1779],from,SEB,BM(Bar),"Tuesday Nov'r 30th I must now get a"
[5? Dec 1779],from,Samuel Crisp,BM(Bar),The Contents of your letter from Brighton
[Dec? 1779],from,HLTP to CB,NYPL(B),Your Daughter Dear Sir is no longer here [?]
[Dec 1779],to,Samuel Crisp,NYPL(B),I have deferred Writing from Day to Day
[1779],to,Samuel Crisp,NYPL(B),I am extremely gratified by your appreciation [?]
[1779?],from,Samuel Crisp,BM(Bar),When I went down stairs I found Evelina [?]
[1779],from,SEB,BM(Bar),I cannot thank you sufficiently my dearest
[1779],from,William Seward,NYPL(B),"Mr Seward presents his compets [?] to Miss"
[1779-80],from,SEB,Shep(D),Thanks ever dearest Madam for your most [?]
[1779-84],from,Sophia Streatfield,Hyde,How should I help being uneasy Dearest [?]
[1779-86],from,Sophia Streatfield,BM(Bar),When Dear Burney did set the force [?]
[1779-86],from,Sophia Streatfield,BM(Bar),Then my Dearest Fanny was really angry with
1 Jan-13 Feb,from,SEB,NYPL(B),Jan 1st & had a very good social party
7 Jan [1780],to,Samuel Crisp,NYPL(B),Oh my dear Daddy now you are angry indeed
[c 13 Feb 1780],from,HLTP,Plat,I could not Yesterday write half my Mind & [?]
13 Feb [1780],from,Samuel Crisp,NYPL(B),if no letter was acceptable to you
[post 13 Feb 1780],from,Samuel Crisp,NYPL(B),I rec'd two Letters last night very sweet ones
[13-Apr 1780],from,SEB,NYPL(B),I rec'd your very kind Letter but
17-23 Mar [1780],to,SEB,NYPL(B),Your Letter my dearest Susan to our names [?]
[?30 Mar 1780],to,SEB,BM(Bar),[?] a careful thanks my dearest Susy for
10 Apr [1780],to,SEB,NYPL(B),"I thank you my dearest Sir much welcomer"
29 Apr [1780],from,CB,BM(Bar),"How gratified to my Heart and how fluttering"
[11]-12 Apr [1780],from,SEB,NYPL(B),"are — & that when you hear it the"
13 Apr [1780],to,Samuel Crisp,NYPL(B),to your work my Dearest Daddy & so very
13-15 Apr [1780],from,SEB,NYPL(B),"20 mond 13 th Apr — Upon my loved"
20-22 Apr [1780],to,SEB,BM(Bar),[?]
24 May,from,SEB,BM(Bar),Monday 24th Mr. Burney [?]
16 Jan [1780],to,Samuel Crisp,NYPL(B),As this sheet is but to contain a sequel
22 Jan [1780],to,Samuel Crisp,NYPL(B),[?]
17 Apr [1780],from,Samuel Crisp,BM(Bar),I was much pleased with the close of
30 Apr [1780],to,SEB,NYPL(B),It is such an age since I have written
[Apr 1780],to,SEB,NYPL(B),It is not a shocking thing my dearest Susette
[age 1780],to,SEB,NYPL(B),This Evening we have all been at
[Apr 1780],to,Samuel Crisp,Yale(Bo),"So mix our Studies & so join our names"
2 May,from,Gasparo Pacchierotti,Osb,I begin for asking your pardon having provoked
also copy,to,[?],BM(Bar),[?]
9-18 May [1780],from,SEB,BM(Bar),"Tuesday May 9th I sent off my last packet"
13 May,from,Sophia (Crisp?) Gast,NYPL(B),"How grateful to my Heart and how fluttering"
21-22 May [1780],from,SEB,NYPL(B),"Sunday Month — May 21st Oh My dear"
[post 22] May,to,SEB,NYPL(B),"Now my Susy will I begin this Budget with"
23 MA pmk [1780],to,SEB,BM(Bar),I was so incessantly engaged yesterday
28 May,to,SEB {& CAB},NYPL(B),"I was very happy my dearest Girls with the"
31 May 2,to,HLTP,Mar 340 (1230),Describes a party at Mrs Montagu's [?]
May,to,SEB,NYPL(B),So he was satisfied enough though he only saw
4 June,to,SEB,NYPL(B),To go on with Saturday Evening
8-12 June [1780],from,SEB,BM(Bar),"Thanks SEB"
11 June [1780],to,CB,NYPL(B),Here we are dearest Sir & here we mean
[10-30] June [1780],from,SEB,NYPL(B),as a great while indeed I have not seen [?]
13 June [1780],to,SEB,NYPL(B),We carried here yesterday about 7 in the
14 June [1780],to,SEB,NYPL(B),as here — & I thinking of nothing
[17 June 1780],to,SEB,NYPL(B),O what joy most dear Sir! did I see your
19 June,to,SEB,NYPL(B),All your Letters my dearest love are now
20 June [1780],to,CB,NYPL(B),I cannot help again writing to you my dearest
20-21 June,from,SEB,BM(Bar),"Tuesday Evng 20th June 1"
20 June,from,HLTP,BM(Bar),Streatham distance [?]
June,to,SEB,NYPL(B),To go on with Mrs Lambert
40 p,to,SEB,NYPL(B),[?]
1 July,to,HLTP,NYPL(B),Have you no Quality yet my Dearest Madam [?]
5 July [1780],from,HLTP,NYPL(B),My dearest Miss Burney is very kind to be [?]
8 July [1780],to,HLTP,NYPL(B),"So lost Dearest Madam! my prompt [?]"
[11 July 1780],from,HLTP,NYPL(B),None when the Post be pleased to bring
[July 1780],from,HLTP,NYPL(B),And in my Letters please do they [?]
[July? 1780],from,HLTP,NYPL(B),My Dear Miss Burney shall have her Letter
2 Aug,from,Gasparo Pacchierotti,NYPL(B),I am extremely rejoiced but not at all surprized
13 Aug,from,Samuel Crisp,BM(Bar),I am quite glad to hear the Burneyan System
16 Aug [1780],to,HLTP,NYPL(B),This Letter goes by Signor Piozzi who has it [?]
18 [Aug 1780],from,HLTP,NYPL(B),Mr Burney must send my little Dear Tyo with
[Aug-Oct 1780],from,HLTP,NYPL(B),"Tremble!!! O Presbyterians! O what indeed"
5 Sept [1780?],from,Maria (Allen) Rishton,NYPL(B),I make no excuse for not sooner answering
SE pmk [1780],to,HLTP,NYPL(B),[?]
[28 Sept 1780],from,Samuel Crisp,BM(Bar),But a poor miserable Invaled as S.C. is
Oct-Nov [1780?],to,SEB,NYPL(B),as I say you will accept Merry Christmas [?]
[Oct 1780],from,HLTP,NYPL(B),"Come to my dear Miss Burney! we have"
[Oct 1780],to,CB,NYPL(B),We have this Moment finished the Critic
3 NO pmk [1780],from,HLTP,NYPL(B),I write in the greatest hurry Imaginable & only
4 Nov [1780],to,HLTP,NYPL(B),Jobb said he w'd call — did he? he is not so
[Nov 1780],from,HLTP,NYPL(B),I never managed matters so adroitly before
1 Nov,to,SEB,NYPL(B),The Coach — the old Coach shall fetch my
13 Nov,from,Samuel Crisp,BM(Bar),[?]
18 Nov,from,Samuel Crisp,BM(Bar),If I was disappointed by your putting
[Nov 1780],to,Samuel Crisp,NYPL(B),I am at this Time at Home
28 Nov [1780],to,HLTP,Harv(H),"Is Dearest Madam what a World Indeed! —"
Nov? [1780],from,HLTP,NYPL(B),From sweet Letter drew the first Tours from my
Nov? [1780],from,HLTP,NYPL(B),I make no excuse for not sooner answering [?]
[Nov? 1780],from,HLTP,NYPL(B),I thank you a thousand Times for your kind
[Nov-Dec 1780],from,HLTP,NYPL(B),I am flirting with your Captain but must just
[Nov-Dec 1780],from,HLTP,NYPL(B),This don't come to ask how you do; Sophy
[Nov-Dec 1780],from,HLTP,NYPL(B),The Truth is my Dear Master has by a glorious
[Nov-Dec 1780],from,HLTP,NYPL(B),"Jebb said he w'd call — did he? he is not so"
[Nov-Dec 1780],from,HLTP,NYPL(B),How is the first Letter or Note I have written
[Nov-Dec? 1780],from,HLTP,NYPL(B),My Dearest Miss Burney will not be pleased to
6 Dec [1780],to,SEB,NYPL(B),As I am now well enough to employ myself
14 Dec,to,HLTP,NYPL(B),"These Days only have I left dear Streatham —"
20 Dec [1780],to,Henry Thrale,Ryl,Where I do tell you my dear Master but half
[20?] Dec,from,Gasparo Pacchierotti,Osb,"From Lucopia they sent me a letter of yours"
22 Dec [1780],to,SEB,NYPL(B),My lovely Burney will believe that I have
22 Dec [1780],from,HLTP,NYPL(B),Well! and what have I to say to my [?]
[1780],from,HLTP,NYPL(B),I am come to town partly to do some shop [?]
[1780],from,HLTP,NYPL(B),My sweet little Friend! how your true
[1780],from,HLTP,NYPL(B),On this Day is our dear Master gone to
[1780],to,HLTP,NYPL(B),O dear! O dear — What can I say — well
[1780],to,HLTP,BM(Bar),How much do I long for more good news of
[1780-81],from,SEB,NYPL(B),I am extremely concerned at the reason w'
[1780-83],from,HLTP,Neve,My dear Creature's charming letter delights [?]
17 AP pmk [1780-84],from,Elizabeth Montagu,Comyn,Thanks Dearest Madam for this cordial
[1780-84],to,HLTP,Ryl,I am quite delighted at this sweet hint & [?]
[1781],from,HLTP,Wms,As I went Yesterday I stop'd to read Hyder [?]
[1781],from,HLTP,BM(Bar),Well! and what have I to say to my [?]
[1780],from,HLTP,NYPL(B),[?]
[1780],from,HLTP,NYPL(B),Mr Hutton presents his Compliments to Miss [?]
10 Jan [1781],from,SEB,BM(Bar),"Friday Jan' 19th Yesterday was the Queen's"
19 Jan [1781],from,HLTP,NYPL(B),"On Wednesday Evening did I go to Town"
20 Jan,from,HLTP & Susanna Arabella Thrale,BM(Bar),I received your kind Letter
22 Jan [1781],from,HLTP,BM(Bar),"to select Dearest Madam I do begin to"
[post 22 Jan 1781],from,HLTP,BM(Bar),It was had not yet written just as you did
23 Jan,from,HLTP,NYPL(B),I write to Mrs. Thrale myself about your [?]
[28] Jun [1781],from,HLTP,NYPL(B),[?]
30 Jan [1781],from,HLTP,BM(Bar),"My Dearest Madam this is a disappointment"
Jan-Apr 1781,to,HLTP,BM(Bar),I regret that the people know their own good [?]
[1781],to,SEB,NYPL(B),just beginning to feel a little languid
[1781],to,HLTP,NYPL(B),"God bless you my Dearest Madam! — I think"
3 Feb [1781],to,SEB,NYPL(B),"The very good & sweet for accepting my"
3 Feb [1781],from,SEB,Osb,"My dear lovely Burney cannot be too much"
[Feb 1781],from,HLTP,BM(Bar),What it become of our dear little Burney
8 Feb [1781],to,SEB,NYPL(B),This message have two sweet & most
8 Feb [1781],from,HLTP,NYPL(B),You might me softly my dear Girl with charming [?]
10 Feb [1781],from,SEB,BM(Bar),"Saturday Feb' 10th M' & M'rs Hoole drinks tea"
[5 Feb 1781],from,HLTP,BM(Bar),This Monday Dick Burney tells me how
13 Feb [1781],from,HLTP,Wms,works & so pretty hard — it is a new
14 Feb [1781],to,HLTP,Ryl,What and I do for another Heart to give you
[10 Feb 1781],to,CB SEB & CAB,NYPL(B),I am glad we got wonderfully better & mean to be [?]
20 Feb [1781],to,SEB,NYPL(B),"Source was I got over the Common before"
[Feb 1781],from,HLTP,NYPL(B),My dearest Susy's last Letter made me sad for
Feb [1781],from,HLTP,NYPL(B),It was just [?]
20 [Mar 1781],from,HLTP,BM(Bar),I can perhaps now I am at a Distance
27 MR pmk [1781],from,Samuel Crisp,BM(Bar),Mrs has given me the utmost satisfaction
20 Mar,from,Samuel Crisp (with PS by CB),BM(Bar),You are a good soul and to trouble your head
[c Mar 1781],to,HLTP,Hyde,Sweeter than ever is my Dearest Mrs. Thrale
[c Mar 1781],from,HLTP,Hyde,I enclose my Tyo her Ticket — Peggy Pitches
[1 Mar 1781],from,HLTP,NYPL(B),I was quite to the my dearest [?]
[post 1 Apr 1781],to,SEB,NYPL(B),[?]
[3-4 Apr 1781],from,Sophia Streatfield,BM(Bar),Old Dearest Fanny — our Dear Master [?]
4 Apr [1781],to,SEB,NYPL(B),I am in Highness to Mr Scruse write to me &
[Apr 1781],to,Samuel Crisp,NYPL(B),What shall I tell you Tyo! what! but that
5 Apr,from,James Hutton,NYPL(B),Yesterday was my dear little Louisa's Birthday
[5 Apr 1781],to,SEB,NYPL(B),I by to hide myself; Brighthamstone is the
6 Apr [1781],to,SEB,NYPL(B),I would I had some Commission some Business
8 Apr,to,HLTP,NYPL(B),My Dearest Burney's Letter was doubly
8 Apr,to,SEB,NYPL(B),I can give you no Commission Dear [?]
9 Apr [1781],from,SEB,NYPL(B),How warmly & unexpectedly consoling to me
10 Apr,from,HLTP,NYPL(B),"My dear lovely Tyo let hay be now forgiven"
18 Apr,from,Gasparo Pacchierotti,Osb,What astonishingly an Effect has made on me
