author,title,date,cited_by
"Report from the Committee Appointed to Enquire into the State of the Gaols of This Kingdom","Report from the Committee... Gaols of This Kingdom",1729,"White, London in the Eighteenth Century"
"Reports from the Select Committee on the State of the Police of the Metropolis","Reports from the Select Committee... Police of the Metropolis",1816,"White, London in the Eighteenth Century"
"Reynolds, Sir Joshua","Discourses on Art",1797,"White, London in the Eighteenth Century"
"Richardson, Samuel","Pamela; or Virtue Rewarded",1740,"White, London in the Eighteenth Century"
"Richardson, Samuel","Clarissa; or The History of a Young Lady 3 vols [?]",1748,"White, London in the Eighteenth Century"
"Richardson, Samuel","The History of Sir Charles Grandison 4 vols",1753,"White, London in the Eighteenth Century"
"Ritchie, James Ewing","The Night Side of London",1857,"White, London in the Eighteenth Century"
"Robinson, Henry Crabb","Diary Reminiscences and Correspondence of Henry Crabb Robinson",1869,"White, London in the Eighteenth Century"
"Robinson, Mary","Memoirs of the Late Mrs Robinson Written by Herself",1801,"White, London in the Eighteenth Century"
"Rocque, John","A Plan of the Cities of London and Westminster and Borough of Southwark",1746,"White, London in the Eighteenth Century"
"Romilly, Sir Samuel","Memoirs of the Life of Sir Samuel Romilly Written by Himself 3 vols",1840,"White, London in the Eighteenth Century"
"Rude, George","Hanoverian London 1714-1808",1971,"White, London in the Eighteenth Century"
"Rude, George","Wilkes and Liberty",1962,"White, London in the Eighteenth Century"
"Rude, George","Paris and London in the Eighteenth Century: Studies in Popular Protest",1970,"White, London in the Eighteenth Century"
"Rush, Richard","A Residence at the Court of London",1833,"White, London in the Eighteenth Century"
"Ryskamp, Charles and Frederick A. Pottle (eds.)","Boswell: The Ominous Years 1774-1776",1963,"White, London in the Eighteenth Century"
"Saussure, Cesar de (ed. Van Muyden)","A Foreign View of England in the Reigns of George I and George II",1902,"White, London in the Eighteenth Century"
"Schwarz, L. D.","London in the Age of Industrialisation: Entrepreneurs Labour Force and Living Conditions 1700-1850",1992,"White, London in the Eighteenth Century"
"Sennett, Richard","The Fall of Public Man",1977,"White, London in the Eighteenth Century"
"Sheppard, Francis","London: A History",1998,"White, London in the Eighteenth Century"
"Sherwood, Mrs [Mary]","The Life of Mrs Sherwood (Chiefly Autobiographical)",1854,"White, London in the Eighteenth Century"
"Simond, Louis","An American in Regency England: The Journal of a Tour in 1810-1811",1815,"White, London in the Eighteenth Century"
"Sims, George R.","How the Poor Live and Horrible London",1889,"White, London in the Eighteenth Century"
"Smith, Adam","An Inquiry into the Nature and Causes of the Wealth of Nations",1776,"White, London in the Eighteenth Century"
"Smith, Charles Manby","Curiosities of London Life",1853,"White, London in the Eighteenth Century"
"Smith, John Thomas","Nollekens and His Times 2 vols",1828,"White, London in the Eighteenth Century"
"Smith, John Thomas","A Book for a Rainy Day; or Recollections of the Events of the Years 1766-1833",1845,"White, London in the Eighteenth Century"
"Smith, John Thomas","Vagabondiana; or Anecdotes of Mendicant Wanderers through the Streets of London",1817,"White, London in the Eighteenth Century"
"Smith, John Thomas","An Antiquarian Ramble in the Streets of London",1846,"White, London in the Eighteenth Century"
"Smith, John Thomas","The Cries of London",1839,"White, London in the Eighteenth Century"
"Smith, Sydney","The Works of Sydney Smith",1839,"White, London in the Eighteenth Century"
"Smollett, Tobias","The Expedition of Humphry Clinker",1771,"White, London in the Eighteenth Century"
"Smollett, Tobias","The Adventures of Roderick Random",1748,"White, London in the Eighteenth Century"
"Smollett, Tobias","The Adventures of Peregrine Pickle",1751,"White, London in the Eighteenth Century"
"Southey, Robert","Letters from England by Don Manuel Alvarez Espriella",1807,"White, London in the Eighteenth Century"
"Steele, Richard and Joseph Addison","The Tatler",1709,"White, London in the Eighteenth Century"
"Steele, Richard and Joseph Addison","The Spectator",1711,"White, London in the Eighteenth Century"
"Stow, John","A Survey of London",1598,"White, London in the Eighteenth Century"
"Stroud, Dorothy","George Dance Architect",1971,"White, London in the Eighteenth Century"
"Strype, John","A Survey of the Cities of London and Westminster",1720,"White, London in the Eighteenth Century"
"Summerson, John","Georgian London",1945,"White, London in the Eighteenth Century"
"Swift, Jonathan","Journal to Stella",1766,"White, London in the Eighteenth Century"
"Taine, Hippolyte","Notes on England",1872,"White, London in the Eighteenth Century"
"Thale, Mary (ed.)","The Autobiography of Francis Place",1972,"White, London in the Eighteenth Century"
"Thale, Mary (ed.)","Selections from the Papers of the London Corresponding Society",1983,"White, London in the Eighteenth Century"
"Thomas, P. D. G.","John Wilkes: A Friend to Liberty",1996,"White, London in the Eighteenth Century"
"Thornbury, Walter","Old and New London 6 vols",1873,"White, London in the Eighteenth Century"
"Timbs, John","Curiosities of London",1855,"White, London in the Eighteenth Century"
"Timbs, John","Club Life of London 2 vols",1866,"White, London in the Eighteenth Century"
"Tomalin, Claire","Mrs Jordan's Profession",1994,"White, London in the Eighteenth Century"
"Trotter, John Bernard","Memoirs of the Latter Years of the Right Honourable Charles James Fox",1811,"White, London in the Eighteenth Century"
"Trumbach, Randolph","Sex and the Gender Revolution Vol. 1: Heterosexuality and the Third Gender in Enlightenment London",1998,"White, London in the Eighteenth Century"
"Trusler, John","The London Adviser and Guide",1786,"White, London in the Eighteenth Century"
"Turberville, A. S. (ed.)","Johnson's England 2 vols",1933,"White, London in the Eighteenth Century"
"Uglow, Jenny","Hogarth: A Life and a World",1997,"White, London in the Eighteenth Century"
"Von Archenholz, J. W.","A Picture of England",1789,"White, London in the Eighteenth Century"
"Von Uffenbach, Zacharias Conrad","London in 1710: From the Travels of Zacharias Conrad von Uffenbach",1934,"White, London in the Eighteenth Century"
"Walpole, Horace","Anecdotes of Painting in England",1762,"White, London in the Eighteenth Century"
"Walpole, Horace","Journal of the Reign of King George the Third from the Year 1771 to 1783 2 vols",1859,"White, London in the Eighteenth Century"
"Walpole, Horace","Memoirs of the Reign of King George II 3 vols",1846,"White, London in the Eighteenth Century"
"Walpole, Horace","Memoirs of the Reign of King George III 4 vols",1845,"White, London in the Eighteenth Century"
"Walpole, Horace","Reminiscences Written in 1788 for the Amusement of Miss Mary and Miss Agnes Berry",1798,"White, London in the Eighteenth Century"
"Walvin, James","English Urban Life 1776-1851",1984,"White, London in the Eighteenth Century"
"Ward, Edward","The London Spy Compleat in Eighteen Parts",1703,"White, London in the Eighteenth Century"
"Ward, Robert Plumer","Memoirs of the Political and Literary Life of Robert Plumer Ward",1850,"White, London in the Eighteenth Century"
"Webb, Sidney and Beatrice","English Local Government",1906,"White, London in the Eighteenth Century"
"Weinreb, Ben and Christopher Hibbert (eds.)","The London Encyclopaedia",1983,"White, London in the Eighteenth Century"
"Wendebom, Gebhard Friedrich August","A View of England towards the Close of the Eighteenth Century 2 vols",1791,"White, London in the Eighteenth Century"
"Wesley, John","The Journal of the Rev. John Wesley 4 vols",1827,"White, London in the Eighteenth Century"
"West, Shearer","The Image of the Actor",1991,"White, London in the Eighteenth Century"
"Wheatley, Henry B.","London Past and Present: Its History Associations and Traditions 3 vols",1891,"White, London in the Eighteenth Century"
"Wheatley, Henry B. (ed.)","The Historical and the Posthumous Memoirs of Sir Nathaniel William Wraxall 5 vols",1884,"White, London in the Eighteenth Century"
"Wilkes, John","The Correspondence of the Late John Wilkes with His Friends 5 vols",1805,"White, London in the Eighteenth Century"
"Wraxall, Sir Nathaniel William","Historical Memoirs of My Own Time 2 vols",1815,"White, London in the Eighteenth Century"
"Wraxall, Sir Nathaniel William","Posthumous Memoirs of His Own Time 3 vols",1836,"White, London in the Eighteenth Century"
"Wroth, Warwick","The London Pleasure Gardens of the Eighteenth Century",1896,"White, London in the Eighteenth Century"
"Young, Arthur","The Farmer's Letters to the People of England",1768,"White, London in the Eighteenth Century"
