author,title,date,cited_by
"Inchbald, Elizabeth","Nature and Art",1796,"Perry, Novel Relations"
"Johnson, Samuel","Rasselas",1759,"Perry, Novel Relations"
"Lennox, Charlotte","The Female Quixote",1752,"Perry, Novel Relations"
"Lennox, Charlotte","Henrietta",1758,"Perry, Novel Relations"
"Mackenzie, Henry","The Man of Feeling",1771,"Perry, Novel Relations"
"Manley, Delarivière","The New Atalantis",1709,"Perry, Novel Relations"
"More, Hannah","Coelebs in Search of a Wife",1808,"Perry, Novel Relations"
"More, Hannah","Strictures on the Modern System of Female Education",1799,"Perry, Novel Relations"
"Opie, Amelia","Adeline Mowbray; or, The Mother and Daughter",1805,"Perry, Novel Relations"
"Radcliffe, Ann","The Mysteries of Udolpho",1794,"Perry, Novel Relations"
"Radcliffe, Ann","The Romance of the Forest",1791,"Perry, Novel Relations"
"Richardson, Samuel","Pamela; or, Virtue Rewarded",1740,"Perry, Novel Relations"
"Richardson, Samuel","Clarissa; or, The History of a Young Lady",1747,"Perry, Novel Relations"
"Richardson, Samuel","Sir Charles Grandison",1753,"Perry, Novel Relations"
"Scott, Sarah","A Description of Millenium Hall",1762,"Perry, Novel Relations"
"Scott, Sarah","The History of Sir George Ellison",1766,"Perry, Novel Relations"
"Sheridan, Frances","Memoirs of Miss Sidney Bidulph",1761,"Perry, Novel Relations"
"Smith, Charlotte","Emmeline, the Orphan of the Castle",1788,"Perry, Novel Relations"
"Smith, Charlotte","The Old Manor House",1793,"Perry, Novel Relations"
"Smith, Charlotte","Desmond",1792,"Perry, Novel Relations"
"Smollett, Tobias","Roderick Random",1748,"Perry, Novel Relations"
"Smollett, Tobias","Humphry Clinker",1771,"Perry, Novel Relations"
"Sterne, Laurence","Tristram Shandy",1759,"Perry, Novel Relations"
"Sterne, Laurence","A Sentimental Journey",1768,"Perry, Novel Relations"
"Swift, Jonathan","Gulliver's Travels",1726,"Perry, Novel Relations"
"Wollstonecraft, Mary","Maria; or, The Wrongs of Woman",1798,"Perry, Novel Relations"
"Wollstonecraft, Mary","Mary, A Fiction",1788,"Perry, Novel Relations"
"Astell, Mary","Some Reflections upon Marriage",1700,"Perry, Novel Relations"
"Astell, Mary","A Serious Proposal to the Ladies",1694,"Perry, Novel Relations"
"Blackstone, William","Commentaries on the Laws of England",1765,"Perry, Novel Relations"
"Chapone, Hester","Letters on the Improvement of the Mind",1773,"Perry, Novel Relations"
"Fordyce, James","Sermons to Young Women",1766,"Perry, Novel Relations"
"Gisborne, Thomas","An Enquiry into the Duties of the Female Sex",1797,"Perry, Novel Relations"
"Gregory, John","A Father's Legacy to his Daughters",1774,"Perry, Novel Relations"
"Halifax, Marquis of (George Savile)","The Lady's New Year's Gift; or, Advice to a Daughter",1688,"Perry, Novel Relations"
"Locke, John","Some Thoughts Concerning Education",1693,"Perry, Novel Relations"
"Locke, John","Two Treatises of Government",1689,"Perry, Novel Relations"
"Macaulay, Catharine","Letters on Education",1790,"Perry, Novel Relations"
"Montagu, Lady Mary Wortley","Letters",,"Perry, Novel Relations"
"Pennington, Lady Sarah","An Unfortunate Mother's Advice to her Absent Daughters",1761,"Perry, Novel Relations"
"Reeve, Clara","Plans of Education",1792,"Perry, Novel Relations"
"Rousseau, Jean-Jacques","Emile; or, On Education",1762,"Perry, Novel Relations"
"Trimmer, Sarah","The Oeconomy of Charity",1787,"Perry, Novel Relations"
"Wakefield, Priscilla","Reflections on the Present Condition of the Female Sex",1798,"Perry, Novel Relations"
"Wollstonecraft, Mary","A Vindication of the Rights of Woman",1792,"Perry, Novel Relations"
"Wollstonecraft, Mary","Thoughts on the Education of Daughters",1787,"Perry, Novel Relations"
,"An Act for the Better Prevention of Clandestine Marriages (Lord Hardwicke's Marriage Act)",1753,"Perry, Novel Relations"
"Burn, Richard","The Justice of the Peace and Parish Officer",,"Perry, Novel Relations"
,"The Laws Respecting Women",1777,"Perry, Novel Relations"
,"The Gentleman's Magazine",,"Perry, Novel Relations"
,"The Lady's Magazine",,"Perry, Novel Relations"
,"The Monthly Review",,"Perry, Novel Relations"
,"The Critical Review",,"Perry, Novel Relations"
"Johnson, Samuel","The Rambler",1750,"Perry, Novel Relations"
"Addison, Joseph and Richard Steele","The Spectator",1711,"Perry, Novel Relations"
"Steele, Richard","The Tatler",1709,"Perry, Novel Relations"
"Boswell, James","Life of Johnson",1791,"Perry, Novel Relations"
"Gibbon, Edward","Memoirs of My Life",,"Perry, Novel Relations"
"Johnson, Samuel","Lives of the English Poets",1779,"Perry, Novel Relations"
"Pope, Alexander","The Rape of the Lock",1712,"Perry, Novel Relations"
"Pope, Alexander","Epistles to Several Persons (Moral Essays)",1731,"Perry, Novel Relations"
"Gay, John","The Beggar's Opera",1728,"Perry, Novel Relations"
"Lillo, George","The London Merchant",1731,"Perry, Novel Relations"
"Steele, Richard","The Conscious Lovers",1722,"Perry, Novel Relations"
"Cumberland, Richard","The West Indian",1771,"Perry, Novel Relations"
"Colman, George and David Garrick","The Clandestine Marriage",1766,"Perry, Novel Relations"
"Cowper, William","The Task",1785,"Perry, Novel Relations"
"Thomson, James","The Seasons",1726,"Perry, Novel Relations"
"Goldsmith, Oliver","The Deserted Village",1770,"Perry, Novel Relations"
"Goldsmith, Oliver","She Stoops to Conquer",1773,"Perry, Novel Relations"
"Sheridan, Richard Brinsley","The School for Scandal",1777,"Perry, Novel Relations"
"Sheridan, Richard Brinsley","The Rivals",1775,"Perry, Novel Relations"
