person_a_id,person_a_name,person_a_type,relationship,person_b_id,person_b_name,person_b_type,date,source
AUTHOR_FBURNEY,Frances Burney,author,child_of,AUTHOR_CBURNEYSR,Charles Burney Sr,author,,General knowledge
AUTHOR_FBURNEY,Frances Burney,author,friend_of,AUTHOR_SJOHNSON,Samuel Johnson,author,,General knowledge
AUTHOR_FBURNEY,Frances Burney,author,friend_of,AUTHOR_HTHRALE,Hester Thrale Piozzi,author,,General knowledge
AUTHOR_FBURNEY,Frances Burney,author,patron,AUTHOR_QUEENCHARLOTTE,Queen Charlotte,author,1786,General knowledge
AUTHOR_FBURNEY,Frances Burney,author,sibling_of,AUTHOR_SBURNEY,Susan Burney,author,,General knowledge
AUTHOR_FBURNEY,Frances Burney,author,sibling_of,AUTHOR_CBURNEYJR,Charles Burney Jr,author,,General knowledge
AUTHOR_FBURNEY,Frances Burney,author,sibling_of,AUTHOR_JBURNEY,James Burney,author,,General knowledge
AUTHOR_FBURNEY,Frances Burney,author,spouse_of,AUTHOR_DARBLAY,Alexandre d'Arblay,author,1793,General knowledge
AUTHOR_HMORE,Hannah More,author,friend_of,AUTHOR_GARRICK,David Garrick,author,,General knowledge
AUTHOR_HMORE,Hannah More,author,friend_of,AUTHOR_SJOHNSON,Samuel Johnson,author,,General knowledge
AUTHOR_HMORE,Hannah More,author,friend_of,AUTHOR_HWALPOLE,Horace Walpole,author,,General knowledge
AUTHOR_HFIELDING,Henry Fielding,author,frequented,VENUE_LON110,Bedford Coffee House,venue,,General knowledge
AUTHOR_HFIELDING,Henry Fielding,author,friend_of,AUTHOR_SRICHARDSON,Samuel Richardson,author,,General knowledge — complex rivalry
AUTHOR_HFIELDING,Henry Fielding,author,sibling_of,AUTHOR_SFIELDING,Sarah Fielding,author,,General knowledge
AUTHOR_HWALPOLE,Horace Walpole,author,frequented,VENUE_LON119,White's Chocolate House,venue,,General knowledge
AUTHOR_JBOSWELL,James Boswell,author,member_of,VENUE_LON109,The Club (Turk's Head),venue,1773,General knowledge
AUTHOR_JAUSTEN,Jane Austen,author,influenced_by,AUTHOR_FBURNEY,Frances Burney,author,,"Perry, Novel Relations"
AUTHOR_JAUSTEN,Jane Austen,author,influenced_by,AUTHOR_SRICHARDSON,Samuel Richardson,author,,"Perry, Novel Relations"
AUTHOR_JAUSTEN,Jane Austen,author,sibling_of,AUTHOR_HAUSTEN,Henry Austen,author,,General knowledge — Henry was her literary agent
AUTHOR_JAUSTEN,Jane Austen,author,sibling_of,AUTHOR_CAUSTEN,Cassandra Austen,author,,General knowledge
AUTHOR_JSWIFT,Jonathan Swift,author,frequented,VENUE_LON111,St James's Coffee House,venue,,General knowledge
AUTHOR_JSWIFT,Jonathan Swift,author,frequented,VENUE_LON112,Grecian Coffee House,venue,,General knowledge
AUTHOR_JSWIFT,Jonathan Swift,author,friend_of,AUTHOR_JGAY,John Gay,author,,General knowledge — Scriblerus Club
AUTHOR_JSWIFT,Jonathan Swift,author,friend_of,AUTHOR_HSTJOHN,"Henry St John, Viscount Bolingbroke",author,,General knowledge
AUTHOR_JREYNOLDS,Joshua Reynolds,author,member_of,VENUE_LON109,The Club (Turk's Head),venue,1764,General knowledge
AUTHOR_LSTERNE,Laurence Sterne,author,friend_of,AUTHOR_GARRICK,David Garrick,author,,General knowledge
AUTHOR_LSTERNE,Laurence Sterne,author,friend_of,AUTHOR_JREYNOLDS,Joshua Reynolds,author,,General knowledge
AUTHOR_MEDGEWORTH,Maria Edgeworth,author,child_of,AUTHOR_RLEDGEWORTH,Richard Lovell Edgeworth,author,,General knowledge
AUTHOR_MEDGEWORTH,Maria Edgeworth,author,influenced_by,AUTHOR_JJROUSSEAU,Jean-Jacques Rousseau,author,,"Perry, Novel Relations"
AUTHOR_MWOLLSTONECRAFT,Mary Wollstonecraft,author,child_of_result,AUTHOR_MSHELLEY,Mary Shelley,author,1797,General knowledge
AUTHOR_MWOLLSTONECRAFT,Mary Wollstonecraft,author,friend_of,AUTHOR_JPRIESTLEY,Joseph Priestley,author,,General knowledge — Rational Dissenters
AUTHOR_MWOLLSTONECRAFT,Mary Wollstonecraft,author,friend_of,AUTHOR_RPRICE,Richard Price,author,,General knowledge — Newington Green
AUTHOR_MWOLLSTONECRAFT,Mary Wollstonecraft,author,spouse_of,AUTHOR_WGODWIN,William Godwin,author,1797,General knowledge
AUTHOR_OGOLDSMITH,Oliver Goldsmith,author,friend_of,AUTHOR_JREYNOLDS,Joshua Reynolds,author,,General knowledge — The Club
AUTHOR_OGOLDSMITH,Oliver Goldsmith,author,member_of,VENUE_LON109,The Club (Turk's Head),venue,1764,General knowledge
AUTHOR_RBSHERIDAN,Richard Brinsley Sheridan,author,frequented,VENUE_LON110,Bedford Coffee House,venue,,General knowledge
AUTHOR_RBSHERIDAN,Richard Brinsley Sheridan,author,friend_of,AUTHOR_FBURNEY,Frances Burney,author,,General knowledge
AUTHOR_RBSHERIDAN,Richard Brinsley Sheridan,author,member_of,VENUE_LON109,The Club (Turk's Head),venue,1777,General knowledge
AUTHOR_RBSHERIDAN,Richard Brinsley Sheridan,author,spouse_of,AUTHOR_ELINLEY,Elizabeth Linley,author,1773,General knowledge
AUTHOR_SJOHNSON,Samuel Johnson,author,child_of,BS_JOHNSON_4,Michael Johnson,bookseller,,General knowledge — father was Lichfield bookseller
AUTHOR_SJOHNSON,Samuel Johnson,author,friend_of,AUTHOR_JBOSWELL,James Boswell,author,,General knowledge
AUTHOR_SJOHNSON,Samuel Johnson,author,friend_of,AUTHOR_HTHRALE,Hester Thrale Piozzi,author,,General knowledge
AUTHOR_SJOHNSON,Samuel Johnson,author,friend_of,AUTHOR_EBURKE,Edmund Burke,author,,General knowledge — The Club
AUTHOR_SJOHNSON,Samuel Johnson,author,friend_of,AUTHOR_OGOLDSMITH,Oliver Goldsmith,author,,General knowledge — The Club
AUTHOR_SJOHNSON,Samuel Johnson,author,friend_of,AUTHOR_JREYNOLDS,Joshua Reynolds,author,,General knowledge — The Club
AUTHOR_SJOHNSON,Samuel Johnson,author,friend_of,AUTHOR_GARRICK,David Garrick,author,,General knowledge — schoolfellows
AUTHOR_SJOHNSON,Samuel Johnson,author,friend_of,AUTHOR_CLENNOX,Charlotte Lennox,author,,General knowledge
AUTHOR_SJOHNSON,Samuel Johnson,author,member_of,VENUE_LON109,The Club (Turk's Head),venue,1764,General knowledge
AUTHOR_SJOHNSON,Samuel Johnson,author,patron_of,AUTHOR_CLENNOX,Charlotte Lennox,author,,General knowledge — championed Female Quixote
AUTHOR_SRICHARDSON,Samuel Richardson,author,friend_of,AUTHOR_SJOHNSON,Samuel Johnson,author,,General knowledge
AUTHOR_SRICHARDSON,Samuel Richardson,author,friend_of,AUTHOR_CLENNOX,Charlotte Lennox,author,,General knowledge
AUTHOR_SRICHARDSON,Samuel Richardson,author,mentor_of,AUTHOR_HCHAPONE,Hester Chapone,author,,General knowledge
AUTHOR_SRICHARDSON,Samuel Richardson,author,spouse_of,AUTHOR_AWILDE,Allington Wilde,author,,General knowledge — married into bookselling family
AUTHOR_SFIELDING,Sarah Fielding,author,friend_of,AUTHOR_SRICHARDSON,Samuel Richardson,author,,General knowledge
AUTHOR_TSMOLLETT,Tobias Smollett,author,rival_of,AUTHOR_HFIELDING,Henry Fielding,author,,General knowledge
AUTHOR_TSMOLLETT,Tobias Smollett,author,rival_of,AUTHOR_LSTERNE,Laurence Sterne,author,,General knowledge
BS_,,bookseller,succeeded_by,,Elizabeth  Calvert,unknown,,Plomer (1668-1725)
BS_RHAMES,Aaron Rhames,bookseller,child_of,,Matthew  Rhodes,unknown,,Plomer (1668-1725)
BS_ROPER,Abel Roper,bookseller,nephew_of,BS_ROPER,Abel Roper,bookseller,,Plomer (1668-1725)
BS_ROPER,Abel Roper,bookseller,succeeded_by,BS_ROPER,Abel Roper,bookseller,,Plomer (1668-1725)
BS_DONALDSON,Alexander Donaldson,bookseller,publisher_of,AUTHOR_DAVID,"Hume, David",author,1752,harris_hume_bibliography.csv
BS_HENDERSON,Alexander Henderson,bookseller,succeeded_by,BS_COLLINS_2,Freeman Collins,bookseller,,Plomer (1668-1725)
BS_KINCAID,Alexander Kincaid,bookseller,publisher_of,AUTHOR_DAVID,"Hume, David",author,1741,harris_hume_bibliography.csv
BS_WILDE,Allington Wilde,bookseller,child_of,BS_WILDE_2,John Wilde,bookseller,,Plomer (1668-1725)
BS_WILDE,Allington Wilde,bookseller,spouse_of,BS_RICHARDSON_4,Samuel Richardson,bookseller,,Plomer (1668-1725)
BS_CLARK,Andrew Clark,bookseller,succeeded_by,,James  Flesher,unknown,,Plomer (1668-1725)
BS_MILLAR,Andrew Millar,bookseller,publisher_of,AUTHOR_JAMES,"Thomson, James",author,1726,perry_novel_relations_bibliography.csv
BS_MILLAR,Andrew Millar,bookseller,publisher_of,AUTHOR_HENRY,"Fielding, Henry",author,1742,perry_novel_relations_bibliography.csv
BS_MILLAR,Andrew Millar,bookseller,publisher_of,AUTHOR_SARAH,"Fielding, Sarah",author,1744,white_bibliography_batch1.csv
BS_MILLAR,Andrew Millar,bookseller,publisher_of,AUTHOR_DAVID,"Hume, David",author,1748,harris_hume_bibliography.csv
BS_MILLAR,Andrew Millar,bookseller,publisher_of,AUTHOR_SAMUEL,"Johnson, Samuel",author,1755,harris_hume_bibliography.csv
BS_MILLAR,Andrew Millar,bookseller,publisher_of,AUTHOR_ADAM,"Smith, Adam",author,1759,harris_hume_bibliography.csv
BS_MILLAR,Andrew Millar,bookseller,publisher_of,AUTHOR_WILLIAM,"Robertson, William",author,1759,harris_hume_bibliography.csv
BS_MILLAR,Andrew Millar,bookseller,succeeded_by,BS_CADELL,Thomas Cadell I,bookseller,1768,Harris
BS_BALDWIN,Ann Baldwin,bookseller,widow_of,BS_BALDWIN_2,Richard Baldwin,bookseller,,Plomer (1668-1725)
BS_SPEED,Anne Speed,bookseller,spouse_of,BS_SPEED,Anne Speed,bookseller,,Plomer (1668-1725)
BS_GODBID,Arthur Godbid,bookseller,child_of,BS_GODBID,Arthur Godbid,bookseller,,Plomer (1668-1725)
BS_CHURCHILL,Awnsham Churchill,bookseller,child_of,BS_CHURCHILL,Awnsham Churchill,bookseller,,Plomer (1668-1725)
BS_SIMMONS,B. Simmons,bookseller,succeeded_by,BS_SIMMONS,B. Simmons,bookseller,,Plomer (1668-1725)
BS_CORBETT,Benjamin Corbett,bookseller,child_of,,Waites,unknown,,Plomer (1668-1725)
BS_COX_2,Benjamin Cox,bookseller,succeeded_by,BS_SMITH_3,E. Smith,bookseller,,Plomer (1668-1725)
BS_HURLOCK,Benjamin Hurlock,bookseller,child_of,BS_HURLOCK,Benjamin Hurlock,bookseller,,Plomer (1668-1725)
BS_JOHNSON,Benjamin Johnson,bookseller,apprentice_of,,Mr,unknown,,Plomer (1668-1725)
BS_JOHNSON,Benjamin Johnson,bookseller,sibling_of,,Michael,unknown,,Plomer (1668-1725)
BS_MOTTE,Benjamin Motte,bookseller,succeeded_by,,Charles  Bathurst,unknown,,Plomer (1668-1725)
BS_SPRINT_2,Benjamin Sprint,bookseller,child_of,BS_SPRINT,Bartholomew Sprint,bookseller,,Plomer (1668-1725)
BS_THRALE,Benjamin Thrale,bookseller,child_of,BS_THRALE_2,Richard Thrale,bookseller,,Plomer (1668-1725)
BS_TOOKE,Benjamin Tooke,bookseller,succeeded_by,BS_CROOKE_3,John Crooke,bookseller,,Plomer (1668-1725)
BS_GRIFFIN,Bennet Griffin,bookseller,child_of,BS_GRIFFIN,Bennet Griffin,bookseller,,Plomer (1668-1725)
BS_BRUDENELL,Brudenell,bookseller,child_of,BS_BRUDENELL,Brudenell,bookseller,,Plomer (1668-1725)
BS_BORBET,C. Borbet,bookseller,publisher_of,AUTHOR_DAVID,"Hume, David",author,1740,harris_hume_bibliography.csv
BS_BILL,Charles Bill,bookseller,child_of,BS_BILL,Charles Bill,bookseller,,Plomer (1668-1725)
BS_BROME,Charles Brome,bookseller,child_of,BS_BROME,Charles Brome,bookseller,,Plomer (1668-1725)
BS_BROME,Charles Brome,bookseller,succeeded_by,BS_BROME,Charles Brome,bookseller,,Plomer (1668-1725)
BS_BROME,Charles Brome,bookseller,widow_of,,Henry,unknown,,Plomer (1668-1725)
BS_MEARNE_2,Charles Mearne,bookseller,child_of,,Samuel  Meame,unknown,,Plomer (1668-1725)
BS_MORDEN,Charles Morden,bookseller,child_of,BS_MORDEN_2,Robert Morden,bookseller,,Plomer (1668-1725)
BS_RIVINGTON_2,Charles Rivington,bookseller,child_of,BS_RIVINGTON_2,Charles Rivington,bookseller,,Plomer (1668-1725)
BS_RIVINGTON,Charles Rivington,bookseller,frequented,VENUE_LON113,Child's Coffee House,venue,,General knowledge — St Paul's Churchyard booksellers
BS_RIVINGTON,Charles Rivington,bookseller,publisher_of,AUTHOR_SAMUEL,"Richardson, Samuel",author,1740,white_bibliography_batch2.csv
BS_DRING,Daniel Dring,bookseller,child_of,BS_DRING,Daniel Dring,bookseller,,Plomer (1668-1725)
BS_MIDWINTER,Daniel Midwinter,bookseller,succeeded_by,BS_DANIEL,M. Daniel,bookseller,,Plomer (1668-1725)
BS_PAVVLETT,E. Pavvlett,bookseller,widow_of,BS_PAWLETT,Edward Pawlett,bookseller,,Plomer (1668-1725)
BS_WILKINSON_2,E. Wilkinson,bookseller,widow_of,BS_WILKINSON,Christopher Wilkinson,bookseller,,Plomer (1668-1725)
BS_JEFFERY,Edmund Jeffery,bookseller,succeeded_by,,Wm,unknown,,Plomer (1668-1725)
BS_GELLIBRAND,Edward Gellibrand,bookseller,child_of,BS_GELLIBRAND_3,Samuel Gellibrand,bookseller,,Plomer (1668-1725)
BS_BLARE,Elizabeth Blare,bookseller,widow_of,BS_BLARE_2,Josiah  Or  Joseph Blare,bookseller,,Plomer (1668-1725)
BS_CROOKE_2,Elizabeth Crooke,bookseller,succeeded_by,BS_CROOKE_2,Elizabeth Crooke,bookseller,,Plomer (1668-1725)
BS_HARRIS_2,Elizabeth Harris,bookseller,widow_of,BS_HARRIS,Benjamin Harris,bookseller,,Plomer (1668-1725)
BS_WHITLOCK,Elizabeth Whitlock,bookseller,widow_of,BS_WHITLOCK_2,John Whitlock,bookseller,,Plomer (1668-1725)
BS_MATTHEWS,Emanuel Matthews,bookseller,child_of,BS_MATTHEWS_2,John Matthews,bookseller,,Plomer (1668-1725)
BS_FENNER,Enoch Fenner,bookseller,child_of,BS_FENNER_3,Rest Fenner,bookseller,,Plomer (1668-1725)
BS_HOPPER,George Hopper,bookseller,succeeded_by,,Thomas  Home,unknown,,Plomer (1668-1725)
BS_JAMES,George James,bookseller,sibling_of,,John,unknown,,Plomer (1668-1725)
BS_JAMES,George James,bookseller,succeeded_by,BS_BARBER,John Barber,bookseller,,Plomer (1668-1725)
BS_LARKIN_2,George Larkin,bookseller,child_of,BS_LARKIN_2,George Larkin,bookseller,,Plomer (1668-1725)
BS_PAWLETT_2,George Pawlett,bookseller,child_of,BS_PAWLETT_2,George Pawlett,bookseller,,Plomer (1668-1725)
BS_SAWBRIDGE,George Sawbridge,bookseller,succeeded_by,BS_SAWBRIDGE,George Sawbridge,bookseller,,Plomer (1668-1725)
BS_WALBANCK_2,George Walbanck,bookseller,succeeded_by,BS_WALBANCK_2,George Walbanck,bookseller,,Plomer (1668-1725)
BS_WELLS,George Wells,bookseller,child_of,,Dr,unknown,,Plomer (1668-1725)
BS_COWNLY,"Gh,Bert Cownly",bookseller,succeeded_by,,William  Cademan,unknown,,Plomer (1668-1725)
BS_HILLS,Gilham Hills,bookseller,child_of,BS_HILLS,Gilham Hills,bookseller,,Plomer (1668-1725)
BS_HINDMARSH,H. Hindmarsh,bookseller,succeeded_by,BS_HINDMARSH,H. Hindmarsh,bookseller,,Plomer (1668-1725)
BS_SAWBRIDGE_2,Hannah Sawbridge,bookseller,widow_of,BS_SAWBRIDGE_3,Thomas Sawbridge,bookseller,,Plomer (1668-1725)
BS_CROSSGROVE,Henry Crossgrove,bookseller,child_of,BS_CROSSGROVE,Henry Crossgrove,bookseller,,Plomer (1668-1725)
BS_CROSSGROVE,Henry Crossgrove,bookseller,widow_of,,John  Fellows,unknown,,Plomer (1668-1725)
BS_HILLS_3,Henry Hills,bookseller,child_of,BS_HILLS_2,Henry Hills,bookseller,,Plomer (1668-1725)
BS_KNOX,Henry Knox,bookseller,child_of,BS_KNOX,Henry Knox,bookseller,,Plomer (1668-1725)
BS_KNOX,Henry Knox,bookseller,sibling_of,,Edinburgh,unknown,,Plomer (1668-1725)
BS_MILLION,Henry Million,bookseller,child_of,BS_MILLION,Henry Million,bookseller,,Plomer (1668-1725)
BS_OVERTON,Henry Overton,bookseller,child_of,BS_OVERTON,Henry Overton,bookseller,,Plomer (1668-1725)
BS_PARKHURST,I Bomas Parkhurst,bookseller,apprentice_of,,John  Garke,unknown,,Plomer (1668-1725)
BS_DAWKS,Ichabod Dawks,bookseller,child_of,BS_DAWKS_3,Thomas Dawks,bookseller,,Plomer (1668-1725)
BS_KING_3,J. King,bookseller,succeeded_by,BS_DUNTON,John Dunton,bookseller,,Plomer (1668-1725)
BS_LYFORD,J. Lyford,bookseller,succeeded_by,BS_KINCAID,Alexander Kincaid,bookseller,,Plomer (1668-1725)
BS_TONSON,Jacob Tonson,bookseller,child_of,BS_TONSON,Jacob Tonson,bookseller,,Plomer (1668-1725)
BS_TONSON_2,Jacob Tonson,bookseller,child_of,,Richard,unknown,,Plomer (1668-1725)
BS_TONSON_2,Jacob Tonson,bookseller,nephew_of,BS_TONSON,Jacob Tonson,bookseller,,Plomer (1668-1725)
BS_TONSON,Jacob Tonson,bookseller,sibling_of,BS_TONSON,Jacob Tonson,bookseller,,Plomer (1668-1725)
BS_TONSON_2,Jacob Tonson,bookseller,succeeded_by,BS_JACOB,Wnxi Am Jacob,bookseller,,Plomer (1668-1725)
BS_TONSON_SR,Jacob Tonson I,bookseller,publisher_of,AUTHOR_JOHN,"Locke, John",author,1690,harris_hume_bibliography.csv
BS_TONSON_SR,Jacob Tonson I,bookseller,publisher_of,AUTHOR_ADDISON,"Steele, Richard and Joseph Addison",author,1709,white_bibliography_batch2.csv
BS_TONSON_SR,Jacob Tonson I,bookseller,publisher_of,AUTHOR_DELARIVIÈRE,"Manley, Delarivière",author,1709,perry_novel_relations_bibliography.csv
BS_TONSON_SR,Jacob Tonson I,bookseller,publisher_of,AUTHOR_STEELE,"Addison, Joseph and Richard Steele",author,1711,perry_novel_relations_bibliography.csv
BS_TONSON_SR,Jacob Tonson I,bookseller,publisher_of,AUTHOR_JOSEPHADDISON,JosephAddison,author,1711,sources_catalog.csv
BS_TONSON_SR,Jacob Tonson I,bookseller,publisher_of,AUTHOR_COOPER),"Shaftesbury, Third Earl of (Anthony Ashley Cooper)",author,1711,harris_hume_bibliography.csv
BS_TONSON_SR,Jacob Tonson I,bookseller,succeeded_by,BS_TONSON_JR,Jacob Tonson II,bookseller,1720,Plomer
BS_TONSON_JR,Jacob Tonson II,bookseller,publisher_of,AUTHOR_ADDISON,"Steele, Richard and Joseph Addison",author,1709,white_bibliography_batch2.csv
BS_TONSON_JR,Jacob Tonson II,bookseller,publisher_of,AUTHOR_RICHARD,"Steele, Richard",author,1709,perry_novel_relations_bibliography.csv
BS_TONSON_JR,Jacob Tonson II,bookseller,publisher_of,AUTHOR_RICHARDSTEELE,RichardSteele,author,1710,sources_catalog.csv
BS_TONSON_JR,Jacob Tonson II,bookseller,publisher_of,AUTHOR_STEELE,"Addison, Joseph and Richard Steele",author,1711,perry_novel_relations_bibliography.csv
BS_TONSON_JR,Jacob Tonson II,bookseller,publisher_of,AUTHOR_JOSEPHADDISON,JosephAddison,author,1711,sources_catalog.csv
BS_TONSON_JR,Jacob Tonson II,bookseller,publisher_of,AUTHOR_ALEXANDER,"Pope, Alexander",author,1733,harris_hume_bibliography.csv
BS_CURTIS,Jane Curtis,bookseller,spouse_of,BS_CURTIS,Jane Curtis,bookseller,,Plomer (1668-1725)
BS_BROME_2,Joanna Brome,bookseller,widow_of,BS_BROME,Charles Brome,bookseller,,Plomer (1668-1725)
BS_ASTWOOD_2,John Astwood,bookseller,child_of,BS_ASTWOOD,J Ames Astwood,bookseller,,Plomer (1668-1725)
BS_BACK,John Back,bookseller,child_of,,John,unknown,,Plomer (1668-1725)
BS_BASKETT,John Baskett,bookseller,widow_of,,Andrew  Anderson,unknown,,Plomer (1668-1725)
BS_BRADFORD,John Bradford,bookseller,sibling_of,BS_BRADFORD,John Bradford,bookseller,,Plomer (1668-1725)
BS_BULLORD,John Bullord,bookseller,succeeded_by,BS_BLAGRAVE,Obadiah Blagrave,bookseller,,Plomer (1668-1725)
BS_CHURCHILL_2,John Churchill,bookseller,sibling_of,BS_CHURCHILL_2,John Churchill,bookseller,,Plomer (1668-1725)
BS_DARBY_2,John Darby,bookseller,spouse_of,BS_CLARKE_7,William Clarke,bookseller,,Plomer (1668-1725)
BS_DARBY,John Darby,bookseller,succeeded_by,,John,unknown,,Plomer (1668-1725)
BS_GUY,John Guy,bookseller,sibling_of,BS_GUY,John Guy,bookseller,,Plomer (1668-1725)
BS_HANCOCK_2,John Hancock,bookseller,child_of,BS_HANCOCK,John Hancock,bookseller,,Plomer (1668-1725)
BS_LEAKE,John Leake,bookseller,child_of,BS_LEAKE_2,William Leake,bookseller,,Plomer (1668-1725)
BS_MARLOW,John Marlow,bookseller,child_of,,Quality,unknown,,Plomer (1668-1725)
BS_MATTHEWS_3,John Matthews,bookseller,child_of,BS_MATTHEWS,Emanuel Matthews,bookseller,,Plomer (1668-1725)
BS_MINSHULL,John Minshull,bookseller,child_of,,Manchester,unknown,,Plomer (1668-1725)
BS_MURRAY_I,John Murray I,bookseller,publisher_of,AUTHOR_CHARLOTTE,"Lennox, Charlotte",author,1752,perry_novel_relations_bibliography.csv
BS_MURRAY_I,John Murray I,bookseller,publisher_of,AUTHOR_JOSEPH,"Priestley, Joseph",author,1774,harris_hume_bibliography.csv
BS_NOON,John Noon,bookseller,publisher_of,AUTHOR_DAVID,"Hume, David",author,1739,harris_hume_bibliography.csv
BS_NUTT_2,John Nutt,bookseller,succeeded_by,BS_NUTT_2,John Nutt,bookseller,,Plomer (1668-1725)
BS_PLAYFORD_2,John Playford,bookseller,child_of,BS_PLAYFORD_2,John Playford,bookseller,,Plomer (1668-1725)
BS_PLAYFORD_2,John Playford,bookseller,nephew_of,BS_PLAYFORD_2,John Playford,bookseller,,Plomer (1668-1725)
BS_PLAYFORD_2,John Playford,bookseller,widow_of,BS_GODBID,Arthur Godbid,bookseller,,Plomer (1668-1725)
BS_ROGERS_2,John Rogers,bookseller,child_of,BS_ROGERS,Henry Rogers,bookseller,,Plomer (1668-1725)
BS_SPRINT_3,John Sprint,bookseller,child_of,BS_SPRINT_4,Samuel Sprint,bookseller,,Plomer (1668-1725)
BS_WHITE_2,John White,bookseller,child_of,BS_WHITE_6,Robert White,bookseller,,Plomer (1668-1725)
BS_WHITLOCK_2,John Whitlock,bookseller,succeeded_by,BS_WHITLOCK_2,John Whitlock,bookseller,,Plomer (1668-1725)
BS_WILDE_2,John Wilde,bookseller,apprentice_of,BS_WILDE_3,Joseph Wilde,bookseller,,Plomer (1668-1725)
BS_WILDE_2,John Wilde,bookseller,succeeded_by,BS_WILDE_2,John Wilde,bookseller,,Plomer (1668-1725)
BS_WILLIAMS,John Williams,bookseller,succeeded_by,BS_WILLIAMS,John Williams,bookseller,,Plomer (1668-1725)
BS_GREENWOOD,Jonathan Greenwood,bookseller,apprentice_of,,Mr,unknown,,Plomer (1668-1725)
BS_BOWERS,Joseph Bowers,bookseller,child_of,,Honour,unknown,,Plomer (1668-1725)
BS_MARSHALL_2,Joseph Marshall,bookseller,child_of,BS_MARSHALL_3,William Marshall,bookseller,,Plomer (1668-1725)
BS_WILDE_3,Joseph Wilde,bookseller,apprentice_of,BS_SAWBRIDGE,George Sawbridge,bookseller,,Plomer (1668-1725)
