bookseller_id,venue_id,date_min,date_max,address_detail,source
BS_BILLINGSLEY,LON107,1669,1706,"Printing  Press,  at  the entrance  into  Gresham  College,  Broad  Street ;  over  against  the  Church  ; (2)  (a)  within  the  South-west  Piazza,  (b)  under  the  Piazza,  of  the  Royal Exchange,  Comhill ;  over  against  Pope's  Head  Alley",Plomer (1668-1725)
BS_BIRCH,LON098,1669,1722,Cheapside,Plomer (1668-1725)
BS_BIRD,LON028,1683,1683,Sun  in  Westminster  Hall,Plomer (1668-1725)
BS_BLACK,LON050,1694,1694,Holborn,Plomer (1668-1725)
BS_BLACKWELL,LON050,1690,1690,"Bernard's  Inn  Gate,  Holborn,",Plomer (1668-1725)
BS_BLAGRAVE,LON105,1669,1677,Printing  Press,Plomer (1668-1725)
BS_BLAND,LON031,1706,1708,near  Fleet Street,Plomer (1668-1725)
BS_BLARE,LON106,1707,1707,"The  Looking  Glass  on  London Bridge,",Plomer (1668-1725)
BS_BLARE_2,LON106,1683,1706,"The  Looking  Glass  on  London Bridge,",Plomer (1668-1725)
BS_BLOME,LON100,1641,1684,Strand,Plomer (1668-1725)
BS_BODDINGTON,LON105,1722,1722,"Duck  Lane,  171 1-25",Plomer (1668-1725)
BS_BODDINGTON_2,LON105,1687,1687,"Golden  Ball,  Duck  Lane,",Plomer (1668-1725)
BS_BOLDERO,LON031,1677,1677,"Mitre, Mitre  Court, Fleet  Street, near  the  Inner  Temple",Plomer (1668-1725)
BS_BONWICKE,LON102,1677,1706,Churchyard,Plomer (1668-1725)
BS_BONWICKE_2,LON102,1699,1714,Churchyard,Plomer (1668-1725)
BS_BONWICKE_3,LON102,1706,1706,Churchyard,Plomer (1668-1725)
BS_BOSVILLE,LON031,1703,1703,The  Dial  and  Bible  in  Fleet  Street,Plomer (1668-1725)
BS_BOTHAM,LON028,1641,1724,Westminster  Hall,Plomer (1668-1725)
BS_BOWTELL,LON098,1675,1675,"Star, Cheapside",Plomer (1668-1725)
BS_BOWYER,LON034,1705,1722,"Rose, Ludgate  Street, (a) the  corner  of  St",Plomer (1668-1725)
BS_BOWYER_2,LON105,1663,1737,Little Britain,Plomer (1668-1725)
BS_BOWYER_3,LON031,1767,1767,"Cicero's  Head, Red  Lion  Passage",Plomer (1668-1725)
BS_BRADFORD,LON105,1685,1709,Little Britain,Plomer (1668-1725)
BS_BRADFORD,LON107,1685,1709,New  Street,Plomer (1668-1725)
BS_BRADLEY,LON082,1670,1670,Smithfield,Plomer (1668-1725)
BS_BRAGG,LON034,1694,1709,Blue  Ball,Plomer (1668-1725)
BS_BRAGG,LON099,1694,1709,Black  Raven  in  Paternoster  Row,Plomer (1668-1725)
BS_BRAY,LON100,1617,1709,Strand,Plomer (1668-1725)
BS_BRIANT,LON107,1703,1703,"King's  Head, Comhill, near  the  Royal Exchange",Plomer (1668-1725)
BS_BRIDGE_2,LON107,1641,1724,Exchange,Plomer (1668-1725)
BS_BRIGS,LON099,1707,1707,"near  Paternoster  Row,",Plomer (1668-1725)
BS_BRISCOE,LON031,1691,1705,"Russell  Street,  Covent  Garden, (a)  over  against  Wills's  Coffee  House,  {b)  at  the  comer  shop  of  Charles  Street",Plomer (1668-1725)
BS_BROME,LON034,1641,1711,Churchyard,Plomer (1668-1725)
BS_BROME_2,LON102,1681,1684,Churchyard,Plomer (1668-1725)
BS_BROMWICH,LON034,1677,1677,"Three  Bibles, Ludgate  Street",Plomer (1668-1725)
BS_BROOKE,LON100,1697,1697,The  Ship  near  the  May Pole  in  the  Strand,Plomer (1668-1725)
BS_BROOKSBY_2,LON082,1672,1696,Golden  Ball,Plomer (1668-1725)
BS_BROTHERTON,LON107,1718,1718,"Bible, Threadneedle  Street, near  the  Royal  Exchange",Plomer (1668-1725)
BS_BROUN,LON031,1641,1729,Temple  Bar,Plomer (1668-1725)
BS_BROWN,LON031,1682,1705,"Green  Dragon  without  Temple  Bar,",Plomer (1668-1725)
BS_BROWNE,LON102,1691,1707,Churchyard,Plomer (1668-1725)
BS_BUCK,LON031,1692,1700,"Temple,  Fleet  Street,  near  the  Inner Temple  Gate,",Plomer (1668-1725)
BS_BUCKLEY,LON105,1696,1741,Dolphin  in  Little  Britain,Plomer (1668-1725)
BS_BULLOCK,LON050,1709,1709,"Rose  and  Crown  on  Snow  Hill, near Holborn  Bridge",Plomer (1668-1725)
BS_BULLORD,LON034,1689,1701,Churchyard,Plomer (1668-1725)
BS_BUREAU,LON100,1683,1683,"in  the  Middle  Exchange  in  the  Strand,",Plomer (1668-1725)
BS_BURRELL,LON031,1670,1679,"Golden  Ball  in  Fleet  Street, under  St",Plomer (1668-1725)
BS_BURROUGH,LON035,1705,1705,"Sun  and  Moon, Cornhill",Plomer (1668-1725)
BS_BURROWES,LON034,1697,1707,"Bible and  Three  Legs, Poultry",Plomer (1668-1725)
BS_BURROWES,LON105,1697,1707,Little  Britain,Plomer (1668-1725)
BS_BUTLER_2,LON031,1681,1709,,Plomer (1668-1725)
BS_CADE,LON107,1641,1684,"Pope's  Head  in  the  New Exchange, and  Middle  Exchange",Plomer (1668-1725)
BS_CARR,LON031,1676,1684,,Plomer (1668-1725)
BS_CARR_2,LON102,1675,1685,Churchyard,Plomer (1668-1725)
BS_CASTLE,LON102,1695,1717,Churchyard,Plomer (1668-1725)
BS_CHANDLER,LON108,1693,1693,Surgeon's  Arms  in  Aldersgate Street,Plomer (1668-1725)
BS_CHANDLER_2,LON034,1720,1720,"in  the  Poultry,  c",Plomer (1668-1725)
BS_CHANDLER_3,LON034,1696,1696,Peacock  in  the  Poultry,Plomer (1668-1725)
BS_CHANTRY,LON031,1693,1708,Temple  Bar,Plomer (1668-1725)
BS_CHAPMAN_2,LON028,1687,1709,in  Pall  Mall  over  against  St,Plomer (1668-1725)
BS_CHAPMAN_2,LON028,1687,1709,Angel  in  the  Pall  Mall,Plomer (1668-1725)
BS_CHILDE,LON102,1631,1711,Churchyard,Plomer (1668-1725)
BS_CHURCHILL,LON099,1681,1728,"Black  Swan, Ave  Mary Lane  ;  (b)  at  the  lower  end  of  Paternoster  Row, near  Amen  Comer",Plomer (1668-1725)
BS_CHURCHILL_2,LON099,1690,1690,Black  Swan  in  Paternoster  Row,Plomer (1668-1725)
BS_CLARK,LON107,1670,1723,Bible  and  Crown in  the  Old  Exchange,Plomer (1668-1725)
BS_CLARK,LON098,1670,1723,"Bible  and  Crown  in  the  Poultry, near  Cheapside",Plomer (1668-1725)
BS_CLARK_2,LON108,1677,1677,"Aldersgate  Street,",Plomer (1668-1725)
BS_CLARK_3,LON107,1711,1711,"Birching  Lane,  near  the  Royal  Exchange,",Plomer (1668-1725)
BS_CLARKE,LON082,1680,1680,"Bible  and  Harp, in  West  Smithfield",Plomer (1668-1725)
BS_CLARKE_4,LON105,1670,1670,"Star, Little  Britain",Plomer (1668-1725)
BS_CLARKE_5,LON102,1670,1680,Churchyard,Plomer (1668-1725)
BS_CLARKE_7,LON107,1725,1725,Shakespeare's  Head  under  the Royal  Exchange,Plomer (1668-1725)
BS_CLAVELL,LON031,1695,1695,,Plomer (1668-1725)
BS_CLAY,LON031,1721,1721,Bible  without  Temple  Bar,Plomer (1668-1725)
BS_CLEAVE,LON031,1678,1711,Star  in  Chancery  Lane,Plomer (1668-1725)
BS_CLEMENT,LON102,1691,1693,Churchyard,Plomer (1668-1725)
BS_CLEMENTS,LON102,1684,1721,Churchyard,Plomer (1668-1725)
BS_CLEMENTS_2,LON102,1707,1719,Churchyard,Plomer (1668-1725)
BS_CLIFF,LON098,1708,1716,"Golden  Candlestick  in  Cheapside, near  the  Old  Jewry  ;  (2)  (with  D",Plomer (1668-1725)
BS_CLIFTON,LON034,1720,1720,"Old  Bailey,  c",Plomer (1668-1725)
BS_COCKERAINE,LON034,1674,1705,Three  Legs  in  the  Poultry,Plomer (1668-1725)
BS_COLLEY,LON106,1676,1725,London Bridge,Plomer (1668-1725)
BS_COLLINS,LON031,1709,1709,"Black  Boy  in  Fleet  Street,",Plomer (1668-1725)
BS_CONINGSBY,LON031,1687,1687,"Golden Key, in  Fleet  Street",Plomer (1668-1725)
BS_CONINGSBY,LON031,1691,1691,"Golden  Turk's  Head, Fleet  Street",Plomer (1668-1725)
BS_CONINGSBY,LON031,1687,1711,Ink-Bottle,Plomer (1668-1725)
BS_CONYERS,LON034,1686,1713,"Golden  Ring, Ludgate  Hill; (2)  Little  Britain, (a)  over  against  the  Sugar  Loaf, {b)  next  the  Feathers",Plomer (1668-1725)
BS_COOK,LON031,1676,1676,"Green  Dragon,  without  Temple  Bar,",Plomer (1668-1725)
BS_COOPER_2,LON105,1668,1668,The  Pelican,Plomer (1668-1725)
BS_CORBET,LON034,1683,1683,Oxford  Arms  in  Warwick  Lane,Plomer (1668-1725)
BS_CORBETT_2,LON031,1705,1743,"Addison's  Head, next  the Rose  Tavern",Plomer (1668-1725)
BS_CORYTON,LON034,1711,1711,Ludgate,Plomer (1668-1725)
BS_COWNLY,LON107,1685,1685,at  the  Pope's  Head  in  the  Lower Walk  (or  East  end  of  the  Lower  Walk)  of  the  New  Exchange,Plomer (1668-1725)
BS_COWSE,LON102,1714,1723,,Plomer (1668-1725)
BS_COX_2,LON034,1685,1685,"Prince's  Arms, Ludgate  Street",Plomer (1668-1725)
BS_COX_4,LON050,1676,1676,"Holborn,  over  against  Furnivall's  Inn,",Plomer (1668-1725)
BS_COX_5,LON050,1671,1721,Holborn,Plomer (1668-1725)
BS_COX_6,LON098,1754,1754,"Bible  and  Three  Crowns, near  Mercers' Chappel  in  Cheapside, 17 16-18",Plomer (1668-1725)
BS_CRAYLE,LON031,1683,1690,Churchyard,Plomer (1668-1725)
BS_CROFT,LON107,1641,1677,"Seven  Stars, Little  Lombard  Street",Plomer (1668-1725)
BS_CROOKE,LON102,1630,1641,,Plomer (1668-1725)
BS_CROOKE_2,LON031,1694,1694,"Green  Dragon  without  Temple Bar,  nigh  Devereux  Court,  being  the  passage  into  the  Middle  Temple,",Plomer (1668-1725)
BS_CROOKE_4,LON031,1667,1667,"Green  Dragon,  without  Temple Bar,",Plomer (1668-1725)
BS_CROSKILL_2,LON107,1675,1675,Exchange,Plomer (1668-1725)
BS_CROUCH,LON107,1681,1681,"Bell, next  to  Kemp's Coffee  House  in  Exchange  Alley  (over  against  the  Royal  Exchange  in  Corn- hill)",Plomer (1668-1725)
BS_CROUCH_2,LON034,1697,1697,"Bell, Poultry",Plomer (1668-1725)
BS_CROUCH_3,LON035,1674,1674,"at  the  Prince's  Arms, a  comer  shop of  Pope's  Head  Alley  in  Cornhill",Plomer (1668-1725)
BS_CROUCH_4,LON098,1725,1725,"Bell  in  Patemoster  Row, near  Cheapside",Plomer (1668-1725)
BS_CRUMP,LON102,1673,1682,Churchyard,Plomer (1668-1725)
BS_CRUTTENDEN,LON102,1681,1694,Churchyard,Plomer (1668-1725)
BS_CRUTTENDEN_2,LON098,1718,1718,Bible  and  Three  Crowns  near Mercers'  Chappel  in  Cheapside,Plomer (1668-1725)
BS_CULLEN,LON031,1694,1710,"The  Buck  without  Temple  Bar,  17 10",Plomer (1668-1725)
BS_CUMBERLAND,LON102,1693,1698,,Plomer (1668-1725)
BS_CURLL,LON031,1706,1706,Peacock  without  Temple  Bar,Plomer (1668-1725)
BS_CURLL,LON099,1720,1720,Paternoster Row,Plomer (1668-1725)
BS_CURLL,LON100,1723,1723,over  against Catherine  Street  in  the  Strand,Plomer (1668-1725)
BS_CURLL,LON031,1729,1729,next  to  Wills's  Coffee  House  in Bow  Street,Plomer (1668-1725)
BS_CURLL,LON100,1733,1733,Burleigh  Street,Plomer (1668-1725)
BS_CURLL,LON031,1735,1735,"Pope's  Head, Rose  Street",Plomer (1668-1725)
BS_CURTIS_2,LON034,1668,1690,Ludgate,Plomer (1668-1725)
BS_CUTLER,LON105,1674,1674,"Little  Britain,",Plomer (1668-1725)
BS_DANCER,LON031,1700,1700,"Fleet  Street, c",Plomer (1668-1725)
BS_DANVERS,LON102,1689,1689,"Temple  Churchyard,",Plomer (1668-1725)
BS_DARKER,LON105,1690,1690,Little  Britain,Plomer (1668-1725)
BS_DARKER_3,LON098,1700,1710,"Jewen  Street ;  and  (2)  (simul- taneously) Three  Legs,  at  the  end  of  the  Old  Jewry,  in  Cheapside,  1 700-1",Plomer (1668-1725)
BS_DAVIS,LON107,1709,1709,"Three  Ink  Bottles,  Castle  Alley,  near  the Royal  Exchange,",Plomer (1668-1725)
BS_DAVIS_5,LON107,1699,1705,"Bull,  over  against  the  Royal Exchange ;  {b)  Black  Bull,  Comhill,  near  the  Royal  Exchange",Plomer (1668-1725)
BS_DAWES,LON031,1665,1665,"Chancery  Lane,  over  against  Lincoln's Inn  Gate,",Plomer (1668-1725)
BS_DAWKS_3,LON034,1636,1696,"Blue  Anchor, Ludgate  Street",Plomer (1668-1725)
BS_DEACON_2,LON050,1682,1701,Holborn,Plomer (1668-1725)
BS_DODD_2,LON031,1714,1714,Peacock  without  Temple  Bar,Plomer (1668-1725)
BS_DOWNES,LON031,1676,1676,,Plomer (1668-1725)
BS_DRING,LON031,1695,1695,"Harrow  and  Crown, Fleet  Street ; at  the  comer  of  Clifford's  Inn",Plomer (1668-1725)
BS_DRING_2,LON031,1641,1695,"Blue  Anchor, Fleet  Street",Plomer (1668-1725)
BS_DRING_2,LON031,1641,1695,Harrow,Plomer (1668-1725)
BS_DUCHEMIN,LON100,1705,1705,Strand,Plomer (1668-1725)
BS_DUNMORE,LON034,1641,1681,Three  Bibles  in  Ludgate  Street,Plomer (1668-1725)
BS_DUNTON,LON034,1659,1733,in  the  Poultry,Plomer (1668-1725)
BS_ECKELSTON,LON105,1683,1683,"Peacock, Little  Britain",Plomer (1668-1725)
BS_EDDOWES,LON107,1682,1693,"Blue  Anchor, under  the  Piazza  of  the  Royal  Exchange",Plomer (1668-1725)
BS_EDLIN,LON100,1719,1732,Strand,Plomer (1668-1725)
BS_EDWARDS,LON031,1694,1762,,Plomer (1668-1725)
BS_EDWIN,LON034,1637,1686,"Three  Roses, Ludgate  Street, 167 1-9",Plomer (1668-1725)
BS_EGLESFIELD,LON105,1641,1683,Little  Britain,Plomer (1668-1725)
BS_ELLIS,LON100,1640,1722,Strand,Plomer (1668-1725)
BS_EVELEIGH,LON028,1668,1681,Westminster  Hall,Plomer (1668-1725)
BS_EVETS,LON102,1683,1705,,Plomer (1668-1725)
BS_EWREY,LON031,1680,1680,Golden  Lyon  and  Lamb  over against  the  Middle  Temple  Gate  in  Fleet  Street,Plomer (1668-1725)
BS_FABIAN,LON098,1698,1701,"Mercers'  Chappel  in  Cheapside,",Plomer (1668-1725)
BS_FABIAN_2,LON102,1676,1693,Churchyard,Plomer (1668-1725)
BS_FAITHORNE,LON102,1681,1689,Churchyard,Plomer (1668-1725)
BS_FAWCET,LON100,1701,1701,"King's  Head  and  Crown, near Durham  Yard  in  the  Strand",Plomer (1668-1725)
BS_FAWKNER,LON106,1698,1698,"at  the  Talbot  on  London  Bridge,",Plomer (1668-1725)
BS_FELTHAM,LON028,1691,1691,"Westminster  Hall,  foot  of Parliament  Stairs,",Plomer (1668-1725)
BS_FISH,LON100,1681,1703,Strand,Plomer (1668-1725)
BS_FLEMING,LON105,1670,1670,"Little  Britain,",Plomer (1668-1725)
BS_FLETCHER_2,LON102,1677,1721,Churchyard,Plomer (1668-1725)
BS_FORD,LON031,1671,1671,"at  the  Middle  Temple  Gate,  Fleet  Street,",Plomer (1668-1725)
BS_FOSTER,LON034,1672,1672,"Three  Flower  de  Luces, Poultry",Plomer (1668-1725)
BS_FOSTER_4,LON106,1641,1680,Sun  and  Bible  on  London  Bridge,Plomer (1668-1725)
BS_FOX,LON028,1686,1746,"Seven  Stars, Westminster  Hall",Plomer (1668-1725)
BS_FOX_2,LON031,1679,1721,"White  Hart, Fleet  Street",Plomer (1668-1725)
BS_FREEMAN,LON031,1682,1690,"Bible, Fleet  Street",Plomer (1668-1725)
BS_GARDINER,LON034,1682,1724,"White  Horse, Ludgate  Street",Plomer (1668-1725)
BS_GARRET,LON107,1676,1676,"at  the  foot  of,  {b)  going  up,  the stairs  of  the  Royal  Exchange  out  of  Comhill,",Plomer (1668-1725)
BS_GELLIBRAND,LON102,1675,1682,Churchyard,Plomer (1668-1725)
BS_GELLIBRAND_2,LON102,1680,1684,Churchyard,Plomer (1668-1725)
BS_GERARD,LON035,1692,1692,"Cornhill,",Plomer (1668-1725)
BS_GIBBS_2,LON031,1650,1650,"Golden  Ball,  Chancery  Lane,",Plomer (1668-1725)
BS_GIBSON,LON031,1703,1703,"Roebuck,  between  the  Two  Temple  Gates, Fleet  Street,",Plomer (1668-1725)
BS_GIFFORD_2,LON107,1689,1721,"in  Old Bedlam,  without  Bishopsgate,",Plomer (1668-1725)
BS_GILBERT,LON102,1672,1674,Churchyard,Plomer (1668-1725)
BS_GILBERTSON,LON106,1684,1684,Sun  and  Bible  on  London  Bridge,Plomer (1668-1725)
BS_GILBOURNE,LON031,1697,1697,"the  Narrow,  at  the  corner  of Chancery  Lane,  in  Fleet  Street,",Plomer (1668-1725)
BS_GILLIFLOWER,LON028,1671,1702,Westminster  Hall,Plomer (1668-1725)
BS_GODBID,LON105,1641,1681,Little  Britain,Plomer (1668-1725)
BS_GOLDING,LON108,1683,1683,"Rainbow  Court, Aldersgate  Street,",Plomer (1668-1725)
BS_GOODALL,LON107,1679,1679,"Golden  Cross, Comhill, near  the Royal  Exchange",Plomer (1668-1725)
BS_GOODWIN,LON031,1683,1720,,Plomer (1668-1725)
BS_GOSLING,LON031,1707,1741,,Plomer (1668-1725)
BS_GOUGE,LON028,1700,1700,"Castle, Westminster  Hall",Plomer (1668-1725)
BS_GRAFTON,LON031,1687,1699,,Plomer (1668-1725)
BS_GRANTHAM,LON031,1682,1682,"New  Street,  between  Shoe  Lane  and Fetter  Lane,",Plomer (1668-1725)
BS_GRANTHAM_2,LON100,1684,1684,"Crown  and  Pearl  over  against Exeter  Change, in  the  Strand",Plomer (1668-1725)
BS_GRAVES,LON100,1681,1715,Bible  in  Salisbury  Street  in  the  Strand,Plomer (1668-1725)
BS_GRAY,LON099,1720,1720,"Amen  Corner,  near  Paternoster  Row,",Plomer (1668-1725)
BS_GREENWOOD,LON034,1681,1681,Black  Raven,Plomer (1668-1725)
BS_GREGORY,LON035,1690,1690,"Cornhill,",Plomer (1668-1725)
BS_GRIFFIN,LON034,1671,1700,"Griffin  in  the  Old Bailey,",Plomer (1668-1725)
BS_GROVER,LON105,1676,1758,"Pelican  Court,  Little  Britain ;  (i)  Angel  Alley,  Aldersgate",Plomer (1668-1725)
BS_GUY,LON031,1670,1711,"Flying  Horse, Fleet  Street",Plomer (1668-1725)
BS_GUY_2,LON107,1668,1724,"and  Oxford  ;  London,  at  the  Comer  shop of  Little  Lombard  Street  and  Comhill,",Plomer (1668-1725)
BS_GWILLIM,LON082,1717,1717,"at  his  Wharf  at  the  end  of  Bur  Street  in East  Smithfield,",Plomer (1668-1725)
BS_HALES,LON031,1670,1696,,Plomer (1668-1725)
BS_HALL,LON031,1684,1684,Angel  in  Fleet  Street,Plomer (1668-1725)
BS_HALSEY,LON035,1700,1703,"Cornhill,  (a)  St",Plomer (1668-1725)
BS_HARBIN,LON100,1693,1737,Bible  and  Anchor  in  the  New  Exchange in  the  Strand,Plomer (1668-1725)
BS_HARDING,LON102,1678,1712,Churchyard,Plomer (1668-1725)
BS_HARDING_2,LON102,1680,1724,Churchyard,Plomer (1668-1725)
BS_HAREFINCH,LON105,1682,1690,"Montague  Court  in Little  Britain,",Plomer (1668-1725)
BS_HARFORD,LON107,1677,1677,"Angel  in  Comhill, near  the Royal  Exchange",Plomer (1668-1725)
BS_HARFORD_2,LON102,1675,1710,Churchyard,Plomer (1668-1725)
BS_HARGRAVE,LON031,1689,1713,"against  Fumivalls  Inn Gate ;  (2)  Fleet  Street,",Plomer (1668-1725)
BS_HARPER,LON031,1670,1709,"The  Flower  de  Luce, Fleet  Street",Plomer (1668-1725)
BS_HARRIS,LON035,1673,1708,"Golden  Boar's  Head  in Gracechurch  Street, or",Plomer (1668-1725)
BS_HARRIS_2,LON105,1699,1699,"Harrow  in  Little  Britain,",Plomer (1668-1725)
BS_HARRIS_5,LON105,1685,1685,Harrow  in  Little  Britain,Plomer (1668-1725)
BS_HARRISON,LON031,1703,1703,"Chancery  Lane,",Plomer (1668-1725)
BS_HARRISON_2,LON031,1673,1706,Greyhound,Plomer (1668-1725)
BS_HARRISON_3,LON107,1683,1683,"White  Swan, West  Comer  of the  Royal  Exchange, Comhill, 1 683-1 711",Plomer (1668-1725)
BS_HARTLEY_2,LON031,1697,1709,Fleet  Street,Plomer (1668-1725)
BS_HARTLEY_3,LON050,1707,1707,"over  against  Gray's  Inn,  Holborn,",Plomer (1668-1725)
BS_HATLEY,LON102,1682,1682,,Plomer (1668-1725)
BS_HAWES,LON031,1698,1709,Golden  Buck,Plomer (1668-1725)
BS_HAWES,LON034,1698,1709,"Bible  and Rose, Ludgate  Street",Plomer (1668-1725)
BS_HAWES,LON034,1698,1709,"Rose  and  Crown, next  the  Dog  Tavern  on  Ludgate Hill",Plomer (1668-1725)
BS_HAWKINS_2,LON102,1709,1709,Churchyard,Plomer (1668-1725)
