bookseller_id,name,sign,type,active_min,active_max,notes
BS_BAKER,Baker,,bookbinder,1703,1703,Plomer (1668-1725); refs: Dunton
BS_BAKER_2,G. Baker,,bookseller,1679,1679,Plomer (1668-1725)
BS_BAKER_3,J. Baker,,bookseller,1680,1709,Plomer (1668-1725)
BS_BAKER_4,John Baker,Sun  and Moon,bookseller,1703,1722,Plomer (1668-1725); refs: Dunton; TC(1)
BS_BAKER_5,S. Baker,,bookseller,1717,1717,Plomer (1668-1725)
BS_BAKER_6,Thomas Baker,Bible  and  Rose,bookseller,1708,1708,Plomer (1668-1725)
BS_BAKEWELL,Thomas Bakewell,,publisher,1670,1670,Plomer (1668-1725)
BS_BALDWIN,Ann Baldwin,Oxford  Arms,bookseller,1698,1698,Plomer (1668-1725); widow of Richard  Baldwin; refs: Dunton
BS_BALDWIN_2,Richard Baldwin,Oxford  Arms,bookseller,1681,1695,Plomer (1668-1725); refs: Dunton; Timperley; TC(1)
BS_BALL,Ball,,printer,1709,1709,Plomer (1668-1725)
BS_BALLARD,Samuel Ballard,,bookseller,1706,1733,Plomer (1668-1725); refs: TC(1)
BS_BALLARD_2,Thomas Ballard,,bookseller,1698,1725,Plomer (1668-1725); refs: Dunton
BS_BANBURY,Bennet Banbury,Blue  Anchor  in  the  New  Exchange,bookseller,1700,1700,Plomer (1668-1725)
BS_BANKS,Alexander Banks,,bookseller,1676,1684,Plomer (1668-1725)
BS_BANKS_2,Allen Banks,,bookseller,1668,1682,Plomer (1668-1725); refs: Dunton; TC(1)
BS_BANKS_3,Hammond Banks,,bookseller,1714,1714,Plomer (1668-1725)
BS_BARBER,John Barber,,printer,1675,1740,Plomer (1668-1725); refs: Dunton
BS_BARKER,A. Barker,,bookseller,1708,1708,Plomer (1668-1725)
BS_BARKER_2,Benjamin Barker,,bookseller,1701,1709,Plomer (1668-1725); refs: TC(1)
BS_BARKSDALE,J Ohn Barksdale,,bookseller,1674,1699,Plomer (1668-1725); refs: TC(1)
BS_BARNARD,Henry Barnard,,bookseller,1693,1693,Plomer (1668-1725); refs: Dunton
BS_BARNES,John Barnes,the  Crown  in  Pall  Mall,bookseller,1688,1711,Plomer (1668-1725)
BS_BARNHAM,Robert Barnham,,bookseller,1701,1701,Plomer (1668-1725)
BS_BARRETT,Philip Barrett,,stationer,1702,1702,Plomer (1668-1725)
BS_BARRY,Edward Barry,,bookseller,1681,1681,Plomer (1668-1725)
BS_BASKERVILLE,Anthony Baskerville,the  Bible,bookseller,1688,1689,Plomer (1668-1725)
BS_BASKERVILLE_2,Laurence Baskerville,,bookseller,1688,1688,Plomer (1668-1725)
BS_BASKETT,John Baskett,,printer,1709,1742,Plomer (1668-1725); widow of Andrew  Anderson
BS_BASSET,J. Basset,,bookseller,1693,1693,Plomer (1668-1725)
BS_BASSET_2,Richard Basset,,bookseller,1697,1706,Plomer (1668-1725)
BS_BATEMAN,Christopher Bateman,Bible  and  Crown,bookseller,1686,1753,Plomer (1668-1725); refs: Nichols; Dunton; TC(1)
BS_BATEMAN_2,Stephen Bateman,,bookseller,1686,1686,Plomer (1668-1725)
BS_BATEMAN_3,W. Bateman,next  the  King's  Head  Inn,bookseller,1684,1684,Plomer (1668-1725)
BS_BATES,C Bates,Sun  and  Bible  in  Giltspur  Street,bookseller,1709,1709,Plomer (1668-1725); refs: Timperley
BS_BATES_2,Sarah Bates,Sun  and  Bible,bookseller,1719,1720,Plomer (1668-1725)
BS_BATLEY,Jeremiah Batley,,bookseller,1670,1737,Plomer (1668-1725); refs: Nichols; Dunton; Timperley
BS_BATTERSBY,William Battersby,,bookseller,1671,1701,Plomer (1668-1725); refs: TC(2)
BS_BATTERSBY_2,William Battersby,,bookseller,1694,1694,Plomer (1668-1725)
BS_BEALE,William Beale,,bookseller,1690,1690,Plomer (1668-1725)
BS_BEARDWELL,B. Beardwell,,printer,1697,1697,Plomer (1668-1725); refs: Dunton
BS_BEARDWELL_2,L. Beardwell,,bookseller,1692,1711,Plomer (1668-1725); refs: TC(1)
BS_BELL,Andrew Bell,Cross-Keys  and  Bible  in  Comhill,bookseller,1694,1715,Plomer (1668-1725); refs: Dunton; Timperley
BS_BELL_2,"E, Bell",,bookseller,1698,1722,Plomer (1668-1725); refs: TC(1)
BS_BELLINGER,R. Bellinger,,bookseller,1685,1685,Plomer (1668-1725)
BS_BENBRIDGE,William Benbridge,,bookseller,1683,1685,Plomer (1668-1725); refs: TC(1)
BS_BENNET,Thomas Bennet,,printer,1669,1669,Plomer (1668-1725)
BS_BENNET_2,Thomas Bennet,,bookseller,1687,1706,Plomer (1668-1725); refs: Nichols; Dunton; TC(1)
BS_BENNETT,James Bennett,,bookseller,1680,1680,Plomer (1668-1725)
BS_BENNETT_2,Joseph Bennett,,printer,1675,1691,Plomer (1668-1725)
BS_BENNETT_3,M. Bennett,,printer,1703,1703,Plomer (1668-1725)
BS_BENSKIN,Thomas Benskin,,bookseller,1681,1704,Plomer (1668-1725)
BS_BENTLEY,M. Bentley,,bookseller,1697,1698,Plomer (1668-1725)
BS_BENTLEY_2,Richard Bentley,,bookseller,1675,1697,Plomer (1668-1725); refs: Dunton; TC(1)
BS_BENTLEY_3,Thomas Bentley,Crown  in  Little  Britain,bookseller,1688,1695,Plomer (1668-1725)
BS_BENTLEY_4,William Bentley,,bookseller,1697,1697,Plomer (1668-1725)
BS_BERINGTON,E. Berington,,printer,1711,1711,Plomer (1668-1725)
BS_BERRY,E. Berry,,bookseller,1672,1681,Plomer (1668-1725); refs: TC(1)
BS_BERRY_2,William Berry,Globe,bookseller,1671,1703,Plomer (1668-1725); refs: TC(2)
BS_BETTENHAM,James Bettenham,,printer,1683,1774,Plomer (1668-1725); refs: Nichols
BS_BETTESWORTH,Arthur Bettesworth,Red  Lion  on  London Bridge,bookseller,1699,1737,Plomer (1668-1725); refs: Timperley
BS_BEVER,Thomas Bever,Hand  and  Star,bookseller,1689,1694,Plomer (1668-1725); refs: Dunton
BS_BICKERTON,Thomas Bickerton,Rose  and  Crown,bookseller,1707,1720,Plomer (1668-1725)
BS_BILL,Charles Bill,,printer,1687,1687,Plomer (1668-1725); son of John  Bill
BS_BILLING,R. Billing,,bookseller,1703,1703,Plomer (1668-1725); refs: TC(1)
BS_BILLINGSLEY,Benjamin Billingsley,,bookseller,1669,1706,Plomer (1668-1725); refs: Dunton
BS_BIRCH,William Birch,Black  Swan,bookseller,1669,1722,Plomer (1668-1725); refs: TC(2)
BS_BIRD,John  ? Bird,Sun  in  Westminster  Hall,bookseller,1683,1689,Plomer (1668-1725)
BS_BLACK,J. Black,,bookseller,1694,1694,Plomer (1668-1725)
BS_BLACKBORNE,J. Blackborne,,bookseller,1681,1681,Plomer (1668-1725)
BS_BLACKBURY,Henry Blackbury,,stationer,1686,1686,Plomer (1668-1725)
BS_BLACKWELL,James Blackwell,,bookseller,1690,1694,Plomer (1668-1725); refs: TC(1)
BS_BLAGRAVE,Obadiah Blagrave,,bookseller,1669,1677,Plomer (1668-1725); refs: Dunton; TC(2)
BS_BLAKE,Blake,,bookseller,1705,1705,Plomer (1668-1725); refs: Dunton
BS_BLAND,Thomas Bland,,printer,1706,1708,Plomer (1668-1725)
BS_BLARE,Elizabeth Blare,,bookseller,1706,1707,Plomer (1668-1725); widow of Josiah  Blare
BS_BLARE_2,Josiah  Or  Joseph Blare,,bookseller,1683,1706,Plomer (1668-1725)
BS_BLOME,Richard Blome,,bookseller,1641,1684,Plomer (1668-1725); refs: TC(2)
BS_BODDINGTON,M. Boddington,,bookseller,1722,1722,Plomer (1668-1725)
BS_BODDINGTON_2,Nicholas Boddington,,bookseller,1641,1697,Plomer (1668-1725); refs: Dunton
BS_BOLDERO,Arthur Boldero,Mitre,bookseller,1677,1677,Plomer (1668-1725); refs: TC(1)
BS_BOLTON,S. Bolton,,bookseller,1713,1713,Plomer (1668-1725)
BS_BONNY,William Bonny,,bookseller,1691,1714,Plomer (1668-1725); refs: Dunton
BS_BONWICKE,Henry Bonwicke,Red  Lion,bookseller,1677,1706,Plomer (1668-1725); refs: Nichols; Dunton
BS_BONWICKE_2,James Bonwicke,Red  Lion,bookseller,1699,1714,Plomer (1668-1725); refs: TC(1)
BS_BONWICKE_3,Rebecca Bonwicke,Red  Lion,bookseller,1706,1706,Plomer (1668-1725); widow of Henry  Bonwicke
BS_BOSVILLE,Alexander Bosville,The  Dial  and  Bible  in  Fleet  Street,bookseller,1696,1711,Plomer (1668-1725); refs: Dunton; TC(2)
BS_BOTHAM,W. Botham,,bookseller,1641,1724,Plomer (1668-1725); widow of Thomas  Underbill; refs: Nichols; TC(2)
BS_BOURN,Samuel Bourn,,bookbinder,1700,1700,Plomer (1668-1725); refs: Dunton
BS_BOURNE,Zachariah Bourne,,bookseller,1678,1678,Plomer (1668-1725)
BS_BO__WEN,J. Bo  Wen,,bookseller,1681,1681,Plomer (1668-1725)
BS_BOWERS,Joseph Bowers,Crown  in  Long- Acre,bookseller,1702,1702,Plomer (1668-1725); son of Honour
BS_BO__WIS,Th. Bo  Wis,,bookseller,1683,1683,Plomer (1668-1725)
BS_BOWTELL,William Bowtell,Star,printer,1641,1687,Plomer (1668-1725); refs: Dunton
BS_BOWYER,Jonah  Or  J Onas Bowyer,Rose,bookseller,1705,1722,Plomer (1668-1725); refs: Nichols; TC(1)
BS_BOWYER_2,William Bowyer,,bookseller,1663,1737,Plomer (1668-1725); son of John  Bowyer; widow of Benjamin  Allport; refs: DNB; Nichols
BS_BOWYER_3,William Bowyer,Cicero's  Head,printer,1699,1785,Plomer (1668-1725); son of William  Bowyer; refs: Nichols
BS_BRADDYLL,Thomas Braddyll,,bookseller,1680,1704,Plomer (1668-1725); refs: Dunton; TC(1)
BS_BRADFORD,John Bradford,Bible,printer,1685,1709,Plomer (1668-1725); brother of William  Bradford; refs: TC(1)
BS_BRADLEY,William Bradley,Three  Bibles,bookseller,1670,1670,Plomer (1668-1725); refs: TC(1)
BS_BRAD__WELL,Thomas Brad  Well,,bookseller,1681,1681,Plomer (1668-1725)
BS_BRAGG,Benjamin Bragg,,bookseller,1694,1709,Plomer (1668-1725); refs: Dunton; TC(1)
BS_BRAY,William Bray,Bell  and  Dragon,bookseller,1617,1709,Plomer (1668-1725)
BS_BRIANT,G. Briant,King's  Head,bookseller,1703,1703,Plomer (1668-1725)
BS_BRIDGE,D. Bridge,,printer,1706,1706,Plomer (1668-1725)
BS_BRIDGE_2,S. Bridge,,bookseller,1641,1724,Plomer (1668-1725); refs: TC(1)
BS_BRIGS,B. Brigs,,bookseller,1705,1707,Plomer (1668-1725)
BS_BRINGHURST,John Bringhurst,,bookseller,1680,1684,Plomer (1668-1725)
BS_BRISCOE,Samuel Briscoe,,bookseller,1691,1705,Plomer (1668-1725); refs: Dunton
BS_BRIXEY,Joshua Brixey,,publisher,1694,1695,Plomer (1668-1725)
BS_BROME,Charles Brome,,bookseller,1641,1711,Plomer (1668-1725); son of Henry  Brome; widow of Henry; succeeded by Joanna  Brome; refs: TC(1)
BS_BROME_2,Joanna Brome,,bookseller,1681,1684,Plomer (1668-1725); widow of Henry  Brome
BS_BROMWICH,William Bromwich,Three  Bibles,bookseller,1677,1750,Plomer (1668-1725); refs: Timperley; TC(1)
BS_BROOKE,John Brooke,The  Ship  near  the  May Pole  in  the  Strand,bookseller,1671,1697,Plomer (1668-1725); refs: TC(1)
BS_BROOKS,E. Brooks,,bookseller,1682,1682,Plomer (1668-1725); refs: Dunton; Timperley
BS_BROOKSBY,Elizabeth Brooksby,,bookseller,1703,1703,Plomer (1668-1725)
BS_BROOKSBY_2,Philip Brooksby,,bookseller,1672,1696,Plomer (1668-1725); refs: TC(1)
BS_BROTHERTON,John Brotherton,Bible,bookseller,1718,1725,Plomer (1668-1725)
BS_BROUN,Robert Broun,,bookseller,1641,1729,Plomer (1668-1725); refs: Nichols; TC(1)
BS_BROWN,T. Brown,,bookseller,1682,1705,Plomer (1668-1725)
BS_BROWNE,Christopher Browne,Globe,bookseller,1691,1707,Plomer (1668-1725); refs: TC(2)
BS_BROWNE_2,W. Browne,,bookseller,1712,1712,Plomer (1668-1725)
BS_BROWNING,Mercy Browning,,bookseller,1675,1687,Plomer (1668-1725)
BS_BRUDENELL,Brudenell,,printer,1641,1700,Plomer (1668-1725); son of John  Brudenell; refs: Dunton
BS_BUCK,Peter Buck,,bookseller,1692,1700,Plomer (1668-1725)
BS_BUCKLEY,Samuel Buckley,Dolphin,bookseller,1696,1741,Plomer (1668-1725); refs: Nichols; Dunton; TC(1)
BS_BUDDEN,W. Budden,,bookseller,1641,1685,Plomer (1668-1725)
BS_BULL,Seth Bull,,stationer,1713,1713,Plomer (1668-1725)
BS_BULLOCK,J. Bullock,Rose  and  Crown  on  Snow  Hill,bookseller,1709,1709,Plomer (1668-1725)
BS_BULLORD,John Bullord,,bookseller,1689,1701,Plomer (1668-1725); succeeded by Obadiah  Blagrave; refs: TC(1)
BS_BUNCE,Thomas Bunce,,printer,1706,1706,Plomer (1668-1725)
BS_BUNCHLEY,Samuel Bunchley,,bookseller,1707,1707,Plomer (1668-1725); refs: TC(2)
BS_BUREAU,Bureau,,bookseller,1683,1683,Plomer (1668-1725)
BS_BURGIS,Simon Burgis,,bookseller,1689,1690,Plomer (1668-1725); refs: TC(1)
BS_BURLEIGH,Ferdinand Burleigh,,bookseller,1713,1713,Plomer (1668-1725); refs: Nichols
BS_BURNET,C Burnet,,bookseller,1696,1696,Plomer (1668-1725)
BS_BURRELL,Thomas Burrell,,bookseller,1670,1679,Plomer (1668-1725); refs: TC(1)
BS_BURROUGH,"R, Burrough",Sun  and  Moon,bookseller,1705,1708,Plomer (1668-1725); refs: TC(1)
BS_BURROWES,Samuel Burrowes,Bible and  Three  Legs,bookseller,1697,1707,Plomer (1668-1725)
BS_BURTON,Burton,,printer,1724,1724,Plomer (1668-1725)
BS_BURTON_2,Richard Burton,,bookseller,1641,1700,Plomer (1668-1725); wife of Joseph  Button
BS_BUTLER,R. Butler,next  the  Holy  Lamb  and  Three  Bowls in  the  Barbican,bookseller,1677,1685,Plomer (1668-1725)
BS_BUTLER_2,S. Butler,,bookseller,1681,1709,Plomer (1668-1725); refs: Timperley; TC(2)
BS_BUTTLER,Edward Buttler,,printer,1690,1690,Plomer (1668-1725)
BS_CADE,John Cade,Pope's  Head  in  the  New Exchange,bookseller,1641,1684,Plomer (1668-1725); refs: Dunton; TC(1)
BS_CALDECOTT,Thomas Caldecott,,bookseller,1714,1714,Plomer (1668-1725)
BS_CAM,John Cam,,stationer,1688,1688,Plomer (1668-1725)
BS_CANNING,Wlllia Ml Canning,,bookseller,1686,1690,Plomer (1668-1725); refs: TC(2)
BS_CARNAN,Vra Lll Am Carnan,,bookseller,1723,1723,Plomer (1668-1725)
BS_CARR,John Carr,,bookseller,1676,1684,Plomer (1668-1725); refs: TC(1)
BS_CARR_2,Samuel Carr,,bookseller,1675,1685,Plomer (1668-1725); refs: TC(2)
BS_CARTER,Cornelius Carter,,printer,1696,1713,Plomer (1668-1725)
BS_CARTERSON,John Carterson,,bookseller,1690,1690,Plomer (1668-1725)
BS_CASTLE,Edward Castle,Angel  and  Crown,bookseller,1695,1717,Plomer (1668-1725); refs: Timperley; TC(1)
BS_CAWDLE,Edward Cawdle,,bookseller,1681,1681,Plomer (1668-1725)
BS_CHAMBERLAIN,Absolom Chamberlain,,bookseller,1684,1684,Plomer (1668-1725)
BS_CHANDLER,Abraham Chandler,Surgeon's  Arms  in  Aldersgate Street,bookseller,1693,1693,Plomer (1668-1725); refs: TC(1)
BS_CHANDLER_2,Samuel Chandler,,bookseller,1720,1720,Plomer (1668-1725)
BS_CHANDLER_3,William Chandler,Peacock  in  the  Poultry,bookseller,1696,1699,Plomer (1668-1725)
BS_CHANTRY,John Chantry,,bookseller,1693,1708,Plomer (1668-1725); refs: TC(1)
BS_CHAPMAN,Henry Chapman,,bookseller,1685,1694,Plomer (1668-1725)
BS_CHAPMAN_2,Thomas Chapman,,bookseller,1687,1709,Plomer (1668-1725)
BS_CHASE,William Chase,,bookseller,1695,1781,Plomer (1668-1725); refs: Timperley
BS_CHEESE,Richard Cheese,,printer,1690,1690,Plomer (1668-1725)
BS_CHILDE,Timothy Childe,,bookseller,1631,1711,Plomer (1668-1725); refs: TC(2)
BS_CHOWN,Robert Chown,,bookseller,1684,1684,Plomer (1668-1725)
BS_CHURCHILL,Awnsham Churchill,Black  Swan,bookseller,1681,1728,Plomer (1668-1725); son of William  Churchill; refs: Dunton; TC(1)
BS_CHURCHILL_2,John Churchill,Black  Swan  in  Paternoster  Row,bookseller,1690,1690,Plomer (1668-1725); brother of Awnsham  Churchill
BS_CHURCHILL_3,Joshua Churchill,,printer,1688,1728,Plomer (1668-1725); son of John  Churchill
BS_CHURCHILL_4,Vra^Ll Am Churchill,,bookseller,1681,1736,Plomer (1668-1725); son of John Churchill
BS_CLARK,Andrew Clark,Bible  and  Crown  in  the  Poultry,bookseller,1670,1723,Plomer (1668-1725); succeeded by James  Flesher; refs: Nichols; Dunton; TC(3)
BS_CLARK_2,Mary Clark,,printer,1677,1696,Plomer (1668-1725); widow of Andrew  Clark
BS_CLARK_3,S. Clark,,bookseller,1684,1711,Plomer (1668-1725); refs: TC(1)
BS_CLARKE,J. Clarke,Bible  and  Harp,bookseller,1680,1680,Plomer (1668-1725)
BS_CLARKE_2,John Clarke,,bookseller,1641,1641,Plomer (1668-1725)
BS_CLARKE_3,John Clarke,,bookseller,1641,1690,Plomer (1668-1725); refs: TC(1)
BS_CLARKE_4,Joseph Clarke,Star,bookseller,1670,1719,Plomer (1668-1725); refs: TC(2)
BS_CLARKE_5,Richard Clarke,Rose,bookseller,1670,1680,Plomer (1668-1725); refs: TC(1)
BS_CLARKE_6,Thomas Clarke,,bookseller,1675,1688,Plomer (1668-1725)
BS_CLARKE_7,William Clarke,Shakespeare's  Head  under  the Royal  Exchange,bookseller,1725,1734,Plomer (1668-1725); son of John  Clarke
BS_CLAVELL,Roger Clavell,,bookseller,1695,1695,Plomer (1668-1725)
BS_CLAY,F. Clay,Bible  without  Temple  Bar,bookseller,1721,1721,Plomer (1668-1725)
BS_CLEAVE,Isaac Cleave,Star  in  Chancery  Lane,bookseller,1678,1711,Plomer (1668-1725); refs: Dunton; TC(1)
BS_CLEMENT,Samuel Clement,Swan,bookseller,1691,1693,Plomer (1668-1725)
BS_CLEMENTS,Henry Clements,,bookseller,1684,1721,Plomer (1668-1725); refs: TC(2)
BS_CLEMENTS_2,Henry Clements,,bookseller,1707,1719,Plomer (1668-1725)
BS_CLIFF,Nathaniel Cliff,,bookseller,1708,1716,Plomer (1668-1725); refs: TC(1)
BS_CLIFTON,Francis Clifton,,printer,1720,1720,Plomer (1668-1725)
BS_COCKERAINE,William Cockeraine,,bookseller,1674,1705,Plomer (1668-1725); nephew of Thomas  Cockerill; refs: Dunton; TC(2)
BS_COGGAN,Francis Coggan,,bookseller,1699,1709,Plomer (1668-1725); refs: Dunton; TC(1)
BS_COGGAN_2,Margaret Coggan,,bookseller,1708,1709,Plomer (1668-1725); widow of Francis  Coggan
BS_COLLEY,John Colley,,bookseller,1676,1725,Plomer (1668-1725); refs: Dunton; Timperley; TC(3)
BS_COLLINS,Arthur Collins,,bookseller,1690,1760,Plomer (1668-1725)
BS_COLLINS_2,Freeman Collins,,bookseller,1682,1724,Plomer (1668-1725); refs: Dunton; TC(1)
BS_CONINGSBY,Christopher Coningsby,Golden Key,bookseller,1687,1711,Plomer (1668-1725)
BS_CONYERS,George Conyers,Golden  Ring,bookseller,1686,1713,Plomer (1668-1725); refs: Dunton; Timperley
BS_COOK,Wnxi Am Cook,,bookseller,1676,1676,Plomer (1668-1725)
BS_COOKE,J. Cooke,,bookseller,1720,1720,Plomer (1668-1725)
BS_COOPER_2,William Cooper,,bookseller,1652,1689,Plomer (1668-1725)
BS_CORBET,C Harles Corbet,Oxford  Arms  in  Warwick  Lane,bookseller,1683,1683,Plomer (1668-1725); refs: TC(1)
BS_CORBETT,Benjamin Corbett,,bookseller,1678,1701,Plomer (1668-1725); son of Waites
BS_CORBETT_2,Thomas Corbett,Addison's  Head,bookseller,1705,1743,Plomer (1668-1725); son of Charles Corbet
BS_CORYTON,William Coryton,,bookseller,1711,1711,Plomer (1668-1725)
BS_COURTENAY,James Courtenay,Golden  Horseshoe,bookseller,1671,1685,Plomer (1668-1725); refs: TC(1)
BS_COURTNEY,John Courtney,,bookseller,1641,1675,Plomer (1668-1725)
BS_COWNLY,"Gh,Bert Cownly",at  the  Pope's  Head  in  the  Lower Walk  (or  East  end  of  the  Lower  Walk)  of  the  New  Exchange,bookseller,1678,1691,Plomer (1668-1725); succeeded by William  Cademan
BS_COWSE,Benjamin Cowse,Rose  and  Crown,bookseller,1714,1723,Plomer (1668-1725); refs: Nichols
BS_COX,Cox,,bookbinder,1670,1700,Plomer (1668-1725); refs: Dunton
BS_COX_2,Benjamin Cox,Prince's  Arms,bookseller,1685,1689,Plomer (1668-1725); succeeded by Samuel  Smith; refs: TC(1)
BS_COX_3,George Cox,,stationer,1680,1682,Plomer (1668-1725)
BS_COX_4,H. Cox,,bookseller,1676,1679,Plomer (1668-1725); refs: TC(1)
BS_COX_5,Nicholas Cox,,bookseller,1671,1721,Plomer (1668-1725)
BS_COX_6,Thomas  ? Cox,Bible  and  Three  Crowns,bookseller,1754,1754,Plomer (1668-1725); refs: Timperley
BS_CRAYLE,Benjamin Crayle,:  (i)  Bell,bookseller,1683,1690,Plomer (1668-1725); refs: TC(3)
BS_CROFT,Edward Croft,Seven  Stars,bookseller,1641,1677,Plomer (1668-1725); refs: TC(2)
BS_CROOKE,Andrew Crooke,,bookseller,1630,1641,Plomer (1668-1725)
BS_CROOKE_2,Elizabeth Crooke,,bookseller,1694,1696,Plomer (1668-1725); succeeded by William  Crooke
BS_CROOKE_3,John Crooke,,bookseller,1638,1641,Plomer (1668-1725)
BS_CROOKE_4,William Crooke,,bookseller,1630,1694,Plomer (1668-1725); son of Andrew Crooke; succeeded by Elizabeth  Crooke
BS_CROOM,George Croom,,printer,1670,1707,Plomer (1668-1725); refs: Dunton; Timperley; TC(1)
BS_CROSKILL,Richard Croskill,,bookseller,1706,1706,Plomer (1668-1725)
BS_CROSKILL_2,Thomas Croskill,,bookseller,1675,1675,Plomer (1668-1725)
BS_CROSSGROVE,Henry Crossgrove,,printer,1641,1744,Plomer (1668-1725); son of Patrick  Crossgrove; widow of John  Fellows; refs: Timperley
BS_CROUCH,Nathaniel Crouch,Bell,bookseller,1632,1725,Plomer (1668-1725); refs: DNB; Dunton
BS_CROUCH_2,Nathaniel Crouch,Bell,bookseller,1697,1697,Plomer (1668-1725); son of Nathaniel  Crouch
